OTUID	KO	WT
ASV1	5138.0	3322.1
ASV2	1489.69	2497.10
ASV3	1430.379	 551.400
ASV4	983.7586	146.5000
ASV5	430.1034	461.4000
ASV7	449.6552	334.9000
ASV6	 158.1034	1153.0000
ASV9	486.1379	  5.5000
ASV10	350.7586	330.9000
ASV8	391.6552	178.9000
ASV12	366.6207	 85.6000
ASV15	331.3793	 80.6000
ASV11	293.1034	169.2000
ASV16	261.6897	248.9000
ASV14	262.069	235.900
ASV17	312.6897	 21.0000
ASV13	311.7241	 22.6000
ASV18	228.6552	124.9000
ASV19	 98.34483	470.20000
ASV22	223.0	 17.2
ASV21	181.4828	122.6000
ASV20	202.7931	 54.8000
ASV23	192.5172	 74.3000
ASV27	180.0345	108.3000
ASV25	186.6207	 87.4000
ASV26	200.2069	 16.6000
ASV69	160.1379	113.3000
ASV31	170.931	 43.700
ASV24	174.5172	 32.2000
ASV34	166.8621	 34.3000
ASV35	153.0	 72.9
ASV36	111.931	187.400
ASV29	153.7586	 58.6000
ASV28	113.4828	171.4000
ASV38	144.6897	 77.2000
ASV33	150.7241	 50.9000
ASV32	124.7931	122.6000
ASV40	145.7931	 61.4000
ASV30	138.3103	 64.8000
ASV42	134.4483	 50.8000
ASV44	119.2069	 67.2000
ASV39	135.8966	 15.2000
ASV41	132.3103	 17.5000
ASV51	 19.31034	338.50000
ASV37	128.6207	 20.3000
ASV43	 98.44828	106.40000
ASV50	109.4138	 73.7000
ASV46	116.8966	 44.2000
ASV45	121.1724	 28.5000
ASV47	117.1034	 30.0000
ASV59	121.4828	  9.3000
ASV53	 55.0	198.9
ASV52	104.7586	 48.1000
ASV49	98.7931	52.5000
ASV151	 79.03448	109.60000
ASV64	101.6897	 38.6000
ASV56	 45.34483	200.90000
ASV61	93.24138	60.40000
ASV48	112.3103	  4.9000
ASV58	84.62069	83.10000
ASV55	99.03448	38.00000
ASV54	99.48276	36.40000
ASV66	75.51724	85.90000
ASV60	78.13793	78.10000
ASV73	89.13793	40.70000
ASV62	94.17241	19.90000
ASV96	59.68966	99.20000
ASV57	89.03448	12.90000
ASV83	68.72414	67.40000
ASV80	82.58621	20.50000
ASV75	75.7931	39.4000
ASV68	76.51724	36.50000
ASV65	87.37931	 4.90000
ASV86	83.68966	14.80000
ASV63	59.93103	81.90000
ASV87	80.37931	19.90000
ASV71	76.89655	29.10000
ASV76	  7.758621	223.500000
ASV85	 18.75862	191.10000
ASV67	70.93103	38.70000
ASV82	82.68966	 1.90000
ASV2771	66.27586	49.10000
ASV79	74.41379	21.30000
ASV74	61.62069	55.40000
ASV70	77.41379	 3.90000
ASV72	65.48276	35.70000
ASV92	47.17241	87.80000
ASV78	57.86207	55.80000
ASV77	65.2069	34.1000
ASV98	68.7931	21.1000
ASV81	53.24138	64.60000
ASV84	61.0	35.1
ASV99	37.68966	99.40000
ASV100	60.72414	29.20000
ASV90	66.10345	12.00000
ASV95	45.82759	69.70000
ASV102	64.82759	13.80000
ASV104	58.27586	27.60000
ASV93	52.51724	42.70000
ASV88	60.06897	19.50000
ASV101	57.03448	28.00000
ASV107	62.31034	11.80000
ASV97	52.17241	40.90000
ASV89	65.0	 2.3
ASV105	57.44828	23.20000
ASV108	55.65517	24.10000
ASV91	43.7931	53.4000
ASV103	51.27586	29.50000
ASV111	50.75862	29.60000
ASV106	50.82759	27.60000
ASV110	58.2069	 5.0000
ASV266	44.37931	39.50000
ASV131	47.51724	23.90000
ASV117	52.58621	 7.80000
ASV94	53.72414	 2.90000
ASV113	47.72414	17.40000
ASV112	47.24138	18.10000
ASV115	50.96552	 7.30000
ASV239	32.75862	59.70000
ASV114	43.68966	27.10000
ASV179	44.68966	23.80000
ASV170	50.17241	 7.70000
ASV109	50.10345	 6.80000
ASV121	50.82759	 2.80000
ASV123	31.72414	58.10000
ASV125	25.31034	74.40000
ASV122	27.89655	64.80000
ASV116	29.31034	60.20000
ASV119	46.62069	 9.70000
ASV138	45.96552	11.10000
ASV2223	35.62069	41.10000
ASV894	40.03448	27.60000
ASV445	33.72414	41.80000
ASV128	36.24138	33.40000
ASV120	45.31034	 6.10000
ASV140	24.96552	64.70000
ASV181	43.37931	11.30000
ASV150	45.2069	 2.3000
ASV124	42.65517	 8.90000
ASV127	39.93103	15.10000
ASV118	  1.0	127.4
ASV145	40.62069	12.20000
ASV130	36.62069	19.80000
ASV137	40.51724	 7.50000
ASV146	41.72414	 3.10000
ASV148	31.86207	30.70000
ASV126	36.34483	17.60000
ASV220	39.82759	 6.60000
ASV314	31.2069	31.6000
ASV135	38.27586	10.90000
ASV129	40.96552	 3.00000
ASV5782	32.06897	28.60000
ASV152	24.17241	51.40000
ASV172	41.10345	 1.80000
ASV139	24.03448	49.50000
ASV155	34.27586	19.20000
ASV450	32.27586	24.20000
ASV134	39.72414	 2.50000
ASV154	12.75862	80.20000
ASV136	28.0	35.9
ASV336	32.93103	20.60000
ASV143	35.2069	13.9000
ASV173	34.03448	15.80000
ASV167	27.24138	35.10000
ASV132	13.13793	75.40000
ASV200	34.51724	12.50000
ASV177	37.48276	 3.20000
ASV142	36.44828	 6.00000
ASV180	33.68966	11.70000
ASV1946	28.27586	25.70000
ASV141	34.58621	 7.30000
ASV156	26.06897	31.50000
ASV211	30.62069	18.00000
ASV158	30.37931	17.50000
ASV149	35.75862	 1.50000
ASV3207	29.86207	18.60000
ASV160	10.62069	74.30000
ASV147	33.24138	 8.60000
ASV144	29.2069	18.6000
ASV193	28.31034	21.10000
ASV161	32.65517	 8.00000
ASV290	17.17241	52.60000
ASV133	30.62069	13.50000
ASV192	22.65517	35.80000
ASV201	26.27586	24.90000
ASV163	28.41379	18.50000
ASV157	32.58621	 5.10000
ASV166	 0.6206897	97.5000000
ASV165	30.0	11.9
ASV280	27.86207	17.60000
ASV195	32.48276	 3.60000
ASV2187	30.10345	 9.70000
ASV153	33.2069	 0.4000
ASV279	27.62069	16.60000
ASV162	 3.827586	85.000000
ASV164	25.89655	18.90000
ASV174	27.65517	13.70000
ASV183	29.51724	 8.20000
ASV4105	29.06897	 8.30000
ASV168	 5.551724	76.300000
ASV178	16.7931	42.9000
ASV5245	30.34483	 3.60000
ASV176	24.89655	19.20000
ASV216	26.17241	15.50000
ASV208	10.03448	61.90000
ASV171	30.10345	 3.60000
ASV223	26.06897	15.20000
ASV206	22.41379	25.60000
ASV199	26.68966	11.50000
ASV3824	23.17241	20.50000
ASV205	29.82759	 1.10000
ASV250	19.62069	30.10000
ASV727	25.34483	13.10000
ASV185	17.2069	36.5000
ASV235	28.58621	 3.10000
ASV194	29.27586	 1.00000
ASV169	22.44828	20.70000
ASV189	 1.827586	80.000000
ASV182	26.0	 9.6
ASV159	17.86207	32.80000
ASV188	19.82759	26.90000
ASV191	28.17241	 2.10000
ASV258	20.10345	25.50000
ASV175	28.58621	 0.80000
ASV322	26.31034	 7.10000
ASV215	 8.551724	58.400000
ASV204	25.51724	 7.60000
ASV2583	21.82759	18.00000
ASV249	 7.310345	59.800000
ASV224	24.2069	10.6000
ASV2008	24.31034	10.10000
ASV213	24.10345	10.60000
ASV289	25.72414	 5.70000
ASV186	27.37931	 0.80000
ASV310	24.03448	10.50000
ASV197	26.72414	 2.50000
ASV226	26.13793	 4.10000
ASV202	26.03448	 4.00000
ASV225	 9.793103	50.900000
ASV248	24.72414	 6.90000
ASV356	22.65517	12.60000
ASV207	11.96552	43.40000
ASV309	18.58621	24.20000
ASV198	 0.3103448	77.1000000
ASV253	25.27586	 4.70000
ASV184	25.0	 5.3
ASV478	20.75862	17.60000
ASV203	24.51724	 6.30000
ASV563	20.31034	17.20000
ASV240	22.13793	11.70000
ASV330	23.13793	 8.80000
ASV247	24.75862	 4.00000
ASV219	21.44828	12.90000
ASV236	19.0	19.9
ASV190	21.2069	13.2000
ASV210	19.82759	17.10000
ASV3327	24.06897	 4.80000
ASV230	22.37931	 9.00000
ASV256	 9.275862	46.600000
ASV187	24.89655	 1.00000
ASV232	24.82759	 1.20000
ASV217	23.27586	 5.50000
ASV238	24.55172	 1.80000
ASV1730	21.24138	11.20000
ASV196	24.37931	 2.10000
ASV237	23.37931	 5.00000
ASV221	20.31034	13.70000
ASV214	22.68966	 6.20000
ASV242	19.17241	16.30000
ASV241	 5.068966	57.000000
ASV305	13.89655	31.40000
ASV228	23.31034	 3.90000
ASV741	 9.931034	42.400000
ASV2618	22.68966	 5.20000
ASV261	18.72414	16.50000
ASV231	18.03448	18.40000
ASV288	14.82759	27.70000
ASV209	16.82759	20.70000
ASV3485	19.03448	14.00000
ASV245	21.51724	 6.40000
ASV265	20.82759	 8.40000
ASV218	 4.862069	54.500000
ASV728	15.72414	23.00000
ASV227	21.68966	 5.00000
ASV243	 7.655172	45.600000
ASV259	19.7931	10.4000
ASV719	20.10345	 8.80000
ASV347	21.34483	 4.70000
ASV212	21.17241	 4.30000
ASV229	21.2069	 3.9000
ASV267	19.10345	 9.90000
ASV766	 8.068966	41.700000
ASV312	20.41379	 5.60000
ASV252	20.2069	 5.8000
ASV838	17.31034	14.20000
ASV296	12.13793	28.30000
ASV233	17.2069	13.4000
ASV952	 8.551724	38.100000
ASV3732	17.82759	11.10000
ASV234	10.93103	30.80000
ASV264	14.03448	21.60000
ASV270	18.41379	 8.90000
ASV286	19.55172	 5.50000
ASV244	20.17241	 3.30000
ASV257	17.34483	11.30000
ASV268	20.31034	 2.70000
ASV307	18.44828	 8.10000
ASV255	15.62069	15.90000
ASV262	15.37931	16.60000
ASV291	14.03448	20.50000
ASV298	18.37931	 7.60000
ASV316	17.27586	10.70000
ASV251	14.58621	18.30000
ASV303	18.55172	 6.60000
ASV643	12.96552	22.70000
ASV271	 9.413793	32.900000
ASV4759	17.17241	10.30000
ASV275	18.86207	 5.00000
ASV300	17.93103	 7.50000
ASV294	 0.4137931	57.6000000
ASV254	19.7931	 0.6000
ASV282	17.37931	 7.40000
ASV246	 4.689655	44.000000
ASV274	15.82759	11.70000
ASV283	 7.896552	34.700000
ASV293	19.55172	 0.80000
ASV5201	17.17241	 7.50000
ASV287	12.2069	21.6000
ASV269	 4.724138	43.100000
ASV366	11.44828	23.10000
ASV281	15.72414	10.30000
ASV273	18.62069	 1.70000
ASV3779	12.10345	20.60000
ASV297	16.31034	 8.20000
ASV3938	15.55172	10.40000
ASV302	18.86207	 0.70000
ASV335	17.13793	 5.40000
ASV276	17.82759	 3.20000
ASV2623	16.06897	 8.10000
ASV295	12.58621	18.20000
ASV5010	13.31034	15.50000
ASV263	14.75862	11.20000
ASV5744	17.72414	 2.60000
ASV278	16.48276	 6.00000
