#OTUID	A.0	A.1	A.11	A.12	A.13	A.14	A.15	A.16	A.17	A.2	A.20	A.21	A.23	A.24	A.25	A.26	A.27	A.28	A.29	A.3	A.30	A.32	A.34	A.4	A.5	A.6	A.7	A.8	A.9	BS.2	C3.2	G.1	G.2	G.3	G.4	G.5	GR.01	LW.1	T.1
ASV1	172	2147	5453	5162	6308	5120	5775	7574	5663	9102	2659	2404	3743	4824	5159	4846	4703	4741	5627	5427	3746	4814	5318	5847	6717	5090	5672	7562	7627	2539	2735	1954	2883	5618	4052	7672	2528	2022	1218
ASV2	1090	1753	2481	2214	1994	2124	1820	1676	2459	1668	3119	2764	377	585	514	399	241	335	231	1641	385	302	754	1955	1976	1858	2051	2108	2327	817	659	2675	1714	5606	3536	2953	4153	471	2387
ASV3	742	1380	2052	2229	2497	2319	1951	2380	2308	1749	1894	1354	86	180	171	155	116	169	164	1213	213	175	421	1977	2436	2085	2827	3051	3187	626	692	501	5	530	230	7	5	59	2859
ASV4	111	870	1350	1880	2158	2017	2358	2404	2716	588	1867	1540	2907	142	48	84	63	84	43	298	43	25	75	293	447	466	672	1423	1557	191	78	3	4	2	6	5	4	3	1169
ASV5	217	188	393	407	468	436	585	446	695	131	510	409	803	917	730	531	339	561	288	147	296	439	952	205	218	249	253	283	377	1020	563	235	88	402	378	84	827	333	684
ASV7	50	6	12	14	6	8	15	17	14	9	7	8	410	531	896	886	1878	1169	2990	11	1758	1847	433	12	12	13	7	9	12	775	1870	114	46	52	36	12	399	26	19
ASV6	950	285	245	177	134	171	122	116	140	213	51	27	9	11	15	16	17	13	11	362	24	28	41	292	318	311	180	142	164	22	12	2793	1000	1553	1962	910	461	2330	487
ASV9	57	48	268	295	547	521	937	1226	1643	64	776	734	4420	441	255	201	254	242	69	40	85	72	130	46	91	73	134	201	228	20	19	3	2	3	3	2	3	0	0
ASV10	223	121	507	525	673	616	475	529	553	272	316	227	102	101	73	65	54	62	16	279	24	20	54	365	783	572	671	1132	762	8	33	108	3	363	144	7	3	631	2009
ASV8	205	82	46	33	29	39	52	60	59	49	34	44	553	1056	1280	1689	1521	1412	1178	57	815	479	309	74	58	67	29	26	23	940	668	4	29	11	9	13	95	14	6
ASV12	13	4	27	17	11	10	19	14	9	7	47	147	181	295	571	1332	1605	1472	735	9	1451	908	1692	7	17	5	14	7	6	417	411	4	4	7	4	4	2	2	1
ASV15	141	39	23	40	41	51	59	65	101	26	123	122	548	713	1056	1030	1596	1201	681	58	749	527	386	39	47	41	42	36	29	355	386	9	3	19	19	0	3	4	8
ASV11	36	338	199	214	192	181	334	491	1466	413	118	96	300	363	364	257	248	387	238	174	121	245	359	305	225	193	235	176	232	114	88	54	152	310	251	625	13	45	40
ASV16	201	59	53	65	55	82	108	117	153	75	129	649	1026	1164	818	522	316	408	300	61	272	186	391	67	70	65	59	61	57	1443	635	30	12	83	48	45	28	8	157
