SampleID	richness	chao1	ACE	shannon	simpson	invsimpson
A.0	4015	4902.676963	4952.462243	7.148618124	0.996320653	271.7873936
A.1	3841	4901.372751	5040.990139	6.653044366	0.989431424	94.62012531
A.2	3399	4642.204023	4792.843303	5.527575402	0.932883178	14.89939444
A.3	3795	4927.017456	5120.765242	6.259665954	0.97040417	33.7885438
A.4	3497	4645.980978	4817.372248	5.933152639	0.96449919	28.16837132
A.5	3316	4621.312036	4797.015103	5.69181672	0.960367055	25.23153378
A.6	3480	4673.475862	4883.384849	6.010772178	0.972533336	36.40777047
A.7	3155	4245.502262	4432.136683	5.715274422	0.965993418	29.40607215
A.8	2801	4225.155009	4376.029549	5.203379779	0.947327697	18.98531004
A.9	2830	4241.430427	4353.069019	5.210958316	0.946990578	18.86457091
A.11	3311	4620.477941	4796.496427	5.811520167	0.970876874	34.33697275
A.12	3019	4208.524194	4445.188861	5.678512172	0.969089216	32.35116923
A.13	2868	4063.016863	4331.610162	5.454057185	0.960116809	25.07321943
A.14	2951	4261.079861	4489.950122	5.608110864	0.968466955	31.71276314
A.15	2856	4352.429126	4446.884455	5.538437766	0.96704126	30.34096542
A.16	2599	3704.101476	3987.509572	5.205424127	0.951406433	20.57885578
A.17	2286	3292.069042	3522.789911	5.250896449	0.968313007	31.55869052
A.20	1947	2853.660819	2956.506363	5.306823348	0.977692654	44.82828238
A.21	1937	3145.779661	3146.846328	5.275936163	0.977276379	44.00707154
A.23	1697	2815.224576	2700.579302	5.01745675	0.968363527	31.60908653
A.24	1888	2859.12069	2849.279005	5.4739512	0.97937757	48.49089054
A.25	1957	2859.637195	2946.707453	5.492983667	0.976594298	42.72463188
A.26	1972	2772.236686	2816.977704	5.483833031	0.9779028	45.25460224
A.27	2005	2746.217877	2835.080098	5.452085233	0.975542428	40.88713353
A.28	2078	2989.27193	3011.878373	5.526529261	0.977821602	45.08891886
A.29	2061	2928.151335	2935.81536	5.446944065	0.968833716	32.08595567
A.30	2088	2883.529412	2869.792761	5.620315043	0.981297071	53.46756085
A.32	2155	2987.564103	2983.374492	5.671010168	0.978139564	45.74474221
A.34	2118	3041.912807	3141.436704	5.500772369	0.974830329	39.73035645
BS.2	1872	2725.816609	2688.90558	5.549962455	0.985503295	68.98119417
C3.2	1987	2929.5	2862.305258	5.46249878	0.978822305	47.21949312
G.1	2756	3489.346154	3474.174866	6.03182317	0.977766846	44.97787333
G.2	2393	3024.953079	2931.252644	6.169333003	0.984599945	64.93483382
G.3	2947	3715.667279	3722.738716	5.79344383	0.964348949	28.04966414
G.4	3051	3940.586572	3977.625008	5.878751757	0.969405776	32.68590844
G.5	2033	2594.310241	2585.10073	5.176104551	0.944162151	17.90899938
GR.01	2153	2983.817175	3000.162779	5.520822594	0.972651508	36.56508684
LW.1	3089	3965.797495	3876.703973	6.450265332	0.983712329	61.39613381
T.1	2161	3181.948276	3314.384636	5.265005636	0.977704318	44.85173341
