SampleID	richness	chao1	ACE	shannon	simpson	invsimpson
A-0	4015	4902.676963	4952.462243	7.148618124	0.996320653	271.7873936
A-1	3841	4901.372751	5040.990139	6.653044366	0.989431424	94.62012531
A-2	3388	4544.86236	4692.091927	5.525902568	0.932590489	14.83470183
A-3	3793	4982.373212	5114.545647	6.256807866	0.970303889	33.67444316
A-4	3492	4617.263514	4805.682153	5.933663309	0.964504453	28.17254776
A-5	3322	4718.735385	4854.9115	5.692370575	0.960417262	25.26353781
A-6	3486	4632.05298	4883.979068	6.01157178	0.972542015	36.41927886
A-7	3166	4360.544462	4530.998822	5.71499076	0.965955512	29.37333023
A-8	2808	4148.530249	4397.404352	5.203411246	0.947290229	18.97181445
A-9	2834	4191.437838	4338.046195	5.210629905	0.94693294	18.8440815
A-11	3311	4620.477941	4796.496427	5.811520167	0.970876874	34.33697275
A-12	3019	4208.524194	4445.188861	5.678512172	0.969089216	32.35116923
A-13	2868	4063.016863	4331.610162	5.454057185	0.960116809	25.07321943
A-14	2951	4261.079861	4489.950122	5.608110864	0.968466955	31.71276314
A-15	2856	4320.494253	4442.22493	5.538675388	0.967049416	30.34847543
A-16	2619	3815.637765	4059.074507	5.215153131	0.951730834	20.71715907
A-17	2283	3329.335664	3494.153455	5.250948692	0.96831272	31.55840436
A-20	1922	2659.002703	2823.963006	5.30550546	0.97768548	44.81386931
A-21	1945	3077.895899	3169.646065	5.278286053	0.977364837	44.17905082
A-23	1679	2795.407895	2656.845136	5.010645436	0.968378138	31.62369135
A-24	1890	2917.219081	2889.58539	5.471512086	0.979282023	48.26726019
A-25	1954	2861.546584	2931.029906	5.495689921	0.976646161	42.81951244
A-26	1972	2760.418605	2829.817496	5.478313919	0.977907164	45.26354112
A-27	2007	2865.944954	2852.992671	5.454914686	0.97562599	41.02730819
A-28	2062	2861.290503	2915.322422	5.525670025	0.977807002	45.05925776
A-29	2068	3004.247706	2985.570932	5.44617	0.96881801	32.06979439
A-30	2092	2936.336364	2888.614823	5.621703356	0.981298826	53.47257912
A-32	2160	2984.107438	3010.802681	5.67114117	0.978134173	45.73346424
A-34	2112	3011.63388	3114.556068	5.499941199	0.974806029	39.69203587
BS-2	1880	2686.045603	2720.541289	5.551215579	0.98550878	69.00730252
C3-2	1987	2860.852201	2840.508348	5.463013613	0.978829372	47.23525419
G-1	2757	3474.544118	3476.916216	6.03152302	0.977762857	44.96980628
G-2	2391	2989.937143	2917.729623	6.169311884	0.984593744	64.90869513
G-3	2945	3671.256228	3699.571626	5.792983748	0.964329727	28.03454866
G-4	3071	4070.149909	4066.467894	5.879796115	0.969405847	32.68598442
G-5	2033	2594.310241	2585.10073	5.176104551	0.944162151	17.90899938
GR-01	2153	2983.817175	3000.162779	5.520822594	0.972651508	36.56508684
LW-1	3089	3965.797495	3876.703973	6.450265332	0.983712329	61.39613381
T-1	2161	3181.948276	3314.384636	5.265005636	0.977704318	44.85173341
