bray_curtis	A.0	A.1	A.11	A.12	A.14	A.13	A.8	A.9	A.15	A.16	A.4	A.6	A.7	A.5	A.3	A.17	A.2	A.20	A.21	T.1	G.1	G.3	G.4	LW.1	G.2	G.5	GR.01	A.23	A.24	A.25	A.26	A.28	A.27	A.29	A.30	A.32	A.34	C3.2	BS.2
A.0	0	0.437	0.525	0.554	0.552	0.570	0.591	0.585	0.552	0.580	0.502	0.495	0.544	0.531	0.465	0.584	0.535	0.611	0.614	0.669	0.658	0.647	0.660	0.640	0.729	0.767	0.749	0.742	0.712	0.707	0.711	0.712	0.721	0.731	0.707	0.715	0.692	0.683	0.683
A.1	0.437	0	0.292	0.323	0.326	0.348	0.367	0.357	0.369	0.396	0.286	0.284	0.312	0.325	0.263	0.421	0.324	0.443	0.478	0.545	0.584	0.569	0.563	0.634	0.676	0.714	0.673	0.677	0.666	0.666	0.677	0.682	0.697	0.697	0.668	0.676	0.640	0.653	0.634
A.11	0.525	0.292	0	0.177	0.190	0.206	0.242	0.221	0.234	0.260	0.230	0.210	0.211	0.253	0.261	0.290	0.281	0.377	0.437	0.505	0.615	0.532	0.544	0.665	0.689	0.667	0.686	0.638	0.621	0.615	0.635	0.643	0.660	0.645	0.656	0.639	0.589	0.669	0.648
A.12	0.554	0.323	0.177	0	0.158	0.172	0.222	0.205	0.208	0.226	0.244	0.221	0.212	0.251	0.283	0.264	0.304	0.352	0.421	0.491	0.629	0.559	0.560	0.677	0.710	0.688	0.698	0.615	0.615	0.609	0.634	0.644	0.659	0.646	0.658	0.641	0.588	0.664	0.638
A.14	0.552	0.326	0.190	0.158	0	0.166	0.230	0.219	0.199	0.213	0.262	0.236	0.230	0.259	0.297	0.246	0.318	0.345	0.413	0.500	0.639	0.562	0.568	0.677	0.715	0.700	0.704	0.604	0.608	0.602	0.628	0.640	0.660	0.650	0.655	0.639	0.586	0.661	0.630
A.13	0.570	0.348	0.206	0.172	0.166	0	0.206	0.191	0.200	0.192	0.248	0.243	0.219	0.242	0.287	0.257	0.296	0.356	0.423	0.503	0.652	0.578	0.581	0.685	0.721	0.674	0.714	0.605	0.616	0.613	0.637	0.647	0.664	0.645	0.660	0.644	0.593	0.669	0.644
A.8	0.591	0.367	0.242	0.222	0.230	0.206	0	0.151	0.284	0.247	0.246	0.241	0.207	0.216	0.296	0.328	0.260	0.409	0.462	0.464	0.647	0.583	0.587	0.683	0.722	0.639	0.717	0.654	0.638	0.633	0.658	0.663	0.679	0.652	0.669	0.659	0.607	0.681	0.662
A.9	0.585	0.357	0.221	0.205	0.219	0.191	0.151	0	0.267	0.232	0.237	0.234	0.201	0.212	0.292	0.320	0.255	0.406	0.458	0.474	0.643	0.572	0.580	0.682	0.717	0.635	0.711	0.652	0.640	0.634	0.656	0.662	0.676	0.654	0.675	0.660	0.610	0.684	0.662
A.15	0.552	0.369	0.234	0.208	0.199	0.200	0.284	0.267	0	0.181	0.303	0.288	0.287	0.309	0.331	0.222	0.331	0.342	0.405	0.542	0.676	0.595	0.610	0.700	0.743	0.705	0.733	0.568	0.592	0.589	0.617	0.624	0.649	0.637	0.658	0.633	0.579	0.656	0.614
A.16	0.580	0.396	0.260	0.226	0.213	0.192	0.247	0.232	0.181	0	0.300	0.304	0.295	0.290	0.341	0.225	0.311	0.354	0.416	0.553	0.687	0.608	0.620	0.709	0.757	0.672	0.743	0.561	0.591	0.587	0.617	0.624	0.650	0.633	0.654	0.631	0.577	0.658	0.624
