bray_curtis_binary	A.0	A.1	A.3	A.6	A.4	A.2	A.11	A.5	A.7	A.12	A.14	A.9	A.13	A.15	A.8	A.16	G.1	G.3	G.4	LW.1	G.2	G.5	GR.01	A.17	A.20	A.21	A.23	A.24	A.25	A.26	A.27	A.29	A.32	A.30	A.28	C3.2	A.34	BS.2	T.1
A.0	0	0.245	0.252	0.268	0.273	0.289	0.295	0.294	0.300	0.324	0.325	0.345	0.340	0.339	0.343	0.373	0.409	0.397	0.389	0.342	0.470	0.528	0.496	0.417	0.483	0.487	0.538	0.499	0.497	0.479	0.483	0.485	0.453	0.460	0.467	0.465	0.463	0.503	0.458
A.1	0.245	0	0.223	0.249	0.243	0.260	0.257	0.263	0.269	0.284	0.287	0.292	0.294	0.303	0.304	0.337	0.412	0.410	0.399	0.378	0.489	0.543	0.511	0.390	0.444	0.460	0.524	0.486	0.485	0.477	0.477	0.473	0.456	0.461	0.470	0.475	0.462	0.491	0.461
A.3	0.252	0.223	0	0.240	0.241	0.252	0.263	0.267	0.271	0.282	0.288	0.296	0.298	0.307	0.306	0.345	0.427	0.428	0.401	0.378	0.499	0.548	0.515	0.385	0.446	0.460	0.523	0.489	0.487	0.479	0.486	0.472	0.457	0.464	0.476	0.476	0.459	0.495	0.465
A.6	0.268	0.249	0.240	0	0.257	0.266	0.266	0.272	0.270	0.280	0.287	0.298	0.310	0.309	0.305	0.337	0.430	0.437	0.422	0.395	0.506	0.562	0.520	0.381	0.437	0.446	0.514	0.490	0.480	0.480	0.484	0.483	0.461	0.465	0.477	0.483	0.457	0.492	0.457
A.4	0.273	0.243	0.241	0.257	0	0.266	0.266	0.268	0.277	0.292	0.295	0.302	0.307	0.310	0.310	0.333	0.436	0.435	0.414	0.394	0.502	0.540	0.521	0.385	0.436	0.452	0.523	0.495	0.491	0.486	0.486	0.482	0.467	0.474	0.477	0.486	0.455	0.491	0.455
A.2	0.289	0.260	0.252	0.266	0.266	0	0.275	0.284	0.275	0.295	0.302	0.298	0.309	0.318	0.307	0.343	0.436	0.444	0.416	0.400	0.507	0.551	0.526	0.385	0.435	0.451	0.524	0.490	0.483	0.479	0.479	0.487	0.466	0.465	0.479	0.481	0.460	0.494	0.453
A.11	0.295	0.257	0.263	0.266	0.266	0.275	0	0.282	0.273	0.288	0.291	0.289	0.305	0.300	0.304	0.338	0.457	0.455	0.448	0.425	0.540	0.580	0.539	0.366	0.415	0.433	0.510	0.480	0.474	0.463	0.474	0.471	0.456	0.464	0.474	0.476	0.449	0.488	0.477
A.5	0.294	0.263	0.267	0.272	0.268	0.284	0.282	0	0.292	0.300	0.289	0.301	0.313	0.318	0.308	0.336	0.454	0.458	0.440	0.413	0.528	0.575	0.541	0.368	0.423	0.445	0.506	0.482	0.478	0.467	0.478	0.478	0.460	0.464	0.472	0.470	0.455	0.488	0.456
A.7	0.300	0.269	0.271	0.270	0.277	0.275	0.273	0.292	0	0.298	0.305	0.304	0.302	0.320	0.305	0.348	0.458	0.456	0.434	0.425	0.524	0.568	0.531	0.379	0.426	0.444	0.514	0.486	0.480	0.474	0.486	0.487	0.479	0.471	0.489	0.489	0.466	0.497	0.472
A.12	0.324	0.284	0.282	0.280	0.292	0.295	0.288	0.300	0.298	0	0.305	0.313	0.318	0.315	0.308	0.337	0.464	0.471	0.449	0.433	0.545	0.589	0.539	0.373	0.406	0.426	0.490	0.466	0.463	0.462	0.472	0.464	0.464	0.459	0.466	0.466	0.451	0.482	0.458
A.14	0.325	0.287	0.288	0.287	0.295	0.302	0.291	0.289	0.305	0.305	0	0.306	0.312	0.313	0.314	0.332	0.474	0.478	0.458	0.449	0.554	0.597	0.542	0.361	0.401	0.421	0.485	0.467	0.465	0.464	0.475	0.479	0.467	0.452	0.466	0.480	0.448	0.478	0.463
A.9	0.345	0.292	0.296	0.298	0.302	0.298	0.289	0.301	0.304	0.313	0.306	0	0.310	0.318	0.320	0.333	0.468	0.483	0.467	0.448	0.555	0.597	0.545	0.375	0.408	0.422	0.494	0.466	0.467	0.464	0.470	0.470	0.470	0.460	0.465	0.481	0.456	0.481	0.466
A.13	0.340	0.294	0.298	0.310	0.307	0.309	0.305	0.313	0.302	0.318	0.312	0.310	0	0.308	0.328	0.338	0.486	0.490	0.469	0.452	0.566	0.599	0.548	0.360	0.397	0.414	0.485	0.469	0.465	0.457	0.472	0.478	0.469	0.452	0.456	0.474	0.456	0.478	0.464
A.15	0.339	0.303	0.307	0.309	0.310	0.318	0.300	0.318	0.320	0.315	0.313	0.318	0.308	0	0.323	0.341	0.495	0.500	0.482	0.470	0.575	0.616	0.564	0.361	0.385	0.417	0.474	0.451	0.454	0.452	0.457	0.460	0.450	0.452	0.451	0.459	0.446	0.466	0.474
A.8	0.343	0.304	0.306	0.305	0.310	0.307	0.304	0.308	0.305	0.308	0.314	0.320	0.328	0.323	0	0.337	0.486	0.494	0.476	0.447	0.563	0.606	0.566	0.355	0.407	0.416	0.479	0.455	0.463	0.463	0.470	0.468	0.465	0.451	0.464	0.469	0.448	0.474	0.473
A.16	0.373	0.337	0.345	0.337	0.333	0.343	0.338	0.336	0.348	0.337	0.332	0.333	0.338	0.341	0.337	0	0.511	0.519	0.498	0.483	0.596	0.624	0.577	0.348	0.368	0.389	0.458	0.427	0.430	0.438	0.445	0.444	0.447	0.435	0.444	0.452	0.430	0.463	0.468
G.1	0.409	0.412	0.427	0.430	0.436	0.436	0.457	0.454	0.458	0.464	0.474	0.468	0.486	0.495	0.486	0.511	0	0.281	0.277	0.297	0.327	0.455	0.337	0.559	0.602	0.618	0.647	0.605	0.600	0.600	0.591	0.596	0.573	0.576	0.594	0.574	0.575	0.607	0.426
G.3	0.397	0.410	0.428	0.437	0.435	0.444	0.455	0.458	0.456	0.471	0.478	0.483	0.490	0.500	0.494	0.519	0.281	0	0.247	0.330	0.316	0.404	0.386	0.559	0.625	0.642	0.657	0.627	0.623	0.628	0.619	0.620	0.587	0.598	0.619	0.596	0.599	0.634	0.471
