bray_curtis_binary	A.0	A.1	A.11	A.12	A.13	A.14	A.15	A.16	A.17	A.2	A.20	A.21	A.23	A.24	A.25	A.26	A.27	A.28	A.29	A.3	A.30	A.32	A.34	A.4	A.5	A.6	A.7	A.8	A.9	BS.2	C3.2	G.1	G.2	G.3	G.4	G.5	GR.01	LW.1	T.1
A.0	0	0.245	0.295	0.324	0.340	0.325	0.339	0.373	0.417	0.289	0.483	0.487	0.538	0.499	0.497	0.479	0.483	0.467	0.485	0.252	0.460	0.453	0.463	0.273	0.294	0.268	0.300	0.343	0.345	0.503	0.465	0.409	0.470	0.397	0.389	0.528	0.496	0.342	0.458
A.1	0.245	0	0.257	0.284	0.294	0.287	0.303	0.337	0.390	0.260	0.444	0.460	0.524	0.486	0.485	0.477	0.477	0.470	0.473	0.223	0.461	0.456	0.462	0.243	0.263	0.249	0.269	0.304	0.292	0.491	0.475	0.412	0.489	0.410	0.399	0.543	0.511	0.378	0.461
A.11	0.295	0.257	0	0.288	0.305	0.291	0.300	0.338	0.366	0.275	0.415	0.433	0.510	0.480	0.474	0.463	0.474	0.474	0.471	0.263	0.464	0.456	0.449	0.266	0.282	0.266	0.273	0.304	0.289	0.488	0.476	0.457	0.540	0.455	0.448	0.580	0.539	0.425	0.477
A.12	0.324	0.284	0.288	0	0.318	0.305	0.315	0.337	0.373	0.295	0.406	0.426	0.490	0.466	0.463	0.462	0.472	0.466	0.464	0.282	0.459	0.464	0.451	0.292	0.300	0.280	0.298	0.308	0.313	0.482	0.466	0.464	0.545	0.471	0.449	0.589	0.539	0.433	0.458
A.13	0.340	0.294	0.305	0.318	0	0.312	0.308	0.338	0.360	0.309	0.397	0.414	0.485	0.469	0.465	0.457	0.472	0.456	0.478	0.298	0.452	0.469	0.456	0.307	0.313	0.310	0.302	0.328	0.310	0.478	0.474	0.486	0.566	0.490	0.469	0.599	0.548	0.452	0.464
A.14	0.325	0.287	0.291	0.305	0.312	0	0.313	0.332	0.361	0.302	0.401	0.421	0.485	0.467	0.465	0.464	0.475	0.466	0.479	0.288	0.452	0.467	0.448	0.295	0.289	0.287	0.305	0.314	0.306	0.478	0.480	0.474	0.554	0.478	0.458	0.597	0.542	0.449	0.463
A.15	0.339	0.303	0.300	0.315	0.308	0.313	0	0.341	0.361	0.318	0.385	0.417	0.474	0.451	0.454	0.452	0.457	0.451	0.460	0.307	0.452	0.450	0.446	0.310	0.318	0.309	0.320	0.323	0.318	0.466	0.459	0.495	0.575	0.500	0.482	0.616	0.564	0.470	0.474
A.16	0.373	0.337	0.338	0.337	0.338	0.332	0.341	0	0.348	0.343	0.368	0.389	0.458	0.427	0.430	0.438	0.445	0.444	0.444	0.345	0.435	0.447	0.430	0.333	0.336	0.337	0.348	0.337	0.333	0.463	0.452	0.511	0.596	0.519	0.498	0.624	0.577	0.483	0.468
A.17	0.417	0.390	0.366	0.373	0.360	0.361	0.361	0.348	0	0.385	0.355	0.370	0.427	0.411	0.419	0.417	0.428	0.423	0.435	0.385	0.426	0.436	0.429	0.385	0.368	0.381	0.379	0.355	0.375	0.430	0.438	0.559	0.643	0.559	0.552	0.684	0.620	0.522	0.478
A.2	0.289	0.260	0.275	0.295	0.309	0.302	0.318	0.343	0.385	0	0.435	0.451	0.524	0.490	0.483	0.479	0.479	0.479	0.487	0.252	0.465	0.466	0.460	0.266	0.284	0.266	0.275	0.307	0.298	0.494	0.481	0.436	0.507	0.444	0.416	0.551	0.526	0.400	0.453
A.20	0.483	0.444	0.415	0.406	0.397	0.401	0.385	0.368	0.355	0.435	0	0.337	0.397	0.385	0.402	0.393	0.418	0.415	0.425	0.446	0.414	0.435	0.429	0.436	0.423	0.437	0.426	0.407	0.408	0.416	0.442	0.602	0.697	0.625	0.611	0.715	0.644	0.593	0.505
A.21	0.487	0.460	0.433	0.426	0.414	0.421	0.417	0.389	0.370	0.451	0.337	0	0.395	0.394	0.391	0.409	0.413	0.414	0.418	0.460	0.414	0.429	0.420	0.452	0.445	0.446	0.444	0.416	0.422	0.419	0.432	0.618	0.705	0.642	0.621	0.731	0.659	0.596	0.511
A.23	0.538	0.524	0.510	0.490	0.485	0.485	0.474	0.458	0.427	0.524	0.397	0.395	0	0.341	0.355	0.354	0.363	0.363	0.365	0.523	0.368	0.397	0.392	0.523	0.506	0.514	0.514	0.479	0.494	0.381	0.396	0.647	0.716	0.657	0.640	0.748	0.655	0.609	0.532
A.24	0.499	0.486	0.480	0.466	0.469	0.467	0.451	0.427	0.411	0.490	0.385	0.394	0.341	0	0.316	0.328	0.335	0.342	0.338	0.489	0.329	0.358	0.369	0.495	0.482	0.490	0.486	0.455	0.466	0.360	0.358	0.605	0.695	0.627	0.604	0.728	0.636	0.571	0.512
A.25	0.497	0.485	0.474	0.463	0.465	0.465	0.454	0.430	0.419	0.483	0.402	0.391	0.355	0.316	0	0.315	0.320	0.328	0.335	0.487	0.328	0.347	0.364	0.491	0.478	0.480	0.480	0.463	0.467	0.358	0.350	0.600	0.677	0.623	0.602	0.727	0.625	0.557	0.508
A.26	0.479	0.477	0.463	0.462	0.457	0.464	0.452	0.438	0.417	0.479	0.393	0.409	0.354	0.328	0.315	0	0.301	0.311	0.306	0.479	0.302	0.312	0.347	0.486	0.467	0.480	0.474	0.463	0.464	0.323	0.324	0.600	0.685	0.628	0.607	0.731	0.614	0.551	0.509
A.27	0.483	0.477	0.474	0.472	0.472	0.475	0.457	0.445	0.428	0.479	0.418	0.413	0.363	0.335	0.320	0.301	0	0.305	0.290	0.486	0.309	0.311	0.343	0.486	0.478	0.484	0.486	0.470	0.470	0.344	0.329	0.591	0.681	0.619	0.598	0.719	0.621	0.552	0.521
A.28	0.467	0.470	0.474	0.466	0.456	0.466	0.451	0.444	0.423	0.479	0.415	0.414	0.363	0.342	0.328	0.311	0.305	0	0.303	0.476	0.312	0.313	0.344	0.477	0.472	0.477	0.489	0.464	0.465	0.331	0.330	0.594	0.675	0.619	0.595	0.722	0.620	0.542	0.517
A.29	0.485	0.473	0.471	0.464	0.478	0.479	0.460	0.444	0.435	0.487	0.425	0.418	0.365	0.338	0.335	0.306	0.290	0.303	0	0.472	0.291	0.285	0.331	0.482	0.478	0.483	0.487	0.468	0.470	0.327	0.312	0.596	0.678	0.620	0.594	0.722	0.611	0.537	0.520
A.3	0.252	0.223	0.263	0.282	0.298	0.288	0.307	0.345	0.385	0.252	0.446	0.460	0.523	0.489	0.487	0.479	0.486	0.476	0.472	0	0.464	0.457	0.459	0.241	0.267	0.240	0.271	0.306	0.296	0.495	0.476	0.427	0.499	0.428	0.401	0.548	0.515	0.378	0.465
A.30	0.460	0.461	0.464	0.459	0.452	0.452	0.452	0.435	0.426	0.465	0.414	0.414	0.368	0.329	0.328	0.302	0.309	0.312	0.291	0.464	0	0.297	0.321	0.474	0.464	0.465	0.471	0.451	0.460	0.322	0.314	0.576	0.663	0.598	0.573	0.709	0.611	0.529	0.495
A.32	0.453	0.456	0.456	0.464	0.469	0.467	0.450	0.447	0.436	0.466	0.435	0.429	0.397	0.358	0.347	0.312	0.311	0.313	0.285	0.457	0.297	0	0.328	0.467	0.460	0.461	0.479	0.465	0.470	0.334	0.309	0.573	0.661	0.587	0.574	0.715	0.605	0.517	0.509
A.34	0.463	0.462	0.449	0.451	0.456	0.448	0.446	0.430	0.429	0.460	0.429	0.420	0.392	0.369	0.364	0.347	0.343	0.344	0.331	0.459	0.321	0.328	0	0.455	0.455	0.457	0.466	0.448	0.456	0.352	0.337	0.575	0.668	0.599	0.579	0.711	0.621	0.534	0.511
A.4	0.273	0.243	0.266	0.292	0.307	0.295	0.310	0.333	0.385	0.266	0.436	0.452	0.523	0.495	0.491	0.486	0.486	0.477	0.482	0.241	0.474	0.467	0.455	0	0.268	0.257	0.277	0.310	0.302	0.491	0.486	0.436	0.502	0.435	0.414	0.540	0.521	0.394	0.455
A.5	0.294	0.263	0.282	0.300	0.313	0.289	0.318	0.336	0.368	0.284	0.423	0.445	0.506	0.482	0.478	0.467	0.478	0.472	0.478	0.267	0.464	0.460	0.455	0.268	0	0.272	0.292	0.308	0.301	0.488	0.470	0.454	0.528	0.458	0.440	0.575	0.541	0.413	0.456
A.6	0.268	0.249	0.266	0.280	0.310	0.287	0.309	0.337	0.381	0.266	0.437	0.446	0.514	0.490	0.480	0.480	0.484	0.477	0.483	0.240	0.465	0.461	0.457	0.257	0.272	0	0.270	0.305	0.298	0.492	0.483	0.430	0.506	0.437	0.422	0.562	0.520	0.395	0.457
A.7	0.300	0.269	0.273	0.298	0.302	0.305	0.320	0.348	0.379	0.275	0.426	0.444	0.514	0.486	0.480	0.474	0.486	0.489	0.487	0.271	0.471	0.479	0.466	0.277	0.292	0.270	0	0.305	0.304	0.497	0.489	0.458	0.524	0.456	0.434	0.568	0.531	0.425	0.472
