euclidean	A.0	A.1	A.3	A.6	A.4	A.11	A.7	A.9	A.13	A.15	A.2	A.5	A.14	A.12	A.8	A.16	A.17	A.20	A.21	A.23	A.24	A.25	A.26	A.27	A.29	A.30	A.32	A.28	BS.2	C3.2	A.34	T.1	G.1	G.3	G.4	G.2	G.5	GR.01	LW.1
A.0	0	43.7	44.2	44.8	45.2	46.4	46.6	48.8	48.4	48.3	46.2	46.3	47.8	47.7	48.5	49.6	51.3	53.5	53.4	55.1	54.0	54.2	53.6	53.9	54.1	52.9	53.1	53.1	54.4	53.0	53.2	53.0	52.7	52.5	52.3	54.9	56.3	55.1	49.3
A.1	43.7	0	41.0	42.6	42.0	42.7	43.5	44.2	44.3	45.0	43.2	43.2	44.3	44.0	44.9	46.4	48.8	50.4	51.0	53.4	52.4	52.6	52.5	52.6	52.5	52.1	52.4	52.3	52.7	52.6	52.2	52.2	52.0	52.6	52.2	55.1	56.1	55.0	51.0
A.3	44.2	41.0	0	41.6	41.7	43.0	43.4	44.3	44.4	45.0	42.4	43.2	44.1	43.6	44.8	46.7	48.1	50.1	50.7	53.0	52.2	52.4	52.3	52.8	52.1	52.0	52.1	52.3	52.6	52.4	51.7	52.2	52.7	53.5	52.1	55.3	56.0	54.9	50.7
A.6	44.8	42.6	41.6	0	42.3	42.4	42.7	43.6	44.4	44.4	42.8	42.9	43.3	42.7	43.9	45.3	46.9	48.6	48.8	51.3	51.1	50.9	51.2	51.6	51.6	51.0	51.3	51.3	51.3	51.6	50.6	50.6	51.9	53.1	52.5	54.6	55.5	54.0	50.9
A.4	45.2	42.0	41.7	42.3	0	42.4	43.1	43.8	44.1	44.4	42.7	42.5	43.8	43.5	44.2	44.9	47.1	48.4	49.0	51.7	51.2	51.3	51.5	51.6	51.4	51.3	51.6	51.2	51.2	51.7	50.4	50.4	52.2	52.9	51.9	54.3	54.3	53.9	50.8
A.11	46.4	42.7	43.0	42.4	42.4	0	42.2	42.3	43.3	43.0	42.9	43.0	42.9	42.6	43.2	44.6	45.2	46.4	47.2	50.2	49.6	49.6	49.4	50.1	50.0	50.0	50.2	50.2	50.2	50.3	49.2	50.8	52.6	53.3	53.2	55.5	55.3	54.0	52.0
A.7	46.6	43.5	43.4	42.7	43.1	42.2	0	43.2	43.0	44.3	42.7	43.6	43.8	43.2	43.1	45.1	45.8	46.9	47.6	50.1	49.7	49.7	49.7	50.5	50.6	50.1	51.1	50.8	50.4	50.7	49.9	50.3	52.5	53.1	52.2	54.4	54.5	53.3	51.8
A.9	48.8	44.2	44.3	43.6	43.8	42.3	43.2	0	42.4	42.9	43.3	43.1	42.6	43.1	42.9	42.8	44.2	44.3	44.8	47.4	47.0	47.4	47.6	48.0	48.1	47.9	49.1	47.9	47.9	48.7	47.8	48.4	51.6	53.2	52.7	54.3	54.1	52.3	51.8
A.13	48.4	44.3	44.4	44.4	44.1	43.3	43.0	42.4	0	42.1	44.0	43.9	43.0	43.3	43.3	43.0	43.1	43.6	44.2	46.8	47.0	47.1	47.1	48.0	48.4	47.4	48.9	47.3	47.6	48.2	47.6	48.1	52.4	53.5	52.7	54.6	54.0	52.3	51.9
A.15	48.3	45.0	45.0	44.4	44.4	43.0	44.3	42.9	42.1	0	44.7	44.3	43.0	43.1	43.0	43.2	43.3	43.0	44.4	46.3	46.1	46.6	46.9	47.2	47.5	47.4	47.9	47.1	47.1	47.5	47.1	48.7	52.9	54.0	53.4	55.1	54.8	53.1	52.9
A.2	46.2	43.2	42.4	42.8	42.7	42.9	42.7	43.3	44.0	44.7	0	43.5	44.1	43.4	43.7	45.3	46.8	48.0	48.6	51.3	50.6	50.5	50.7	50.8	51.3	50.5	51.1	51.0	51.0	51.0	50.2	50.0	51.9	53.0	51.7	54.2	54.4	53.8	50.9
