euclidean	A.0	A.1	A.11	A.12	A.13	A.14	A.15	A.16	A.17	A.2	A.20	A.21	A.23	A.24	A.25	A.26	A.27	A.28	A.29	A.3	A.30	A.32	A.34	A.4	A.5	A.6	A.7	A.8	A.9	BS.2	C3.2	G.1	G.2	G.3	G.4	G.5	GR.01	LW.1	T.1
A.0	0	43.7	46.4	47.7	48.4	47.8	48.3	49.6	51.3	46.2	53.5	53.4	55.1	54.0	54.2	53.6	53.9	53.1	54.1	44.2	52.9	53.1	53.2	45.2	46.3	44.8	46.6	48.5	48.8	54.4	53.0	52.7	54.9	52.5	52.3	56.3	55.1	49.3	53.0
A.1	43.7	0	42.7	44.0	44.3	44.3	45.0	46.4	48.8	43.2	50.4	51.0	53.4	52.4	52.6	52.5	52.6	52.3	52.5	41.0	52.1	52.4	52.2	42.0	43.2	42.6	43.5	44.9	44.2	52.7	52.6	52.0	55.1	52.6	52.2	56.1	55.0	51.0	52.2
A.11	46.4	42.7	0	42.6	43.3	42.9	43.0	44.6	45.2	42.9	46.4	47.2	50.2	49.6	49.6	49.4	50.1	50.2	50.0	43.0	50.0	50.2	49.2	42.4	43.0	42.4	42.2	43.2	42.3	50.2	50.3	52.6	55.5	53.3	53.2	55.3	54.0	52.0	50.8
A.12	47.7	44.0	42.6	0	43.3	43.0	43.1	43.4	44.5	43.4	44.7	45.6	47.8	47.6	47.7	48.1	48.7	48.5	48.4	43.6	48.4	49.3	48.1	43.5	43.4	42.7	43.2	42.5	43.1	48.5	48.5	51.9	54.3	53.0	52.1	54.3	52.6	51.4	48.5
A.13	48.4	44.3	43.3	43.3	0	43.0	42.1	43.0	43.1	44.0	43.6	44.2	46.8	47.0	47.1	47.1	48.0	47.3	48.4	44.4	47.4	48.9	47.6	44.1	43.9	44.4	43.0	43.3	42.4	47.6	48.2	52.4	54.6	53.5	52.7	54.0	52.3	51.9	48.1
A.14	47.8	44.3	42.9	43.0	43.0	0	43.0	43.2	43.9	44.1	44.6	45.4	47.7	47.7	47.9	48.3	48.9	48.6	49.3	44.1	48.1	49.6	48.0	43.8	42.7	43.3	43.8	43.0	42.6	48.4	49.3	52.5	54.9	53.5	52.8	54.8	52.8	52.4	48.9
A.15	48.3	45.0	43.0	43.1	42.1	43.0	0	43.2	43.3	44.7	43.0	44.4	46.3	46.1	46.6	46.9	47.2	47.1	47.5	45.0	47.4	47.9	47.1	44.4	44.3	44.4	44.3	43.0	42.9	47.1	47.5	52.9	55.1	54.0	53.4	54.8	53.1	52.9	48.7
A.16	49.6	46.4	44.6	43.4	43.0	43.2	43.2	0	41.2	45.3	40.7	41.6	44.0	43.5	44.0	44.7	45.2	45.3	45.3	46.7	45.2	46.4	44.9	44.9	44.4	45.3	45.1	42.8	42.8	45.4	45.7	52.3	54.5	53.6	52.9	53.5	52.1	52.3	46.9
A.17	51.3	48.8	45.2	44.5	43.1	43.9	43.3	41.2	0	46.8	38.6	39.2	41.0	41.2	41.9	42.2	42.9	42.8	43.4	48.1	43.2	44.4	43.5	47.1	45.3	46.9	45.8	42.7	44.2	42.3	43.5	53.2	54.9	54.2	54.3	54.2	52.3	53.0	45.9
A.2	46.2	43.2	42.9	43.4	44.0	44.1	44.7	45.3	46.8	0	48.0	48.6	51.3	50.6	50.5	50.7	50.8	51.0	51.3	42.4	50.5	51.1	50.2	42.7	43.5	42.8	42.7	43.7	43.3	51.0	51.0	51.9	54.2	53.0	51.7	54.4	53.8	50.9	50.0
