jaccard	A.0	A.1	A.11	A.12	A.13	A.14	A.15	A.16	A.17	A.2	A.20	A.21	A.23	A.24	A.25	A.26	A.27	A.28	A.29	A.3	A.30	A.32	A.34	A.4	A.5	A.6	A.7	A.8	A.9	BS.2	C3.2	G.1	G.2	G.3	G.4	G.5	GR.01	LW.1	T.1
A.0	0	0.609	0.688	0.713	0.726	0.711	0.711	0.734	0.738	0.697	0.759	0.760	0.852	0.832	0.828	0.831	0.838	0.832	0.844	0.635	0.829	0.834	0.818	0.669	0.694	0.663	0.705	0.743	0.738	0.812	0.811	0.794	0.843	0.786	0.795	0.868	0.856	0.780	0.801
A.1	0.609	0	0.452	0.488	0.516	0.491	0.539	0.567	0.592	0.489	0.614	0.646	0.807	0.799	0.800	0.807	0.822	0.811	0.821	0.417	0.801	0.807	0.781	0.445	0.491	0.442	0.475	0.537	0.527	0.776	0.790	0.737	0.807	0.726	0.721	0.833	0.805	0.776	0.705
A.11	0.688	0.452	0	0.301	0.341	0.320	0.379	0.412	0.450	0.438	0.548	0.608	0.779	0.766	0.762	0.777	0.795	0.782	0.784	0.414	0.792	0.780	0.741	0.373	0.404	0.347	0.348	0.389	0.362	0.787	0.802	0.762	0.816	0.695	0.705	0.800	0.814	0.799	0.671
A.12	0.713	0.488	0.301	0	0.293	0.273	0.344	0.368	0.417	0.467	0.521	0.593	0.762	0.762	0.757	0.776	0.795	0.784	0.785	0.441	0.794	0.781	0.741	0.392	0.402	0.362	0.350	0.363	0.340	0.779	0.798	0.772	0.830	0.717	0.718	0.815	0.822	0.807	0.658
A.13	0.726	0.516	0.341	0.293	0	0.285	0.333	0.322	0.409	0.457	0.525	0.595	0.754	0.762	0.760	0.779	0.798	0.786	0.784	0.446	0.795	0.784	0.744	0.397	0.390	0.391	0.359	0.341	0.321	0.783	0.802	0.789	0.838	0.732	0.735	0.805	0.833	0.813	0.669
A.14	0.711	0.491	0.320	0.273	0.285	0	0.332	0.352	0.394	0.483	0.513	0.585	0.753	0.757	0.752	0.772	0.795	0.781	0.788	0.458	0.791	0.780	0.739	0.415	0.412	0.381	0.374	0.375	0.359	0.773	0.796	0.780	0.834	0.720	0.725	0.823	0.827	0.807	0.666
A.15	0.711	0.539	0.379	0.344	0.333	0.332	0	0.307	0.364	0.498	0.509	0.577	0.725	0.744	0.741	0.763	0.787	0.768	0.778	0.497	0.793	0.775	0.733	0.465	0.472	0.447	0.446	0.442	0.422	0.761	0.792	0.807	0.853	0.746	0.758	0.827	0.846	0.824	0.703
A.16	0.734	0.567	0.412	0.368	0.322	0.352	0.307	0	0.367	0.474	0.522	0.588	0.719	0.743	0.739	0.763	0.788	0.769	0.775	0.508	0.791	0.774	0.731	0.461	0.449	0.466	0.455	0.396	0.377	0.768	0.793	0.814	0.862	0.756	0.765	0.803	0.853	0.830	0.712
A.17	0.738	0.592	0.450	0.417	0.409	0.394	0.364	0.367	0	0.576	0.473	0.548	0.689	0.720	0.717	0.746	0.774	0.748	0.777	0.571	0.776	0.760	0.715	0.540	0.540	0.520	0.514	0.494	0.485	0.756	0.781	0.815	0.860	0.750	0.767	0.842	0.850	0.838	0.699
A.2	0.697	0.489	0.438	0.467	0.457	0.483	0.498	0.474	0.576	0	0.657	0.693	0.813	0.781	0.774	0.792	0.807	0.793	0.785	0.395	0.802	0.788	0.755	0.377	0.397	0.406	0.413	0.413	0.406	0.805	0.811	0.769	0.814	0.713	0.716	0.744	0.825	0.792	0.721
A.20	0.759	0.614	0.548	0.521	0.525	0.513	0.509	0.522	0.473	0.657	0	0.302	0.704	0.736	0.757	0.779	0.812	0.788	0.819	0.650	0.787	0.797	0.742	0.624	0.632	0.611	0.601	0.580	0.578	0.746	0.777	0.804	0.886	0.802	0.798	0.881	0.839	0.860	0.699
A.21	0.760	0.646	0.608	0.593	0.595	0.585	0.577	0.588	0.548	0.693	0.302	0	0.689	0.731	0.746	0.771	0.803	0.783	0.815	0.680	0.784	0.796	0.742	0.669	0.679	0.660	0.655	0.632	0.629	0.734	0.765	0.818	0.893	0.823	0.816	0.891	0.853	0.870	0.733
A.23	0.852	0.807	0.779	0.762	0.754	0.753	0.725	0.719	0.689	0.813	0.704	0.689	0	0.485	0.546	0.595	0.639	0.612	0.661	0.807	0.652	0.647	0.636	0.813	0.813	0.800	0.803	0.791	0.789	0.692	0.706	0.901	0.910	0.877	0.874	0.918	0.889	0.882	0.864
A.24	0.832	0.799	0.766	0.762	0.762	0.757	0.744	0.743	0.720	0.781	0.736	0.731	0.485	0	0.331	0.428	0.518	0.467	0.535	0.766	0.546	0.526	0.522	0.774	0.778	0.769	0.774	0.779	0.781	0.615	0.641	0.882	0.897	0.839	0.834	0.893	0.872	0.867	0.864
A.25	0.828	0.800	0.762	0.757	0.760	0.752	0.741	0.739	0.717	0.774	0.757	0.746	0.546	0.331	0	0.336	0.439	0.388	0.462	0.758	0.500	0.474	0.534	0.767	0.773	0.763	0.768	0.775	0.776	0.605	0.609	0.881	0.895	0.836	0.836	0.884	0.872	0.864	0.868
A.26	0.831	0.807	0.777	0.776	0.779	0.772	0.763	0.763	0.746	0.792	0.779	0.771	0.595	0.428	0.336	0	0.356	0.308	0.444	0.775	0.460	0.460	0.565	0.786	0.789	0.781	0.786	0.793	0.793	0.609	0.607	0.887	0.898	0.851	0.845	0.897	0.881	0.867	0.875
A.27	0.838	0.822	0.795	0.795	0.798	0.795	0.787	0.788	0.774	0.807	0.812	0.803	0.639	0.518	0.439	0.356	0	0.324	0.394	0.792	0.427	0.449	0.596	0.799	0.804	0.797	0.803	0.809	0.807	0.640	0.597	0.894	0.901	0.858	0.854	0.900	0.890	0.875	0.890
A.28	0.832	0.811	0.782	0.784	0.786	0.781	0.768	0.769	0.748	0.793	0.788	0.783	0.612	0.467	0.388	0.308	0.324	0	0.426	0.782	0.431	0.441	0.560	0.787	0.793	0.786	0.791	0.797	0.797	0.620	0.599	0.888	0.899	0.849	0.845	0.895	0.884	0.866	0.882
A.29	0.844	0.821	0.784	0.785	0.784	0.788	0.778	0.775	0.777	0.785	0.819	0.815	0.661	0.535	0.462	0.444	0.394	0.426	0	0.768	0.421	0.408	0.580	0.777	0.782	0.776	0.783	0.790	0.791	0.618	0.557	0.888	0.897	0.846	0.847	0.879	0.884	0.868	0.888
A.3	0.635	0.417	0.414	0.441	0.446	0.458	0.497	0.508	0.571	0.395	0.650	0.680	0.807	0.766	0.758	0.775	0.792	0.782	0.768	0	0.783	0.772	0.736	0.335	0.392	0.360	0.397	0.457	0.452	0.784	0.790	0.743	0.792	0.685	0.681	0.769	0.802	0.770	0.726
A.30	0.829	0.801	0.792	0.794	0.795	0.791	0.793	0.791	0.776	0.802	0.787	0.784	0.652	0.546	0.500	0.460	0.427	0.431	0.421	0.783	0	0.390	0.535	0.792	0.798	0.788	0.795	0.802	0.806	0.603	0.518	0.877	0.892	0.854	0.848	0.904	0.876	0.862	0.879
A.32	0.834	0.807	0.780	0.781	0.784	0.780	0.775	0.774	0.760	0.788	0.797	0.796	0.647	0.526	0.474	0.460	0.449	0.441	0.408	0.772	0.390	0	0.501	0.782	0.788	0.779	0.787	0.795	0.795	0.630	0.530	0.881	0.894	0.838	0.838	0.890	0.878	0.859	0.882
A.34	0.818	0.781	0.741	0.741	0.744	0.739	0.733	0.731	0.715	0.755	0.742	0.742	0.636	0.522	0.534	0.565	0.596	0.560	0.580	0.736	0.535	0.501	0	0.743	0.750	0.740	0.749	0.755	0.758	0.662	0.623	0.868	0.887	0.817	0.823	0.875	0.865	0.854	0.863
A.4	0.669	0.445	0.373	0.392	0.397	0.415	0.465	0.461	0.540	0.377	0.624	0.669	0.813	0.774	0.767	0.786	0.799	0.787	0.777	0.335	0.792	0.782	0.743	0	0.328	0.316	0.337	0.395	0.383	0.786	0.801	0.750	0.802	0.693	0.693	0.768	0.807	0.784	0.687
A.5	0.694	0.491	0.404	0.402	0.390	0.412	0.472	0.449	0.540	0.397	0.632	0.679	0.813	0.778	0.773	0.789	0.804	0.793	0.782	0.392	0.798	0.788	0.750	0.328	0	0.329	0.339	0.355	0.350	0.789	0.806	0.768	0.819	0.710	0.717	0.777	0.825	0.790	0.669
A.6	0.663	0.442	0.347	0.362	0.391	0.381	0.447	0.466	0.520	0.406	0.611	0.660	0.800	0.769	0.763	0.781	0.797	0.786	0.776	0.360	0.788	0.779	0.740	0.316	0.329	0	0.308	0.389	0.379	0.783	0.795	0.753	0.804	0.692	0.698	0.793	0.809	0.777	0.666
A.7	0.705	0.475	0.348	0.350	0.359	0.374	0.446	0.455	0.514	0.413	0.601	0.655	0.803	0.774	0.768	0.786	0.803	0.791	0.783	0.397	0.795	0.787	0.749	0.337	0.339	0.308	0	0.343	0.335	0.796	0.807	0.764	0.816	0.704	0.708	0.794	0.816	0.793	0.649
A.8	0.743	0.537	0.389	0.363	0.341	0.375	0.442	0.396	0.494	0.413	0.580	0.632	0.791	0.779	0.775	0.793	0.809	0.797	0.790	0.457	0.802	0.795	0.755	0.395	0.355	0.389	0.343	0	0.262	0.797	0.810	0.786	0.838	0.737	0.740	0.779	0.835	0.812	0.634
A.9	0.738	0.527	0.362	0.340	0.321	0.359	0.422	0.377	0.485	0.406	0.578	0.629	0.789	0.781	0.776	0.793	0.807	0.797	0.791	0.452	0.806	0.795	0.758	0.383	0.350	0.379	0.335	0.262	0	0.796	0.813	0.783	0.835	0.728	0.734	0.777	0.831	0.811	0.643
BS.2	0.812	0.776	0.787	0.779	0.783	0.773	0.761	0.768	0.756	0.805	0.746	0.734	0.692	0.615	0.605	0.609	0.640	0.620	0.618	0.784	0.603	0.630	0.662	0.786	0.789	0.783	0.796	0.797	0.796	0	0.525	0.867	0.909	0.870	0.865	0.920	0.857	0.865	0.841
C3.2	0.811	0.790	0.802	0.798	0.802	0.796	0.792	0.793	0.781	0.811	0.777	0.765	0.706	0.641	0.609	0.607	0.597	0.599	0.557	0.790	0.518	0.530	0.623	0.801	0.806	0.795	0.807	0.810	0.813	0.525	0	0.866	0.904	0.867	0.862	0.917	0.864	0.854	0.854
G.1	0.794	0.737	0.762	0.772	0.789	0.780	0.807	0.814	0.815	0.769	0.804	0.818	0.901	0.882	0.881	0.887	0.894	0.888	0.888	0.743	0.877	0.881	0.868	0.750	0.768	0.753	0.764	0.786	0.783	0.867	0.866	0	0.663	0.551	0.527	0.782	0.668	0.623	0.781
G.2	0.843	0.807	0.816	0.830	0.838	0.834	0.853	0.862	0.860	0.814	0.886	0.893	0.910	0.897	0.895	0.898	0.901	0.899	0.897	0.792	0.892	0.894	0.887	0.802	0.819	0.804	0.816	0.838	0.835	0.909	0.904	0.663	0	0.648	0.634	0.674	0.734	0.741	0.879
G.3	0.786	0.726	0.695	0.717	0.732	0.720	0.746	0.756	0.750	0.713	0.802	0.823	0.877	0.839	0.836	0.851	0.858	0.849	0.846	0.685	0.854	0.838	0.817	0.693	0.710	0.692	0.704	0.737	0.728	0.870	0.867	0.551	0.648	0	0.420	0.692	0.701	0.714	0.784
G.4	0.795	0.721	0.705	0.718	0.735	0.725	0.758	0.765	0.767	0.716	0.798	0.816	0.874	0.834	0.836	0.845	0.854	0.845	0.847	0.681	0.848	0.838	0.823	0.693	0.717	0.698	0.708	0.740	0.734	0.865	0.862	0.527	0.634	0.420	0	0.656	0.701	0.690	0.785
G.5	0.868	0.833	0.800	0.815	0.805	0.823	0.827	0.803	0.842	0.744	0.881	0.891	0.918	0.893	0.884	0.897	0.900	0.895	0.879	0.769	0.904	0.890	0.875	0.768	0.777	0.793	0.794	0.779	0.777	0.920	0.917	0.782	0.674	0.692	0.656	0	0.814	0.833	0.893
GR.01	0.856	0.805	0.814	0.822	0.833	0.827	0.846	0.853	0.850	0.825	0.839	0.853	0.889	0.872	0.872	0.881	0.890	0.884	0.884	0.802	0.876	0.878	0.865	0.807	0.825	0.809	0.816	0.835	0.831	0.857	0.864	0.668	0.734	0.701	0.701	0.814	0	0.764	0.843
