jaccard_binary	A.0	A.1	A.11	A.12	A.13	A.14	A.15	A.16	A.17	A.2	A.20	A.21	A.23	A.24	A.25	A.26	A.27	A.28	A.29	A.3	A.30	A.32	A.34	A.4	A.5	A.6	A.7	A.8	A.9	BS.2	C3.2	G.1	G.2	G.3	G.4	G.5	GR.01	LW.1	T.1
A.0	0	0.394	0.456	0.489	0.507	0.490	0.506	0.543	0.588	0.448	0.652	0.655	0.699	0.666	0.664	0.648	0.651	0.637	0.653	0.403	0.630	0.624	0.633	0.429	0.454	0.423	0.461	0.511	0.513	0.669	0.635	0.580	0.639	0.568	0.560	0.691	0.663	0.510	0.628
A.1	0.394	0	0.409	0.442	0.454	0.446	0.465	0.504	0.562	0.413	0.615	0.630	0.688	0.654	0.653	0.646	0.646	0.639	0.642	0.365	0.631	0.626	0.632	0.391	0.417	0.398	0.424	0.466	0.452	0.658	0.644	0.583	0.657	0.581	0.570	0.704	0.677	0.548	0.631
A.11	0.456	0.409	0	0.447	0.467	0.450	0.461	0.505	0.536	0.432	0.586	0.604	0.676	0.649	0.643	0.633	0.643	0.643	0.640	0.416	0.634	0.627	0.620	0.420	0.440	0.420	0.429	0.466	0.448	0.655	0.645	0.627	0.701	0.625	0.619	0.734	0.700	0.597	0.646
A.12	0.489	0.442	0.447	0	0.483	0.468	0.479	0.504	0.544	0.455	0.577	0.598	0.658	0.636	0.633	0.632	0.641	0.635	0.634	0.440	0.629	0.634	0.622	0.453	0.462	0.438	0.459	0.471	0.477	0.650	0.636	0.634	0.705	0.640	0.619	0.741	0.701	0.604	0.629
A.13	0.507	0.454	0.467	0.483	0	0.476	0.471	0.505	0.529	0.472	0.569	0.585	0.654	0.638	0.635	0.628	0.641	0.627	0.647	0.459	0.622	0.639	0.626	0.470	0.477	0.473	0.464	0.494	0.474	0.647	0.644	0.654	0.722	0.658	0.639	0.749	0.708	0.622	0.634
A.14	0.490	0.446	0.450	0.468	0.476	0	0.477	0.499	0.531	0.464	0.573	0.592	0.653	0.637	0.635	0.634	0.644	0.636	0.648	0.447	0.622	0.637	0.619	0.455	0.449	0.446	0.468	0.478	0.468	0.647	0.648	0.643	0.713	0.646	0.628	0.748	0.703	0.619	0.633
A.15	0.506	0.465	0.461	0.479	0.471	0.477	0	0.509	0.531	0.483	0.556	0.588	0.643	0.621	0.625	0.623	0.627	0.622	0.631	0.470	0.622	0.620	0.617	0.473	0.483	0.473	0.485	0.489	0.482	0.636	0.629	0.662	0.730	0.667	0.650	0.762	0.721	0.640	0.643
A.16	0.543	0.504	0.505	0.504	0.505	0.499	0.509	0	0.516	0.511	0.538	0.560	0.629	0.598	0.602	0.609	0.616	0.615	0.615	0.513	0.607	0.618	0.601	0.500	0.503	0.505	0.517	0.504	0.500	0.633	0.623	0.676	0.747	0.683	0.665	0.769	0.732	0.651	0.637
A.17	0.588	0.562	0.536	0.544	0.529	0.531	0.531	0.516	0	0.556	0.524	0.540	0.599	0.582	0.591	0.588	0.599	0.594	0.607	0.556	0.597	0.607	0.601	0.556	0.538	0.551	0.550	0.524	0.545	0.601	0.609	0.717	0.783	0.717	0.711	0.812	0.765	0.686	0.647
A.2	0.448	0.413	0.432	0.455	0.472	0.464	0.483	0.511	0.556	0	0.607	0.622	0.688	0.658	0.651	0.648	0.648	0.648	0.655	0.403	0.635	0.635	0.630	0.420	0.442	0.421	0.432	0.470	0.459	0.662	0.650	0.608	0.673	0.615	0.588	0.710	0.689	0.572	0.624
