manhatten	A.0	A.1	A.11	A.12	A.13	A.14	A.15	A.16	A.17	A.2	A.20	A.21	A.23	A.24	A.25	A.26	A.27	A.28	A.29	A.3	A.30	A.32	A.34	A.4	A.5	A.6	A.7	A.8	A.9	BS.2	C3.2	G.1	G.2	G.3	G.4	G.5	GR.01	LW.1	T.1
A.0	0	1914.0	2155.0	2273.0	2340.0	2289.0	2334.0	2458.0	2627.0	2136.0	2860.0	2851.0	3036.0	2920.0	2938.0	2870.0	2901.0	2820.0	2924.0	1950.0	2803.0	2823.0	2825.0	2041.0	2140.0	2009.0	2173.0	2353.0	2383.0	2954.0	2807.0	2773.0	3012.0	2761.0	2738.0	3168.0	3036.0	2426.0	2804.0
A.1	1914.0	0	1825.0	1935.0	1960.0	1961.0	2024.0	2150.0	2379.0	1870.0	2536.0	2599.0	2850.0	2742.0	2762.0	2756.0	2769.0	2740.0	2756.0	1682.0	2713.0	2745.0	2723.0	1765.0	1862.0	1813.0	1895.0	2019.0	1957.0	2782.0	2767.0	2707.0	3032.0	2765.0	2726.0	3146.0	3026.0	2596.0	2730.0
A.11	2155.0	1825.0	0	1818.0	1879.0	1840.0	1849.0	1985.0	2046.0	1839.0	2157.0	2228.0	2517.0	2463.0	2459.0	2439.0	2508.0	2521.0	2503.0	1845.0	2498.0	2516.0	2420.0	1796.0	1853.0	1802.0	1784.0	1864.0	1788.0	2517.0	2530.0	2770.0	3075.0	2838.0	2835.0	3063.0	2915.0	2709.0	2579.0
A.12	2273.0	1935.0	1818.0	0	1875.0	1848.0	1857.0	1887.0	1984.0	1887.0	1999.0	2076.0	2283.0	2265.0	2275.0	2309.0	2368.0	2351.0	2341.0	1901.0	2346.0	2430.0	2310.0	1896.0	1887.0	1822.0	1864.0	1804.0	1856.0	2355.0	2350.0	2690.0	2953.0	2812.0	2717.0	2949.0	2769.0	2639.0	2355.0
A.13	2340.0	1960.0	1879.0	1875.0	0	1849.0	1774.0	1848.0	1861.0	1938.0	1902.0	1957.0	2194.0	2212.0	2222.0	2222.0	2301.0	2240.0	2344.0	1970.0	2245.0	2393.0	2269.0	1949.0	1924.0	1973.0	1847.0	1879.0	1795.0	2270.0	2327.0	2747.0	2986.0	2857.0	2778.0	2918.0	2740.0	2690.0	2318.0
A.14	2289.0	1961.0	1840.0	1848.0	1849.0	0	1853.0	1869.0	1926.0	1941.0	1985.0	2058.0	2271.0	2279.0	2295.0	2329.0	2392.0	2363.0	2427.0	1949.0	2318.0	2458.0	2304.0	1918.0	1825.0	1872.0	1916.0	1850.0	1816.0	2347.0	2430.0	2758.0	3015.0	2862.0	2785.0	3005.0	2793.0	2745.0	2391.0
A.15	2334.0	2024.0	1849.0	1857.0	1774.0	1853.0	0	1868.0	1871.0	1996.0	1846.0	1973.0	2146.0	2128.0	2172.0	2198.0	2231.0	2218.0	2260.0	2028.0	2247.0	2295.0	2221.0	1967.0	1960.0	1971.0	1961.0	1853.0	1839.0	2216.0	2253.0	2801.0	3038.0	2919.0	2854.0	3002.0	2820.0	2802.0	2372.0
A.16	2458.0	2150.0	1985.0	1887.0	1848.0	1869.0	1868.0	0	1699.0	2050.0	1658.0	1727.0	1940.0	1890.0	1932.0	2000.0	2041.0	2050.0	2050.0	2182.0	2039.0	2151.0	2015.0	2017.0	1972.0	2051.0	2031.0	1833.0	1831.0	2064.0	2087.0	2739.0	2974.0	2875.0	2802.0	2862.0	2718.0	2738.0	2202.0
A.17	2627.0	2379.0	2046.0	1984.0	1861.0	1926.0	1871.0	1699.0	0	2187.0	1493.0	1534.0	1683.0	1699.0	1759.0	1781.0	1838.0	1829.0	1881.0	2317.0	1868.0	1970.0	1888.0	2216.0	2051.0	2202.0	2098.0	1824.0	1950.0	1791.0	1894.0	2832.0	3019.0	2934.0	2945.0	2933.0	2735.0	2807.0	2111.0
A.2	2136.0	1870.0	1839.0	1887.0	1938.0	1941.0	1996.0	2050.0	2187.0	0	2306.0	2363.0	2636.0	2564.0	2552.0	2572.0	2583.0	2598.0	2636.0	1796.0	2547.0	2613.0	2523.0	1821.0	1892.0	1831.0	1825.0	1913.0	1875.0	2600.0	2605.0	2689.0	2938.0	2813.0	2676.0	2964.0	2894.0	2588.0	2496.0
A.20	2860.0	2536.0	2157.0	1999.0	1902.0	1985.0	1846.0	1658.0	1493.0	2306.0	0	1267.0	1410.0	1442.0	1530.0	1530.0	1633.0	1634.0	1674.0	2514.0	1657.0	1799.0	1721.0	2343.0	2192.0	2359.0	2195.0	1937.0	1965.0	1572.0	1741.0	2821.0	3006.0	3037.0	3024.0	2790.0	2596.0	2956.0	2034.0
A.21	2851.0	2599.0	2228.0	2076.0	1957.0	2058.0	1973.0	1727.0	1534.0	2363.0	1267.0	0	1381.0	1455.0	1467.0	1569.0	1592.0	1607.0	1623.0	2569.0	1634.0	1750.0	1662.0	2402.0	2279.0	2380.0	2262.0	1956.0	2010.0	1561.0	1678.0	2860.0	3001.0	3086.0	3037.0	2811.0	2617.0	2941.0	2031.0
A.23	3036.0	2850.0	2517.0	2283.0	2194.0	2271.0	2146.0	1940.0	1683.0	2636.0	1410.0	1381.0	0	1188.0	1256.0	1282.0	1323.0	1332.0	1340.0	2806.0	1373.0	1533.0	1467.0	2671.0	2488.0	2635.0	2509.0	2149.0	2245.0	1338.0	1453.0	2859.0	2896.0	3017.0	2998.0	2718.0	2464.0	2876.0	2000.0
A.24	2920.0	2742.0	2463.0	2265.0	2212.0	2279.0	2128.0	1890.0	1699.0	2564.0	1442.0	1455.0	1188.0	0	1182.0	1254.0	1285.0	1324.0	1308.0	2724.0	1295.0	1453.0	1455.0	2625.0	2462.0	2611.0	2469.0	2133.0	2209.0	1336.0	1385.0	2791.0	2950.0	3007.0	2946.0	2790.0	2516.0	2808.0	2028.0
A.25	2938.0	2762.0	2459.0	2275.0	2222.0	2295.0	2172.0	1932.0	1759.0	2552.0	1530.0	1467.0	1256.0	1182.0	0	1222.0	1249.0	1290.0	1314.0	2742.0	1309.0	1429.0	1457.0	2633.0	2474.0	2589.0	2469.0	2199.0	2243.0	1352.0	1375.0	2805.0	2914.0	3023.0	2974.0	2832.0	2512.0	2774.0	2044.0
