unifrac	A.0	A.1	A.11	A.12	A.13	A.14	A.15	A.16	A.17	A.2	A.20	A.21	A.23	A.24	A.25	A.26	A.27	A.28	A.29	A.3	A.30	A.32	A.34	A.4	A.5	A.6	A.7	A.8	A.9	BS.2	CS.2	G.1	G.2	G.3	G.4	G.5	GR.01	LW.1	T.1
A.0	0	0.350	0.449	0.474	0.494	0.472	0.460	0.497	0.484	0.448	0.532	0.509	0.596	0.553	0.547	0.564	0.581	0.568	0.587	0.372	0.569	0.549	0.534	0.419	0.435	0.416	0.468	0.517	0.504	0.502	0.511	0.450	0.491	0.444	0.474	0.561	0.564	0.445	0.537
A.1	0.350	0	0.197	0.232	0.253	0.222	0.255	0.277	0.289	0.227	0.331	0.367	0.535	0.504	0.506	0.528	0.563	0.535	0.565	0.140	0.551	0.537	0.498	0.184	0.224	0.179	0.212	0.289	0.273	0.479	0.525	0.400	0.477	0.347	0.367	0.537	0.457	0.482	0.426
A.11	0.449	0.197	0	0.0765	0.103	0.088	0.149	0.167	0.199	0.174	0.205	0.261	0.471	0.466	0.481	0.516	0.566	0.524	0.533	0.161	0.548	0.521	0.463	0.121	0.151	0.106	0.113	0.148	0.130	0.495	0.556	0.445	0.534	0.354	0.378	0.518	0.445	0.542	0.390
A.12	0.474	0.232	0.0765	0	0.0645	0.0564	0.125	0.139	0.166	0.206	0.177	0.238	0.441	0.470	0.479	0.512	0.560	0.526	0.531	0.194	0.547	0.517	0.470	0.139	0.152	0.118	0.124	0.133	0.115	0.491	0.551	0.470	0.559	0.386	0.404	0.548	0.459	0.565	0.371
A.13	0.494	0.253	0.103	0.0645	0	0.0658	0.112	0.110	0.164	0.190	0.159	0.224	0.436	0.470	0.483	0.519	0.567	0.534	0.532	0.192	0.554	0.529	0.454	0.131	0.145	0.133	0.126	0.114	0.0995	0.499	0.558	0.493	0.574	0.412	0.429	0.531	0.482	0.576	0.392
A.14	0.472	0.222	0.088	0.0564	0.0658	0	0.114	0.134	0.158	0.207	0.181	0.243	0.431	0.469	0.475	0.506	0.553	0.523	0.532	0.191	0.543	0.515	0.470	0.152	0.162	0.126	0.132	0.144	0.130	0.484	0.544	0.477	0.559	0.394	0.412	0.551	0.466	0.561	0.389
A.15	0.460	0.255	0.149	0.125	0.112	0.114	0	0.0855	0.132	0.221	0.175	0.225	0.402	0.455	0.462	0.501	0.550	0.521	0.526	0.209	0.547	0.515	0.449	0.196	0.195	0.187	0.198	0.187	0.172	0.476	0.541	0.525	0.585	0.437	0.459	0.536	0.506	0.591	0.433
A.16	0.497	0.277	0.167	0.139	0.110	0.134	0.0855	0	0.142	0.188	0.154	0.206	0.394	0.453	0.465	0.506	0.554	0.519	0.525	0.223	0.546	0.516	0.439	0.199	0.193	0.202	0.212	0.153	0.147	0.485	0.547	0.540	0.594	0.457	0.476	0.505	0.520	0.596	0.445
A.17	0.484	0.289	0.199	0.166	0.164	0.158	0.132	0.142	0	0.291	0.164	0.216	0.369	0.425	0.438	0.474	0.524	0.487	0.503	0.273	0.507	0.483	0.438	0.259	0.265	0.236	0.245	0.238	0.232	0.454	0.513	0.527	0.602	0.439	0.468	0.585	0.488	0.599	0.428
A.2	0.448	0.227	0.174	0.206	0.190	0.207	0.221	0.188	0.291	0	0.260	0.263	0.516	0.478	0.490	0.527	0.570	0.531	0.536	0.147	0.559	0.527	0.451	0.129	0.150	0.156	0.164	0.175	0.170	0.509	0.562	0.466	0.513	0.384	0.402	0.446	0.485	0.526	0.453
A.20	0.532	0.331	0.205	0.177	0.159	0.181	0.175	0.154	0.164	0.260	0	0.111	0.424	0.446	0.468	0.510	0.558	0.522	0.518	0.279	0.532	0.513	0.430	0.249	0.257	0.254	0.251	0.191	0.186	0.479	0.542	0.539	0.635	0.456	0.480	0.571	0.488	0.645	0.423
A.21	0.509	0.367	0.261	0.238	0.224	0.243	0.225	0.206	0.216	0.263	0.111	0	0.411	0.423	0.441	0.485	0.531	0.500	0.499	0.311	0.510	0.487	0.423	0.297	0.300	0.305	0.307	0.231	0.229	0.455	0.511	0.557	0.647	0.487	0.506	0.557	0.517	0.656	0.467
A.23	0.596	0.535	0.471	0.441	0.436	0.431	0.402	0.394	0.369	0.516	0.424	0.411	0	0.220	0.251	0.280	0.344	0.302	0.350	0.502	0.351	0.328	0.354	0.517	0.510	0.502	0.512	0.482	0.482	0.395	0.422	0.691	0.682	0.627	0.638	0.674	0.586	0.670	0.655
A.24	0.553	0.504	0.466	0.470	0.470	0.469	0.455	0.453	0.425	0.478	0.446	0.423	0.220	0	0.105	0.167	0.250	0.195	0.221	0.446	0.234	0.207	0.234	0.469	0.472	0.461	0.476	0.486	0.489	0.303	0.332	0.653	0.650	0.573	0.591	0.636	0.515	0.633	0.629
A.25	0.547	0.506	0.481	0.479	0.483	0.475	0.462	0.465	0.438	0.490	0.468	0.441	0.251	0.105	0	0.0972	0.182	0.144	0.172	0.451	0.211	0.173	0.256	0.478	0.483	0.470	0.490	0.504	0.504	0.302	0.314	0.659	0.655	0.589	0.599	0.646	0.523	0.638	0.648
A.26	0.564	0.528	0.516	0.512	0.519	0.506	0.501	0.506	0.474	0.527	0.510	0.485	0.280	0.167	0.0972	0	0.137	0.0997	0.176	0.487	0.196	0.188	0.279	0.515	0.517	0.506	0.529	0.539	0.539	0.313	0.330	0.672	0.666	0.603	0.614	0.678	0.551	0.646	0.659
A.27	0.581	0.563	0.566	0.560	0.567	0.553	0.550	0.554	0.524	0.570	0.558	0.531	0.344	0.250	0.182	0.137	0	0.112	0.163	0.527	0.174	0.185	0.311	0.553	0.555	0.545	0.572	0.581	0.580	0.347	0.315	0.689	0.678	0.632	0.640	0.697	0.563	0.656	0.695
A.28	0.568	0.535	0.524	0.526	0.534	0.523	0.521	0.519	0.487	0.531	0.522	0.500	0.302	0.195	0.144	0.0997	0.112	0	0.172	0.497	0.182	0.189	0.285	0.520	0.526	0.515	0.534	0.546	0.548	0.329	0.332	0.663	0.658	0.602	0.612	0.668	0.550	0.635	0.667
A.29	0.587	0.565	0.533	0.531	0.532	0.532	0.526	0.525	0.503	0.536	0.518	0.499	0.350	0.221	0.172	0.176	0.163	0.172	0	0.497	0.166	0.141	0.288	0.520	0.522	0.514	0.535	0.547	0.546	0.328	0.286	0.676	0.666	0.610	0.625	0.659	0.535	0.645	0.687
A.3	0.372	0.140	0.161	0.194	0.192	0.191	0.209	0.223	0.273	0.147	0.279	0.311	0.502	0.446	0.451	0.487	0.527	0.497	0.497	0	0.519	0.484	0.416	0.0992	0.142	0.119	0.157	0.218	0.206	0.466	0.521	0.410	0.471	0.324	0.344	0.452	0.425	0.484	0.451
A.30	0.569	0.551	0.548	0.547	0.554	0.543	0.547	0.546	0.507	0.559	0.532	0.510	0.351	0.234	0.211	0.196	0.174	0.182	0.166	0.519	0	0.148	0.263	0.543	0.547	0.536	0.556	0.562	0.569	0.319	0.265	0.662	0.655	0.591	0.605	0.687	0.523	0.632	0.673
A.32	0.549	0.537	0.521	0.517	0.529	0.515	0.515	0.516	0.483	0.527	0.513	0.487	0.328	0.207	0.173	0.188	0.185	0.189	0.141	0.484	0.148	0	0.236	0.509	0.513	0.503	0.527	0.542	0.543	0.342	0.287	0.655	0.645	0.585	0.600	0.656	0.517	0.622	0.674
A.34	0.534	0.498	0.463	0.470	0.454	0.470	0.449	0.439	0.438	0.451	0.430	0.423	0.354	0.234	0.256	0.279	0.311	0.285	0.288	0.416	0.263	0.236	0	0.435	0.440	0.448	0.464	0.461	0.467	0.365	0.350	0.621	0.614	0.539	0.556	0.582	0.510	0.602	0.630
A.4	0.419	0.184	0.121	0.139	0.131	0.152	0.196	0.199	0.259	0.129	0.249	0.297	0.517	0.469	0.478	0.515	0.553	0.520	0.520	0.0992	0.543	0.509	0.435	0	0.0891	0.0758	0.107	0.156	0.141	0.485	0.544	0.429	0.501	0.345	0.358	0.463	0.440	0.514	0.407
A.5	0.435	0.224	0.151	0.152	0.145	0.162	0.195	0.193	0.265	0.150	0.257	0.300	0.510	0.472	0.483	0.517	0.555	0.526	0.522	0.142	0.547	0.513	0.440	0.0891	0	0.0895	0.109	0.129	0.116	0.480	0.547	0.464	0.529	0.377	0.393	0.480	0.464	0.522	0.379
