unifrac_binary	A.0	A.1	A.3	A.4	A.6	A.2	A.5	A.11	A.7	A.12	A.14	A.13	A.9	A.8	A.15	A.16	A.17	A.20	A.21	A.23	A.24	A.25	A.26	A.27	A.28	A.29	A.30	A.32	C3.2	A.34	BS.2	G.1	G.4	G.3	LW.1	G.2	G.5	GR.01	T.1
A.0	0	0.141	0.144	0.163	0.152	0.171	0.162	0.184	0.180	0.194	0.199	0.212	0.200	0.201	0.200	0.235	0.272	0.367	0.361	0.371	0.345	0.350	0.342	0.336	0.325	0.329	0.324	0.302	0.317	0.291	0.353	0.233	0.226	0.235	0.203	0.288	0.329	0.298	0.256
A.1	0.141	0	0.0863	0.0989	0.106	0.110	0.111	0.114	0.113	0.134	0.138	0.148	0.133	0.146	0.149	0.182	0.225	0.316	0.313	0.350	0.325	0.328	0.323	0.323	0.318	0.320	0.310	0.302	0.314	0.281	0.330	0.242	0.231	0.245	0.229	0.306	0.337	0.300	0.257
A.3	0.144	0.0863	0	0.0957	0.0994	0.105	0.114	0.117	0.111	0.133	0.139	0.153	0.138	0.150	0.154	0.190	0.236	0.321	0.317	0.353	0.330	0.335	0.329	0.330	0.323	0.324	0.315	0.304	0.315	0.283	0.332	0.236	0.226	0.249	0.226	0.303	0.335	0.298	0.252
A.4	0.163	0.0989	0.0957	0	0.0956	0.104	0.105	0.109	0.114	0.125	0.136	0.146	0.131	0.142	0.145	0.177	0.224	0.305	0.307	0.343	0.322	0.326	0.320	0.324	0.316	0.321	0.309	0.302	0.313	0.278	0.322	0.247	0.236	0.260	0.239	0.308	0.339	0.305	0.250
A.6	0.152	0.106	0.0994	0.0956	0	0.103	0.104	0.106	0.108	0.121	0.130	0.142	0.127	0.130	0.138	0.172	0.217	0.301	0.303	0.339	0.316	0.324	0.315	0.322	0.312	0.320	0.306	0.302	0.309	0.276	0.326	0.241	0.234	0.258	0.233	0.306	0.340	0.297	0.237
A.2	0.171	0.110	0.105	0.104	0.103	0	0.115	0.116	0.109	0.132	0.136	0.147	0.129	0.139	0.144	0.181	0.225	0.307	0.310	0.345	0.323	0.330	0.327	0.325	0.319	0.322	0.311	0.305	0.313	0.282	0.330	0.247	0.233	0.258	0.234	0.309	0.339	0.302	0.244
A.5	0.162	0.111	0.114	0.105	0.104	0.115	0	0.111	0.113	0.116	0.115	0.139	0.125	0.129	0.133	0.160	0.204	0.285	0.290	0.323	0.305	0.309	0.302	0.307	0.307	0.305	0.297	0.294	0.297	0.268	0.312	0.262	0.247	0.271	0.245	0.326	0.360	0.311	0.238
A.11	0.184	0.114	0.117	0.109	0.106	0.116	0.111	0	0.102	0.118	0.120	0.135	0.117	0.129	0.133	0.162	0.207	0.280	0.285	0.326	0.306	0.310	0.305	0.311	0.305	0.313	0.297	0.297	0.302	0.266	0.311	0.263	0.253	0.273	0.254	0.326	0.361	0.310	0.254
A.7	0.180	0.113	0.111	0.114	0.108	0.109	0.113	0.102	0	0.119	0.124	0.130	0.123	0.128	0.139	0.167	0.213	0.293	0.293	0.336	0.316	0.323	0.318	0.322	0.319	0.321	0.308	0.309	0.318	0.278	0.327	0.257	0.250	0.266	0.255	0.321	0.354	0.305	0.246
A.12	0.194	0.134	0.133	0.125	0.121	0.132	0.116	0.118	0.119	0	0.114	0.123	0.115	0.118	0.123	0.145	0.189	0.262	0.268	0.307	0.288	0.299	0.295	0.301	0.292	0.298	0.291	0.290	0.295	0.262	0.300	0.272	0.265	0.289	0.262	0.340	0.374	0.318	0.233
