bray_curtis	A0	A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A23	A24	A25	A26	A27	A28	A29	A3	A30	A32	A34	A4	A5	A6	A7	A8	A9	BS2	CS2	G0	G1	G2	G3	G4	G5	GR01	LW1	T1
A0	0	0.337	0.458	0.329	0.366	0.474	0.416	0.473	0.423	0.416	0.825	0.364	0.443	0.445	0.440	0.681	0.728	0.685	0.763	0.766	0.792	0.699	0.348	0.714	0.786	0.697	0.374	0.409	0.355	0.453	0.447	0.451	0.758	0.709	0.679	0.745	0.739	0.647	0.575	0.795	0.944	0.631	0.577
A1	0.337	0	0.297	0.185	0.145	0.313	0.173	0.302	0.210	0.287	0.677	0.218	0.209	0.243	0.270	0.510	0.580	0.534	0.609	0.603	0.644	0.549	0.206	0.566	0.634	0.543	0.149	0.179	0.147	0.258	0.230	0.253	0.591	0.560	0.629	0.697	0.635	0.571	0.490	0.637	0.951	0.635	0.539
A10	0.458	0.297	0	0.336	0.278	0.279	0.231	0.157	0.187	0.162	0.467	0.270	0.182	0.199	0.166	0.305	0.367	0.321	0.408	0.403	0.424	0.337	0.351	0.345	0.422	0.348	0.287	0.240	0.293	0.137	0.260	0.140	0.382	0.355	0.723	0.741	0.659	0.653	0.585	0.576	0.955	0.714	0.626
A11	0.329	0.185	0.336	0	0.191	0.373	0.247	0.359	0.286	0.319	0.737	0.285	0.299	0.334	0.311	0.569	0.633	0.586	0.656	0.664	0.678	0.602	0.177	0.611	0.692	0.585	0.209	0.262	0.179	0.324	0.303	0.327	0.647	0.614	0.662	0.729	0.643	0.588	0.505	0.699	0.954	0.628	0.549
A12	0.366	0.145	0.278	0.191	0	0.309	0.150	0.311	0.201	0.271	0.682	0.206	0.203	0.238	0.245	0.505	0.574	0.533	0.607	0.613	0.622	0.542	0.191	0.551	0.636	0.522	0.140	0.164	0.122	0.260	0.212	0.253	0.593	0.552	0.615	0.682	0.649	0.550	0.476	0.644	0.953	0.635	0.535
A13	0.474	0.313	0.279	0.373	0.309	0	0.240	0.282	0.243	0.271	0.597	0.303	0.259	0.267	0.265	0.434	0.495	0.454	0.544	0.537	0.560	0.462	0.400	0.468	0.550	0.443	0.322	0.279	0.328	0.263	0.248	0.252	0.518	0.462	0.709	0.747	0.654	0.660	0.598	0.567	0.966	0.693	0.647
A14	0.416	0.173	0.231	0.247	0.150	0.240	0	0.228	0.149	0.218	0.593	0.213	0.139	0.157	0.194	0.416	0.486	0.448	0.523	0.526	0.540	0.456	0.248	0.465	0.547	0.441	0.194	0.151	0.169	0.191	0.165	0.183	0.514	0.474	0.618	0.680	0.649	0.569	0.505	0.569	0.957	0.660	0.572
A15	0.473	0.302	0.157	0.359	0.311	0.282	0.228	0	0.224	0.177	0.422	0.299	0.205	0.189	0.194	0.289	0.325	0.278	0.367	0.353	0.383	0.296	0.405	0.307	0.380	0.290	0.345	0.299	0.328	0.119	0.274	0.154	0.356	0.311	0.716	0.776	0.655	0.690	0.627	0.575	0.964	0.690	0.660
A16	0.423	0.210	0.187	0.286	0.201	0.243	0.149	0.224	0	0.198	0.563	0.223	0.143	0.169	0.174	0.389	0.460	0.416	0.496	0.495	0.516	0.423	0.289	0.441	0.517	0.413	0.220	0.176	0.229	0.187	0.187	0.162	0.477	0.439	0.657	0.706	0.654	0.604	0.527	0.573	0.965	0.678	0.592
A17	0.416	0.287	0.162	0.319	0.271	0.271	0.218	0.177	0.198	0	0.516	0.228	0.206	0.165	0.151	0.362	0.417	0.381	0.466	0.457	0.474	0.381	0.363	0.399	0.474	0.375	0.311	0.278	0.289	0.172	0.269	0.185	0.441	0.389	0.699	0.756	0.652	0.667	0.598	0.576	0.965	0.707	0.593
