OTUID	KO	WT
ASV1	25516.19	10713.27
ASV2	 4631.438	11278.818
ASV3	4167.156	3078.000
ASV4	2525.312	1466.727
ASV5	1032.438	1052.636
ASV6	 431.0312	1899.1818
ASV10	 396.0625	1063.9091
ASV7	  38.125	1936.818
ASV9	477.2500	602.1818
ASV8	562.3438	186.4545
ASV11	502.1562500	  0.6363636
ASV12	440.06250	 69.63636
ASV14	  21.34375	1253.54545
ASV13	  42.71875	1113.63636
ASV15	269.8125	312.1818
ASV21	369.187500	  3.363636
ASV16	137.3125	551.5455
ASV17	 15.3125	711.6364
ASV18	 52.46875	566.54545
ASV19	191.2812	153.7273
ASV20	205.96875	 91.45455
ASV22	 58.28125	446.63636
ASV24	 14.53125	498.09091
ASV37	115.25	201.00
ASV23	 90.9375	263.0909
ASV51	 76.71875	298.27273
ASV27	 23.8750	403.4545
ASV26	  4.34375	446.54545
ASV25	 90.40625	187.18182
ASV1152	125.96875	 70.63636
ASV32	145.4062500	  0.4545455
ASV30	 59.84375	216.72727
ASV28	 95.1250	108.7273
ASV31	 20.78125	301.81818
ASV33	 13.5000	321.2727
ASV29	101.09375	 62.81818
ASV36	94.34375	48.72727
ASV39	71.31250	83.54545
ASV34	  1.03125	285.45455
ASV35	 52.65625	132.00000
ASV38	72.59375	59.09091
ASV44	 16.96875	212.72727
ASV59	69.15625	58.18182
ASV42	 21.03125	178.72727
ASV41	58.81250	48.45455
ASV40	  9.59375	187.18182
ASV45	48.125	71.000
ASV53	68.6875000	 0.5454545
ASV43	64.875000	 4.454545
ASV46	62.187500	 7.727273
ASV50	44.5	56.0
ASV49	47.21875	47.36364
ASV55	29.09375	97.27273
ASV48	51.46875	25.27273
ASV47	49.37500	30.63636
ASV52	56.343750	 1.636364
ASV74	43.6875	31.0000
ASV56	32.56250	62.18182
ASV60	 12.28125	108.00000
ASV84	17.25000	86.18182
ASV58	46.25	 0.00
ASV57	40.53125	16.45455
ASV64	44.9687500	 0.8181818
ASV63	  0.65625	129.36364
ASV70	44.0000000	 0.2727273
ASV91	18.46875	70.27273
ASV66	40.687500	 4.181818
ASV61	15.75000	76.27273
ASV71	40.5937500	 0.3636364
ASV68	33.90625	19.36364
ASV73	24.18750	44.36364
ASV72	29.90625	22.00000
ASV77	34.781250	 7.272727
ASV87	28.21875	26.36364
ASV62	36.312500	 2.272727
ASV67	  0.5625	105.8182
ASV88	29.34375	21.36364
ASV69	28.06250	23.90909
ASV65	 8.65625	78.72727
ASV76	33.593750	 5.818182
ASV83	 6.21875	85.09091
ASV156	32.28125	 3.00000
ASV80	33.3125	 0.0000
ASV85	 2.65625	86.63636
ASV97	22.81250	25.72727
ASV78	 6.96875	66.90909
ASV86	23.75	18.00
ASV82	22.90625	18.00000
ASV89	27.875	 0.000
ASV92	27.65625000	 0.09090909
ASV90	27.031250	 1.090909
ASV81	25.750000	 3.545455
ASV93	 0.28125	74.36364
ASV102	25.75	 0.00
ASV119	 1.90625	69.18182
ASV137	24.90625	 0.00000
ASV103	22.937500	 5.272727
ASV94	22.281250	 6.454545
ASV114	 7.40625	47.54545
ASV109	16.53125	19.09091
ASV113	23.0625	 0.0000
ASV99	23.03125	 0.00000
ASV95	20.593750	 6.909091
ASV98	22.000000	 1.272727
ASV160	 1.34375	61.27273
ASV112	17.68750	13.63636
ASV116	21.468750	 1.636364
ASV115	15.12500	19.45455
ASV101	17.15625	13.18182
ASV107	12.06250	27.63636
ASV104	 3.46875	52.27273
ASV96	 6.25000	43.90909
ASV130	20.8750000	 0.4545455
ASV199	14.37500	16.90909
ASV117	19.250000	 2.090909
ASV151	19.59375	 0.00000
ASV128	16.312500	 9.090909
ASV105	 4.96875	41.72727
ASV120	19.1875	 0.0000
ASV124	16.468750	 7.727273
ASV123	18.7812500	 0.1818182
ASV111	15.15625	10.54545
ASV108	17.500000	 3.090909
ASV163	17.062500	 4.272727
ASV110	 7.8125	31.0000
ASV161	17.156250	 3.545455
ASV131	17.281250	 2.545455
ASV118	 4.90625	38.27273
ASV182	15.406250	 6.545455
ASV136	 0.4375	50.0000
ASV132	17.000000	 1.454545
ASV139	17.21875000	 0.09090909
ASV147	15.437500	 5.272727
ASV174	 0.09375	49.45455
ASV133	17.0625	 0.0000
ASV127	10.96875	17.27273
ASV129	16.375000	 1.545455
ASV125	10.15625	19.45455
ASV121	16.65625	 0.00000
ASV1766	16.59375000	 0.09090909
ASV183	 0.0625	48.0000
ASV145	16.3125	 0.0000
ASV122	11.31250	14.36364
ASV170	12.50000	10.45455
ASV540	 3.15625	37.45455
ASV126	 9.50000	18.27273
ASV175	 1.53125	41.09091
ASV141	15.4687500	 0.3636364
ASV158	 4.31250	32.54545
ASV152	 9.62500	16.90909
ASV149	15.2812500	 0.2727273
ASV134	 0.00000	44.63636
ASV140	 0.68750	41.72727
ASV146	 1.00000	40.45455
ASV148	14.84375	 0.00000
ASV135	14.75	 0.00
ASV153	14.75	 0.00
ASV144	14.65625	 0.00000
ASV138	14.34375	 0.00000
ASV189	 0.06250	41.54545
ASV150	 8.21875	17.45455
ASV142	13.8125	 1.0000
ASV154	12.656250	 4.363636
ASV196	12.906250	 3.545455
ASV177	13.03125	 3.00000
ASV168	 1.75000	35.72727
ASV157	 6.03125	23.00000
ASV252	11.593750	 5.727273
