Genus	A0	A1	A2	A3	A4	A5	A6	A9	A12	A14	A16	A17	A19	A20	A26	BS2	G2	G3	LW1	All
Unassigned	25.1	53.3	39.7	48.2	66.7	53	52.2	56.4	57.7	53.4	72.8	16.8	65.9	60.4	99.3	68.5	68.1	28.5	55.5	69
Alternaria	0.609	0.596	0.223	0.555	0.961	0.616	0.867	0.21	0.779	0.00677	0.00677	0.00677	0.772	0.00677	0.00677	0.00677	0	8.95	0.691	2.6
Rhizophlyctis	0.115	0.975	27.4	4.22	2.04	6.6	1.58	3.17	4.78	6.93	3.35	0.521	3.08	0.0474	0	0	0.0339	0.0948	0	2.5
Coprinellus	2.54	2	1.06	1.35	1.09	1.91	1.38	0.86	0.921	1.57	0.19	0.785	0.0406	1.75	0	0	0	0	0	1.9
Iodophanus	6.3	5.56	3.93	4.85	3.23	4.6	2.91	3.78	4.61	5.36	1.14	0.102	0.839	0.352	0.0406	1.36	0	0.0203	0.0542	1.6
Malassezia	0.142	0.779	0.393	0.102	0.196	0.521	1.22	1.5	0.927	1.55	0.474	1.38	3.22	12.1	0.00677	14.9	1.96	0.0745	0.142	1.3
Spike	0.0948	0.427	0.779	0.582	0.217	0.508	0.961	0.454	0.42	0.244	0.264	0.691	1.24	1.04	0.372	0.257	0.515	0.494	0.704	1.3
Peziza	61.2	24.2	19	30.1	16	22.7	29.6	21.4	21.3	21.9	15.5	6.67	9.26	11.8	0.108	1.81	0	0.0271	0	1.2
Paradictyoarthrinium	0.0677	0.454	1.04	0.508	0.494	0.406	0.433	1.75	0.203	0.0271	0.298	0	2.74	0.0135	0	2.3	0.00677	0.00677	17.1	0.9
Coprinopsis	0.379	0.0542	0	0.244	0.169	0.46	0.44	0.102	0.244	0.318	0	0	0	0.00677	0	0	0	0	0.135	0.7
Psathyrella	0.129	0.332	0	0.19	0.0812	0	0.142	0	0	0.0135	0	0	0	0.00677	0	0	0	0	0	0.7
Mucor	0.0474	0.122	0.0339	0.19	0.359	0.0406	0.102	0.129	0.108	0.406	0	0.169	0.366	0.00677	0	0	0	0.0203	0.102	0.7
Curvularia	0	0.088	0	0.0474	0	0.562	0.413	0	0.19	0.00677	0	0.284	1	0.00677	0	0	0	0.873	0.00677	0.7
Aspergillus	0	0.393	0.149	0.0135	0	0.102	0.183	0	0	0.318	0	0	0.0812	0	0	1.94	0.0542	0.0406	0	0.7
Ceratobasidium	0.0609	0.0948	0.44	0.21	0	0.427	0.00677	0.162	0.311	0.217	0	0	0	0	0	0	0	0	0	0.7
Tarzetta	0.00677	0.183	0.0677	0	0.0542	0.298	0.156	0.217	0	0	0.00677	0	0.785	0	0.162	0.0203	28.7	57.7	2.25	0.6
Waitea	0.454	0.122	0.00677	0.102	0	0.162	0.142	0	0	0	0.718	0	0	0.00677	0	0	0.00677	0	0	0.6
Stemphylium	0.0948	0.135	0.447	0	0.19	0.00677	0.23	0	0.156	0	0	0	0.467	0	0	0	0	0.311	0.0677	0.6
Conocybe	0.0339	0.0948	0	0.0677	0	0.264	0.278	0	0.156	0.0609	0	0	0	0.00677	0	0	0.393	0.23	0	0.6
Oedocephalum	0.0135	0.122	0.0677	0.162	0.00677	0.0271	0.0474	0.244	0.135	0.0677	0.0203	0.00677	0.0203	0.609	0	0	0	0	0	0.4
Penicillium	0	0.521	0.339	0.115	0.555	0.257	0.162	0	0.278	0.406	0.00677	0.42	0.0948	0.00677	0	0	0	0.108	0.0203	0.4
Preussia	0.142	0.108	0.447	0.345	0.596	0.894	0.176	1.85	1.33	0.569	0.339	71.4	0.0406	0.0474	0	0	0	0.0135	0.332	0.4
Mortierella	0.0406	1.73	0	1.88	0.487	0.278	0.298	1.3	0.176	0.0203	1.14	0.0948	5.37	0.0271	0	0	0	0	0.00677	0.4
Entoloma	0.0339	0	0	0	0.149	0	0.00677	0	0	0	0.413	0	0.00677	0	0	0	0.0135	0.569	0.169	0.4
Spizellomyces	0	0	0.00677	0	0.102	0	0	0	0	0	0	0	0.00677	0	0	0	0	0.108	0	0.3
Neocamarosporium	0	0	0.0745	0	0.0609	0	0	0	0	0	0.379	0	0	0.00677	0	0	0	0	0	0.3
Neosetophoma	0	0.0406	0.00677	0	0	0	0	0	0.115	0	0	0	0.609	0	0	0	0	0	0	0.3
Rhizopus	0	0.102	0.284	0.0745	0.102	0.0948	0.102	0.23	0.135	0.088	0.325	0	0	0.156	0	0	0	0.271	0	0.3
Rhizoctonia	1.76	4.24	1.69	4.1	4.06	3.37	2.07	2.56	1.67	3.67	0.00677	0.379	1.33	1.58	0	0	0	0.00677	0.0948	0.3
Exophiala	0	0.196	0.00677	0	0	0	0	0	0	0.203	0	0	0	0	0	0	0	0	0	0.3
Volvopluteus	0	0.0812	0	0	0	0	0	0	0	0	0.745	0	0	0	0	0	0	0	0.0203	0.3
Camarosporidiella	0	0	0	0.0406	0	0	0	0	0	0	0	0	0	0	0	0	0	0.968	0	0.3
Candida	0	0.0745	0.0609	0	0	0	0.501	0.657	0.149	0.102	0	0	0.88	0.454	0	0	0	0	0	0.3
Xenomyrothecium	0	0	0	0.0271	0	0	0	0	0.00677	0	0.00677	0.0135	0	0	0	2.19	0	0.0271	0	0.3
Hohenbuehelia	0	0	0.0542	0.0474	0.0677	0	0.447	0	0.00677	0.00677	0	0	0	0	0	0	0	0	0	0.3
Acremonium	0.0948	1.43	0.711	0.305	0.684	0.684	0.853	0.873	1.56	0.433	1.07	0	0.0474	2.95	0	0	0	0	0	0.3
Chrysosporium	0.0406	0.0474	0	0.00677	0	0	0.183	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Thanatephorus	0	0	0	0.00677	0	0	0.0948	0	0	0.0135	0	0	0.00677	0	0.00677	4.26	0.21	0	0	0.3
Yamadazyma	0	0	0	0.0271	0	0	0.0406	0	0	0	0	0	0	0.00677	0	0	0	0	0	0.1
Wojnowiciella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00677	0.0203	0.0203	20.7	0.1
Pyxidiophora	0.088	0.278	0.108	0	0	0	0	0.345	0.0745	0	0	0.203	0.00677	0	0	0	0	0	0.0812	0.1
Scolecobasidium	0	0.0271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Serendipita	0	0	0	0	0	0	0	0	0	0	0	0	0	0.724	0	0	0	0	0.0135	0.1
Stereum	0	0	0	0	0.0609	0	0	0.244	0.196	0	0	0	0	0	0	0	0	0	0	0.1
Tolypocladium	0.0135	0.102	0.149	0.0271	0.00677	0.0135	0.0948	0.169	0	0.278	0	0	0.575	0.968	0	0	0	0	0	0.1
Valsa	0.0542	0.122	0.291	0.0203	0.311	0	0	0	0.21	0.00677	0.0271	0	0.00677	0.00677	0	0.00677	0	0	0.00677	0.1
Udeniomyces	0.0135	0	0	0	0	0	0	0	0.311	0	0	0	0	0	0	0	0	0.0339	0	0.1
Trichoderma	0	0	0	0.0677	0	0.0745	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Polyschema	0	0	0	0	0	0	0	0	0	0.00677	0	0	0	0	0	2.5	0	0	0	0.1
Dichotomopilus	0	0	0	0.196	0.088	0	0	0	0	0.0677	0	0	0	0.657	0	0	0	0	0	0.1
Debaryomyces	0	0	0	0	0.0745	0	0	0	0.00677	0	0.65	0	0	0	0	0	0	0	0	0.1
Fusarium	0.00677	0.00677	0.0271	0.00677	0.00677	0.00677	0.0542	0.0203	0.00677	0.0135	0	0.0135	0.183	0.0271	0	0	0	0.0474	0	0.1
Hypholoma	0	0	0	0	0	0	0	0	0.183	0.00677	0	0	0	0	0	0	0	0	0	0.1
Hanseniaspora	0	0.00677	0.0339	0	0	0	0	0.0203	0	0	0.102	0	0	0	0	0	0.0135	0.0542	0	0.1
Cyathus	0	0	0	0.0745	0	0	0	0	0	0.291	0	0	0	0	0	0	0	0	0	0.1
Albifimbria	0	0	0	0	0	0.00677	0	0	0	0.00677	0.0271	0	0	0.00677	0	0.00677	0	0.0339	0	0.1
Actinomucor	0.0135	0.0271	0	0	0.0271	0	0.0271	0.0609	0	0	0	0	0	0	0	0	0	0	0	0.1
