#OTUID	A.1	A.16	A.17	A.2	A.29	A.3	A.30	A.32	A.5	A.6	A.7	A.8	A0	A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A23	A24	A25	A26	A27	A28	A29	A3	A30	A32	A34	A4	A5	A6	A7	A8	A9	BS2	CS2	G.1	G.2	G0	G1	G2	G3	G4	G5	GR.01	GR01	LW.1	LW1	T1
ASV1	1	0	0	0	0	0	0	0	0	0	8	1	8156	15372	25825	12774	15121	17718	19572	27793	21240	23612	30062	16681	22464	22340	22344	37880	40198	37972	32217	43015	43899	36968	11473	36912	44088	35000	14588	18005	14345	25486	18434	24964	37282	35801	0	0	720	569	12488	1895	4033	18698	0	258	0	4350	1752
ASV2	0	0	0	0	0	0	0	0	0	0	0	0	4595	6480	5313	4940	7149	4424	7297	3667	6580	4672	6	6488	7071	7217	5601	5483	1940	2766	338	1082	141	898	7768	189	167	377	9132	8913	7252	5351	9286	5623	74	1902	0	0	26958	32320	1910	23758	18379	406	0	45	0	1281	17034
ASV3	0	0	0	0	0	0	0	0	0	0	0	0	6301	5701	7046	7540	6577	4677	5095	4897	6084	6934	13	6459	4779	4876	6473	569	275	605	292	34	514	1259	8191	2247	525	1555	6701	6054	6849	4105	5460	4662	860	35	0	0	2990	3081	710	5226	5576	99	0	47	0	2587	12647
ASV4	0	0	0	0	0	0	0	0	0	0	0	0	6431	4053	1386	3942	3445	2206	3470	3511	2567	4483	69	7506	1966	4068	3480	398	727	1167	170	578	119	2006	3126	1434	552	2255	2212	1787	3609	3456	2588	2043	931	1988	0	0	3329	917	128	866	1417	26	0	64	0	2418	4050
ASV5	0	0	0	0	0	0	0	0	0	0	0	0	1081	1909	674	2950	2467	1046	2111	789	1189	457	4	666	2118	683	689	183	138	515	59	244	18	66	3043	60	83	206	2054	2315	2110	973	931	1207	70	320	0	0	1285	1298	31	2774	2931	65	0	25	0	2630	150
ASV6	0	0	0	0	0	0	0	0	0	0	0	0	305	1043	332	939	702	347	555	293	530	308	1	509	855	327	293	91	103	158	643	31	41	57	925	83	11	62	763	633	865	843	719	426	1034	88	0	0	50	48	15585	707	1159	710	0	225	0	216	1069
ASV10	0	0	0	0	0	0	0	0	0	0	0	0	1560	796	540	656	431	223	366	356	613	245	1	321	481	294	211	182	198	397	759	103	56	110	676	56	96	230	460	417	652	385	410	393	47	147	0	0	90	38	128	75	298	2	0	349	0	10511	18
ASV7	0	0	0	0	0	0	0	0	0	0	0	0	23	82	12	75	50	35	54	94	11	32	0	32	39	35	60	6	4	2	9	4	1	4	72	41	3	1	64	39	77	115	75	69	4	2	0	0	16	13	1090	346	310	19479	0	23	0	14	8
ASV9	0	0	0	0	0	0	0	0	0	0	0	0	725	734	493	777	850	477	552	471	764	480	2	390	868	568	399	53	34	1	281	3	1	233	758	2	4	55	966	680	786	840	1046	979	1	1	0	0	769	510	83	1364	1940	146	0	19	0	910	881
ASV8	0	0	0	0	0	0	0	0	0	0	0	0	296	327	884	593	598	253	486	508	622	776	2	1268	407	504	1515	361	146	420	62	1	495	1463	2127	480	0	760	315	671	414	384	458	399	1064	772	0	0	14	13	0	20	107	0	0	1	0	17	43
ASV11	0	0	0	0	0	0	0	0	0	0	0	0	1	5	126	832	701	278	606	219	191	286	0	586	201	381	2200	399	370	221	662	229	1404	188	28	521	151	509	96	59	2316	318	1727	258	0	0	0	0	0	0	0	1	0	1	0	1	0	0	4
ASV12	0	0	0	0	0	0	0	0	0	0	0	0	175	1065	455	1413	802	159	967	286	677	126	0	336	566	536	329	13	14	203	24	68	0	25	1167	21	16	18	1285	741	868	448	578	701	16	78	0	0	53	46	0	171	222	0	0	3	0	171	6
ASV14	0	0	0	0	0	0	0	0	0	0	0	0	109	14	7	41	31	34	0	3	48	1	0	43	36	2	36	3	4	2	5	2	4	0	43	4	3	3	49	51	49	18	13	25	0	4	0	0	42	21	7590	13	44	4	0	6056	0	10	5
ASV13	0	0	0	0	0	0	0	0	0	0	0	0	70	107	10	17	24	51	66	59	12	119	0	17	39	181	27	11	54	4	12	11	6	58	36	9	7	109	34	22	74	36	4	81	5	2	0	0	3934	3149	138	1814	1499	371	0	345	0	980	13
ASV15	0	0	0	0	0	0	0	0	0	0	0	0	288	86	129	170	61	66	135	91	65	4	0	88	97	44	56	3	4	34	6281	45	21	31	145	2	3	0	143	75	123	106	167	71	2	0	0	0	6	3	16	7	0	5	0	5	0	3	3387
ASV21	0	0	0	0	0	0	0	0	0	0	0	0	6202	508	161	600	340	83	359	122	240	126	0	65	303	91	35	6	35	28	4	49	29	17	625	19	14	34	409	388	425	117	137	243	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV16	0	0	0	0	0	0	0	0	0	0	0	0	311	271	183	282	225	87	180	61	107	82	0	177	229	220	212	1	74	2	21	12	4	14	288	55	3	187	285	287	208	87	122	117	39	130	0	0	6	2	31	10	4	6	0	5469	0	330	40
ASV17	0	0	0	0	0	0	0	0	0	0	0	0	44	21	34	7	60	0	6	0	0	0	0	1	8	0	0	3	2	6	3	2	0	2	78	2	1	1	43	0	95	9	34	28	1	1	0	0	131	137	26	540	298	30	0	6644	0	15	5
ASV18	0	0	0	0	0	0	0	0	0	0	0	0	19	20	31	107	70	1	31	0	21	1	0	10	18	6	0	2	3	414	3	1	5	3	29	2	3	450	24	17	171	6	176	35	3	3	0	0	105	87	4	322	187	8	0	5478	0	17	18
ASV19	0	0	0	0	0	0	0	0	0	0	0	0	763	374	127	324	272	257	165	132	203	154	0	181	251	95	138	93	56	0	39	67	32	0	414	142	0	1	388	225	410	287	168	363	0	0	0	0	127	80	0	231	300	32	0	22	0	373	526
ASV20	0	0	0	0	0	0	0	0	0	0	0	0	120	864	176	560	135	80	150	540	202	104	0	265	77	9	394	234	0	195	0	692	0	36	119	90	152	2	200	252	178	160	354	251	0	1	0	0	164	156	1	196	232	0	0	13	0	233	10
ASV22	0	0	0	0	0	0	0	0	0	0	0	0	47	101	27	77	65	35	227	80	73	426	0	30	23	10	0	3	2	44	3	41	0	3	90	3	2	2	82	48	131	75	18	97	1	3	0	0	1227	1733	299	787	648	10	0	1	0	190	14
ASV24	0	0	0	0	0	0	0	0	0	0	0	0	63	17	0	19	6	0	9	3	29	61	0	5	46	8	6	2	0	1	0	1	17	0	26	1	32	3	43	29	6	22	0	10	3	1	0	0	29	4	1	4	14	3	0	5406	0	13	1
ASV37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	56	2	102	210	0	2180	305	831	0	0	0	0	0	0	295	1910	0	0	1	1	0	0	1	1	0	2	0	0	0
ASV23	0	0	0	0	0	0	0	0	0	0	0	0	162	79	146	56	118	82	128	66	75	159	0	91	101	550	16	49	3	19	1	1	0	204	128	2	1	1	86	156	114	121	68	127	3	0	0	0	553	522	19	570	519	6	0	1	0	15	686
