SampleID	richness	chao1	ACE	shannon	simpson	invsimpson
A0	215	252.2727273	244.8593212	2.527143144	0.684226941	3.166831278
A1	301	350.1111111	354.4345133	4.221480006	0.95246123	21.0354622
A2	254	311.1153846	326.5659012	3.680864793	0.905483017	10.58010917
A3	335	406.55	367.7044311	4.064308537	0.933370419	15.00834888
A4	268	318.2142857	302.8947872	4.292763985	0.957909906	23.75855961
A5	252	329.2142857	306.4350938	4.204185244	0.955995036	22.72470894
A6	344	384.1818182	381.0323048	4.139978675	0.935257486	15.44580108
A9	257	287.875	295.3505974	4.285549733	0.955695865	22.57125662
A12	275	334.9130435	334.3431322	4.183329057	0.957003346	23.25762371
A14	265	392.1538462	352.6786446	4.255829455	0.957116324	23.31889636
A16	180	255.25	282.6722689	4.232044909	0.971553642	35.15388483
A17	135	200	218.2221992	1.736639358	0.508099118	2.032929877
A19	232	328.6	358.9166533	4.268512403	0.976177789	41.97763092
A20	203	464.0714286	408.8933333	3.798850191	0.962015886	26.32679547
A26	34	41	43.57811966	0.461033939	0.158701672	1.188638997
BS2	62	119	126.7	2.591365284	0.826493594	5.763475956
G2	107	142.1	140.6783775	2.519015901	0.822895063	5.646369995
G3	210	234.7916667	234.274963	2.489391223	0.682117178	3.145813271
LW1	219	252.1153846	252.5909322	3.669079317	0.945032414	18.19253974
