SampleID	richness	chao1	ACE	shannon	simpson	invsimpson
A0	201	241.0714286	220.6635103	2.458644406	0.674658324	3.073691673
A1	278	359.6666667	329.0406378	4.128408351	0.950252802	20.10163484
A2	235	310	307.4821161	3.582165215	0.899117853	9.912556717
A3	318	384.3	355.3590391	3.977352752	0.92206376	12.83100141
A4	248	272.4736842	270.1942188	3.916098059	0.947116959	18.90965381
A5	244	313.7894737	310.1938869	4.10969219	0.95282883	21.1993894
A6	317	358.7777778	350.747224	4.022940094	0.930134492	14.31321454
A9	257	322.3333333	310.7640495	4.20861795	0.952291857	20.96078251
A12	259	352.8823529	330.4103174	4.087199622	0.954258514	21.86199213
A14	245	344	329.7015033	4.12238864	0.953547293	21.52727074
A16	169	235	259.7444951	4.066543243	0.967271798	30.55468798
A17	121	165.4	200.8777496	1.611928616	0.484794319	1.940972388
A19	226	337.1304348	349.0341535	4.114522093	0.972432516	36.27461947
A20	200	382.75	377.9640325	3.626116838	0.95477049	22.10945884
A26	41	212	93.98022767	0.457178585	0.158767964	1.188732665
BS2	59	129	144.4752066	2.478151444	0.814595011	5.393598129
G2	102	119.5	123.660375	2.819985972	0.883832169	8.608235075
G3	205	236.0588235	227.9543725	2.45463357	0.669144957	3.022471683
LW1	201	240.4166667	240.9097018	3.336419185	0.924762529	13.29124958

