bray_curtis	A0	A1	A12	A6	A4	A5	A10	A15	A7	A9	A2	A14	A20	A16	A17	A21	A8	A3	A11	A19	A13	A18	A24	A27	A28	A32	A23	A25	A29	A30	BS2	C32	A34	A26	G0	G1	G3	G4	T1	G5	LW1	G2	GR01
A0	0	0.337	0.366	0.355	0.374	0.409	0.458	0.473	0.453	0.451	0.443	0.416	0.445	0.423	0.416	0.440	0.447	0.348	0.329	0.364	0.474	0.825	0.728	0.766	0.792	0.786	0.681	0.685	0.699	0.714	0.758	0.709	0.697	0.763	0.679	0.745	0.647	0.575	0.577	0.795	0.631	0.739	0.944
A1	0.337	0	0.145	0.147	0.149	0.179	0.297	0.302	0.258	0.253	0.209	0.173	0.243	0.210	0.287	0.270	0.230	0.206	0.185	0.218	0.313	0.677	0.580	0.603	0.644	0.634	0.510	0.534	0.549	0.566	0.591	0.560	0.543	0.609	0.629	0.697	0.571	0.490	0.539	0.637	0.635	0.635	0.951
A12	0.366	0.145	0	0.122	0.140	0.164	0.278	0.311	0.260	0.253	0.203	0.150	0.238	0.201	0.271	0.245	0.212	0.191	0.191	0.206	0.309	0.682	0.574	0.613	0.622	0.636	0.505	0.533	0.542	0.551	0.593	0.552	0.522	0.607	0.615	0.682	0.550	0.476	0.535	0.644	0.635	0.649	0.953
A6	0.355	0.147	0.122	0	0.141	0.193	0.293	0.328	0.273	0.279	0.218	0.169	0.256	0.229	0.289	0.239	0.198	0.177	0.179	0.225	0.328	0.698	0.596	0.636	0.634	0.653	0.524	0.549	0.567	0.575	0.618	0.581	0.551	0.620	0.611	0.677	0.548	0.469	0.507	0.658	0.637	0.638	0.950
A4	0.374	0.149	0.140	0.141	0	0.136	0.287	0.345	0.292	0.257	0.206	0.194	0.277	0.220	0.311	0.294	0.188	0.179	0.209	0.253	0.322	0.686	0.587	0.622	0.648	0.643	0.515	0.544	0.559	0.571	0.610	0.571	0.548	0.621	0.598	0.644	0.512	0.434	0.501	0.647	0.643	0.641	0.954
A5	0.409	0.179	0.164	0.193	0.136	0	0.240	0.299	0.257	0.226	0.168	0.151	0.228	0.176	0.278	0.250	0.156	0.226	0.262	0.236	0.279	0.627	0.527	0.562	0.588	0.583	0.458	0.482	0.494	0.507	0.545	0.511	0.501	0.569	0.610	0.643	0.515	0.442	0.549	0.593	0.656	0.651	0.953
A10	0.458	0.297	0.278	0.293	0.287	0.240	0	0.157	0.137	0.140	0.182	0.231	0.199	0.187	0.162	0.166	0.260	0.351	0.336	0.270	0.279	0.467	0.367	0.403	0.424	0.422	0.305	0.321	0.337	0.345	0.382	0.355	0.348	0.408	0.723	0.741	0.653	0.585	0.626	0.576	0.714	0.659	0.955
A15	0.473	0.302	0.311	0.328	0.345	0.299	0.157	0	0.119	0.154	0.205	0.228	0.189	0.224	0.177	0.194	0.274	0.405	0.359	0.299	0.282	0.422	0.325	0.353	0.383	0.380	0.289	0.278	0.296	0.307	0.356	0.311	0.290	0.367	0.716	0.776	0.690	0.627	0.660	0.575	0.690	0.655	0.964
A7	0.453	0.258	0.260	0.273	0.292	0.257	0.137	0.119	0	0.109	0.152	0.191	0.165	0.187	0.172	0.179	0.233	0.353	0.324	0.274	0.263	0.466	0.369	0.405	0.427	0.423	0.298	0.323	0.341	0.353	0.392	0.354	0.336	0.400	0.673	0.738	0.651	0.584	0.621	0.567	0.679	0.643	0.962
A9	0.451	0.253	0.253	0.279	0.257	0.226	0.140	0.154	0.109	0	0.124	0.183	0.172	0.162	0.185	0.181	0.222	0.344	0.327	0.280	0.252	0.485	0.382	0.418	0.442	0.441	0.312	0.341	0.354	0.365	0.415	0.367	0.345	0.426	0.683	0.723	0.632	0.565	0.641	0.573	0.674	0.653	0.960
A2	0.443	0.209	0.203	0.218	0.206	0.168	0.182	0.205	0.152	0.124	0	0.139	0.140	0.143	0.206	0.186	0.196	0.283	0.299	0.268	0.259	0.532	0.434	0.470	0.493	0.488	0.365	0.388	0.404	0.417	0.451	0.417	0.400	0.466	0.658	0.696	0.580	0.515	0.603	0.568	0.662	0.647	0.958
A14	0.416	0.173	0.150	0.169	0.194	0.151	0.231	0.228	0.191	0.183	0.139	0	0.157	0.149	0.218	0.194	0.165	0.248	0.247	0.213	0.240	0.593	0.486	0.526	0.540	0.547	0.416	0.448	0.456	0.465	0.514	0.474	0.441	0.523	0.618	0.680	0.569	0.505	0.572	0.569	0.660	0.649	0.957
A20	0.445	0.243	0.238	0.256	0.277	0.228	0.199	0.189	0.165	0.172	0.140	0.157	0	0.169	0.165	0.154	0.213	0.338	0.334	0.229	0.267	0.533	0.431	0.473	0.490	0.493	0.363	0.377	0.398	0.416	0.459	0.417	0.390	0.479	0.633	0.697	0.614	0.554	0.567	0.574	0.705	0.658	0.957
A16	0.423	0.210	0.201	0.229	0.220	0.176	0.187	0.224	0.187	0.162	0.143	0.149	0.169	0	0.198	0.174	0.187	0.289	0.286	0.223	0.243	0.563	0.460	0.495	0.516	0.517	0.389	0.416	0.423	0.441	0.477	0.439	0.413	0.496	0.657	0.706	0.604	0.527	0.592	0.573	0.678	0.654	0.965
A17	0.416	0.287	0.271	0.289	0.311	0.278	0.162	0.177	0.172	0.185	0.206	0.218	0.165	0.198	0	0.151	0.269	0.363	0.319	0.228	0.271	0.516	0.417	0.457	0.474	0.474	0.362	0.381	0.381	0.399	0.441	0.389	0.375	0.466	0.699	0.756	0.667	0.598	0.593	0.576	0.707	0.652	0.965
A21	0.440	0.270	0.245	0.239	0.294	0.250	0.166	0.194	0.179	0.181	0.186	0.194	0.154	0.174	0.151	0	0.211	0.331	0.311	0.204	0.265	0.536	0.434	0.469	0.466	0.491	0.359	0.391	0.389	0.410	0.448	0.409	0.381	0.476	0.686	0.748	0.658	0.586	0.601	0.578	0.706	0.660	0.960
A8	0.447	0.230	0.212	0.198	0.188	0.156	0.260	0.274	0.233	0.222	0.196	0.165	0.213	0.187	0.269	0.211	0	0.287	0.303	0.240	0.248	0.616	0.509	0.550	0.550	0.572	0.438	0.467	0.489	0.489	0.536	0.497	0.472	0.542	0.610	0.658	0.544	0.473	0.531	0.579	0.675	0.650	0.961
A3	0.348	0.206	0.191	0.177	0.179	0.226	0.351	0.405	0.353	0.344	0.283	0.248	0.338	0.289	0.363	0.331	0.287	0	0.177	0.295	0.400	0.762	0.663	0.704	0.722	0.720	0.593	0.620	0.614	0.645	0.669	0.639	0.619	0.695	0.608	0.670	0.530	0.447	0.485	0.723	0.628	0.669	0.953
A11	0.329	0.185	0.191	0.179	0.209	0.262	0.336	0.359	0.324	0.327	0.299	0.247	0.334	0.286	0.319	0.311	0.303	0.177	0	0.285	0.373	0.737	0.633	0.664	0.678	0.692	0.569	0.586	0.602	0.611	0.647	0.614	0.585	0.656	0.662	0.729	0.588	0.505	0.549	0.699	0.628	0.643	0.954
A19	0.364	0.218	0.206	0.225	0.253	0.236	0.270	0.299	0.274	0.280	0.268	0.213	0.229	0.223	0.228	0.204	0.240	0.295	0.285	0	0.303	0.652	0.555	0.588	0.605	0.610	0.476	0.510	0.506	0.531	0.565	0.521	0.503	0.587	0.662	0.724	0.627	0.554	0.551	0.620	0.699	0.654	0.959
A13	0.474	0.313	0.309	0.328	0.322	0.279	0.279	0.282	0.263	0.252	0.259	0.240	0.267	0.243	0.271	0.265	0.248	0.400	0.373	0.303	0	0.597	0.495	0.537	0.560	0.550	0.434	0.454	0.462	0.468	0.518	0.462	0.443	0.544	0.709	0.747	0.660	0.598	0.647	0.567	0.693	0.654	0.966
