bray_curtis_binary	A0	A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A23	A24	A25	A26	A27	A28	A29	A3	A30	A32	A34	A4	A5	A6	A7	A8	A9	BS2	C32	G0	G1	G2	G3	G4	G5	GR01	LW1	T1
A0	0	0.373	0.466	0.437	0.410	0.524	0.433	0.475	0.519	0.549	0.915	0.496	0.424	0.583	0.536	0.745	0.703	0.782	0.754	0.719	0.797	0.722	0.377	0.703	0.760	0.706	0.380	0.399	0.408	0.419	0.452	0.434	0.767	0.770	0.615	0.622	0.763	0.597	0.594	0.751	0.672	0.538	0.630
A1	0.373	0	0.438	0.366	0.358	0.495	0.412	0.470	0.501	0.548	0.906	0.515	0.384	0.541	0.516	0.750	0.707	0.784	0.737	0.741	0.794	0.726	0.349	0.725	0.746	0.710	0.342	0.372	0.351	0.400	0.413	0.372	0.782	0.770	0.640	0.641	0.789	0.610	0.590	0.776	0.708	0.578	0.638
A10	0.466	0.438	0	0.436	0.405	0.523	0.456	0.485	0.485	0.516	0.886	0.465	0.443	0.480	0.500	0.643	0.639	0.697	0.638	0.685	0.714	0.632	0.448	0.607	0.700	0.674	0.432	0.445	0.438	0.433	0.440	0.445	0.709	0.724	0.621	0.626	0.736	0.603	0.609	0.681	0.684	0.630	0.594
A11	0.437	0.366	0.436	0	0.375	0.519	0.394	0.460	0.504	0.556	0.904	0.501	0.414	0.527	0.525	0.745	0.693	0.765	0.720	0.750	0.779	0.715	0.383	0.733	0.751	0.710	0.393	0.390	0.381	0.427	0.435	0.401	0.766	0.751	0.665	0.648	0.783	0.617	0.639	0.747	0.729	0.628	0.655
A12	0.410	0.358	0.405	0.375	0	0.532	0.366	0.432	0.498	0.522	0.909	0.472	0.382	0.537	0.542	0.735	0.685	0.768	0.713	0.752	0.763	0.705	0.341	0.708	0.746	0.657	0.362	0.387	0.373	0.410	0.439	0.403	0.757	0.760	0.644	0.649	0.764	0.612	0.605	0.746	0.705	0.589	0.648
A13	0.524	0.495	0.523	0.519	0.532	0	0.537	0.570	0.542	0.617	0.873	0.550	0.530	0.584	0.567	0.716	0.697	0.765	0.732	0.765	0.784	0.701	0.500	0.675	0.753	0.700	0.505	0.514	0.477	0.535	0.445	0.528	0.760	0.740	0.724	0.722	0.759	0.662	0.643	0.708	0.778	0.650	0.567
A14	0.433	0.412	0.456	0.394	0.366	0.537	0	0.467	0.504	0.519	0.910	0.471	0.412	0.535	0.511	0.713	0.680	0.758	0.741	0.725	0.761	0.705	0.415	0.700	0.723	0.678	0.428	0.421	0.392	0.431	0.448	0.406	0.739	0.763	0.642	0.654	0.774	0.624	0.596	0.736	0.708	0.619	0.637
A15	0.475	0.470	0.485	0.460	0.432	0.570	0.467	0	0.515	0.458	0.883	0.457	0.468	0.497	0.489	0.655	0.645	0.696	0.675	0.711	0.753	0.657	0.453	0.656	0.710	0.672	0.467	0.459	0.445	0.447	0.472	0.453	0.725	0.725	0.608	0.622	0.752	0.616	0.604	0.732	0.669	0.650	0.625
A16	0.519	0.501	0.485	0.504	0.498	0.542	0.504	0.515	0	0.547	0.873	0.526	0.494	0.542	0.543	0.692	0.676	0.723	0.697	0.680	0.731	0.702	0.509	0.658	0.706	0.642	0.482	0.493	0.476	0.519	0.520	0.470	0.731	0.731	0.688	0.679	0.770	0.658	0.670	0.732	0.757	0.687	0.651
A17	0.549	0.548	0.516	0.556	0.522	0.617	0.519	0.458	0.547	0	0.858	0.477	0.509	0.469	0.493	0.614	0.586	0.688	0.644	0.640	0.704	0.606	0.556	0.617	0.630	0.617	0.513	0.517	0.534	0.525	0.531	0.521	0.672	0.699	0.646	0.628	0.744	0.629	0.628	0.709	0.713	0.673	0.598
A18	0.915	0.906	0.886	0.904	0.909	0.873	0.910	0.883	0.873	0.858	0	0.872	0.904	0.852	0.868	0.761	0.766	0.671	0.778	0.768	0.733	0.757	0.902	0.779	0.796	0.814	0.905	0.890	0.895	0.892	0.872	0.892	0.785	0.756	0.875	0.870	0.828	0.866	0.878	0.806	0.850	0.910	0.852
A19	0.496	0.515	0.465	0.501	0.472	0.550	0.471	0.457	0.526	0.477	0.872	0	0.466	0.490	0.498	0.649	0.640	0.700	0.669	0.688	0.724	0.636	0.510	0.660	0.703	0.658	0.489	0.491	0.454	0.485	0.479	0.480	0.671	0.683	0.608	0.613	0.722	0.612	0.597	0.688	0.696	0.633	0.603
A2	0.424	0.384	0.443	0.414	0.382	0.530	0.412	0.468	0.494	0.509	0.904	0.466	0	0.534	0.474	0.711	0.701	0.761	0.707	0.739	0.769	0.707	0.390	0.715	0.732	0.689	0.392	0.394	0.394	0.410	0.433	0.429	0.740	0.758	0.643	0.648	0.766	0.607	0.613	0.737	0.727	0.615	0.634
A20	0.583	0.541	0.480	0.527	0.537	0.584	0.535	0.497	0.542	0.469	0.852	0.490	0.534	0	0.545	0.644	0.605	0.679	0.650	0.652	0.642	0.607	0.543	0.629	0.672	0.639	0.509	0.544	0.518	0.515	0.517	0.531	0.682	0.690	0.641	0.638	0.734	0.625	0.644	0.695	0.667	0.686	0.614
A21	0.536	0.516	0.500	0.525	0.542	0.567	0.511	0.489	0.543	0.493	0.868	0.498	0.474	0.545	0	0.653	0.633	0.691	0.664	0.649	0.704	0.640	0.527	0.654	0.673	0.633	0.509	0.487	0.479	0.520	0.500	0.513	0.682	0.684	0.670	0.655	0.755	0.625	0.605	0.695	0.732	0.659	0.600
A23	0.745	0.750	0.643	0.745	0.735	0.716	0.713	0.655	0.692	0.614	0.761	0.649	0.711	0.644	0.653	0	0.579	0.604	0.590	0.562	0.639	0.583	0.749	0.597	0.613	0.649	0.738	0.719	0.742	0.701	0.690	0.723	0.565	0.592	0.680	0.654	0.642	0.690	0.701	0.581	0.715	0.734	0.650
A24	0.703	0.707	0.639	0.693	0.685	0.697	0.680	0.645	0.676	0.586	0.766	0.640	0.701	0.605	0.633	0.579	0	0.590	0.618	0.567	0.588	0.534	0.708	0.577	0.592	0.623	0.705	0.687	0.716	0.692	0.639	0.676	0.661	0.650	0.679	0.660	0.718	0.680	0.686	0.640	0.706	0.757	0.651
A25	0.782	0.784	0.697	0.765	0.768	0.765	0.758	0.696	0.723	0.688	0.671	0.700	0.761	0.679	0.691	0.604	0.590	0	0.629	0.621	0.626	0.585	0.771	0.592	0.627	0.640	0.774	0.765	0.765	0.760	0.735	0.764	0.613	0.647	0.772	0.759	0.714	0.785	0.782	0.674	0.739	0.775	0.735
A26	0.754	0.737	0.638	0.720	0.713	0.732	0.741	0.675	0.697	0.644	0.778	0.669	0.707	0.650	0.664	0.590	0.618	0.629	0	0.606	0.657	0.573	0.743	0.587	0.664	0.670	0.721	0.704	0.725	0.693	0.714	0.681	0.643	0.649	0.698	0.693	0.729	0.722	0.716	0.646	0.724	0.765	0.700
A27	0.719	0.741	0.685	0.750	0.752	0.765	0.725	0.711	0.680	0.640	0.768	0.688	0.739	0.652	0.649	0.562	0.567	0.621	0.606	0	0.600	0.588	0.757	0.552	0.594	0.598	0.724	0.724	0.754	0.743	0.710	0.697	0.598	0.589	0.703	0.656	0.729	0.710	0.742	0.703	0.700	0.735	0.719
