jaccard	A0	A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A23	A24	A25	A26	A27	A28	A29	A3	A30	A32	A34	A4	A5	A6	A7	A8	A9	BS2	C32	G0	G1	G2	G3	G4	G5	GR01	LW1	T1
A0	0	0.504	0.629	0.495	0.536	0.643	0.587	0.642	0.595	0.587	0.904	0.534	0.614	0.616	0.611	0.810	0.842	0.813	0.865	0.868	0.884	0.823	0.517	0.833	0.880	0.821	0.545	0.581	0.524	0.623	0.618	0.622	0.862	0.830	0.809	0.854	0.850	0.785	0.730	0.886	0.971	0.774	0.732
A1	0.504	0	0.459	0.312	0.254	0.476	0.295	0.464	0.348	0.445	0.807	0.358	0.346	0.391	0.425	0.675	0.735	0.696	0.757	0.753	0.783	0.709	0.341	0.723	0.776	0.704	0.260	0.304	0.256	0.410	0.374	0.403	0.743	0.718	0.772	0.821	0.777	0.727	0.657	0.778	0.975	0.777	0.701
A10	0.629	0.459	0	0.503	0.435	0.436	0.376	0.271	0.315	0.279	0.636	0.425	0.308	0.331	0.285	0.467	0.537	0.486	0.580	0.575	0.595	0.504	0.520	0.513	0.593	0.516	0.447	0.386	0.453	0.241	0.413	0.245	0.553	0.524	0.839	0.851	0.794	0.790	0.738	0.731	0.977	0.833	0.770
A11	0.495	0.312	0.503	0	0.320	0.543	0.397	0.529	0.445	0.484	0.849	0.444	0.460	0.500	0.475	0.726	0.775	0.739	0.792	0.798	0.808	0.751	0.301	0.759	0.818	0.738	0.346	0.415	0.304	0.490	0.465	0.493	0.785	0.761	0.797	0.843	0.782	0.740	0.671	0.823	0.976	0.771	0.709
A12	0.536	0.254	0.435	0.320	0	0.472	0.261	0.475	0.335	0.427	0.811	0.341	0.337	0.385	0.394	0.671	0.729	0.695	0.755	0.760	0.767	0.703	0.320	0.710	0.777	0.686	0.246	0.282	0.217	0.413	0.350	0.404	0.745	0.712	0.762	0.811	0.787	0.710	0.645	0.784	0.976	0.777	0.697
A13	0.643	0.476	0.436	0.543	0.472	0	0.387	0.440	0.391	0.426	0.748	0.466	0.412	0.421	0.418	0.606	0.662	0.624	0.704	0.699	0.718	0.632	0.571	0.638	0.710	0.614	0.487	0.436	0.494	0.416	0.398	0.403	0.683	0.632	0.829	0.855	0.791	0.795	0.748	0.724	0.983	0.819	0.786
A14	0.587	0.295	0.376	0.397	0.261	0.387	0	0.371	0.259	0.358	0.744	0.351	0.243	0.272	0.325	0.587	0.654	0.619	0.687	0.689	0.701	0.626	0.397	0.635	0.707	0.612	0.325	0.262	0.289	0.321	0.283	0.309	0.679	0.643	0.764	0.809	0.787	0.725	0.671	0.726	0.978	0.795	0.728
A15	0.642	0.464	0.271	0.529	0.475	0.440	0.371	0	0.366	0.301	0.594	0.460	0.340	0.318	0.325	0.448	0.490	0.435	0.537	0.522	0.554	0.456	0.577	0.470	0.551	0.450	0.513	0.460	0.494	0.213	0.430	0.267	0.525	0.474	0.835	0.874	0.791	0.817	0.771	0.731	0.982	0.817	0.795
A16	0.595	0.348	0.315	0.445	0.335	0.391	0.259	0.366	0	0.331	0.720	0.365	0.250	0.289	0.297	0.560	0.630	0.587	0.663	0.662	0.681	0.594	0.449	0.612	0.681	0.585	0.360	0.299	0.373	0.315	0.315	0.279	0.646	0.610	0.793	0.827	0.791	0.753	0.690	0.728	0.982	0.808	0.743
A17	0.587	0.445	0.279	0.484	0.427	0.426	0.358	0.301	0.331	0	0.680	0.372	0.342	0.283	0.263	0.532	0.589	0.552	0.636	0.627	0.644	0.552	0.532	0.570	0.643	0.546	0.474	0.435	0.448	0.293	0.424	0.312	0.612	0.560	0.823	0.861	0.789	0.800	0.748	0.731	0.982	0.829	0.744
A18	0.904	0.807	0.636	0.849	0.811	0.748	0.744	0.594	0.720	0.680	0	0.790	0.694	0.696	0.698	0.351	0.258	0.361	0.503	0.192	0.180	0.378	0.865	0.383	0.174	0.441	0.814	0.771	0.822	0.636	0.762	0.653	0.347	0.409	0.990	0.992	0.848	0.978	0.955	0.755	0.996	0.949	0.978
A19	0.534	0.358	0.425	0.444	0.341	0.466	0.351	0.460	0.365	0.372	0.790	0	0.423	0.372	0.339	0.645	0.714	0.675	0.740	0.741	0.754	0.672	0.456	0.694	0.757	0.669	0.404	0.382	0.367	0.431	0.387	0.437	0.722	0.685	0.797	0.840	0.790	0.771	0.713	0.765	0.979	0.823	0.710
A2	0.614	0.346	0.308	0.460	0.337	0.412	0.243	0.340	0.250	0.342	0.694	0.423	0	0.246	0.313	0.535	0.605	0.559	0.636	0.639	0.660	0.575	0.441	0.588	0.656	0.571	0.342	0.287	0.358	0.263	0.328	0.220	0.622	0.588	0.793	0.821	0.785	0.734	0.679	0.724	0.979	0.797	0.752
