unifrac	A0	A1	A12	A6	A4	A5	A10	A15	A7	A9	A2	A16	A14	A20	A8	A17	A21	A11	A3	A19	A13	A18	A24	A27	A28	A32	A23	A25	A29	A30	C32	BS2	A34	A26	G0	G1	G3	G4	T1	G5	LW1	G2	GR01
A0	0	0.310	0.344	0.338	0.346	0.387	0.437	0.448	0.433	0.425	0.424	0.403	0.398	0.416	0.412	0.402	0.419	0.292	0.327	0.329	0.452	0.822	0.709	0.758	0.787	0.780	0.667	0.671	0.675	0.698	0.693	0.744	0.684	0.753	0.626	0.714	0.604	0.535	0.551	0.785	0.602	0.726	0.840
A1	0.310	0	0.111	0.120	0.125	0.142	0.277	0.280	0.237	0.233	0.182	0.192	0.146	0.219	0.199	0.255	0.248	0.162	0.180	0.190	0.270	0.674	0.559	0.597	0.632	0.628	0.496	0.520	0.523	0.545	0.539	0.580	0.528	0.600	0.567	0.653	0.512	0.440	0.508	0.623	0.574	0.622	0.845
A12	0.344	0.111	0	0.0973	0.110	0.131	0.250	0.290	0.243	0.229	0.183	0.171	0.118	0.214	0.186	0.242	0.219	0.162	0.154	0.176	0.276	0.679	0.554	0.604	0.612	0.628	0.493	0.518	0.509	0.527	0.523	0.575	0.505	0.597	0.571	0.655	0.514	0.436	0.516	0.635	0.581	0.632	0.852
A6	0.338	0.120	0.0973	0	0.115	0.165	0.275	0.311	0.253	0.256	0.200	0.206	0.150	0.232	0.168	0.270	0.217	0.156	0.157	0.205	0.291	0.695	0.573	0.625	0.626	0.646	0.511	0.534	0.542	0.557	0.563	0.603	0.538	0.609	0.560	0.645	0.499	0.417	0.488	0.646	0.586	0.623	0.845
A4	0.346	0.125	0.110	0.115	0	0.0992	0.262	0.324	0.270	0.237	0.183	0.194	0.167	0.246	0.154	0.289	0.276	0.184	0.147	0.232	0.287	0.683	0.566	0.613	0.638	0.634	0.505	0.529	0.529	0.553	0.549	0.591	0.538	0.611	0.559	0.617	0.465	0.382	0.483	0.635	0.586	0.626	0.877
A5	0.387	0.142	0.131	0.165	0.0992	0	0.219	0.276	0.238	0.198	0.143	0.146	0.116	0.201	0.128	0.246	0.228	0.228	0.197	0.210	0.247	0.625	0.508	0.549	0.576	0.577	0.447	0.471	0.470	0.488	0.493	0.533	0.485	0.558	0.566	0.612	0.476	0.405	0.524	0.584	0.606	0.636	0.890
A10	0.437	0.277	0.250	0.275	0.262	0.219	0	0.132	0.112	0.107	0.159	0.151	0.205	0.172	0.231	0.131	0.140	0.308	0.320	0.241	0.249	0.464	0.344	0.395	0.412	0.414	0.287	0.309	0.300	0.322	0.326	0.369	0.319	0.398	0.676	0.709	0.624	0.550	0.606	0.566	0.665	0.646	0.896
A15	0.448	0.280	0.290	0.311	0.324	0.276	0.132	0	0.0995	0.130	0.183	0.206	0.208	0.168	0.253	0.151	0.174	0.345	0.388	0.275	0.256	0.420	0.301	0.342	0.375	0.373	0.273	0.264	0.267	0.286	0.288	0.344	0.280	0.361	0.657	0.731	0.666	0.604	0.636	0.566	0.653	0.641	0.861
A7	0.433	0.237	0.243	0.253	0.270	0.238	0.112	0.0995	0	0.0869	0.129	0.167	0.173	0.142	0.204	0.155	0.157	0.308	0.334	0.252	0.226	0.464	0.343	0.396	0.417	0.415	0.281	0.311	0.313	0.329	0.332	0.378	0.322	0.390	0.623	0.701	0.628	0.564	0.603	0.557	0.636	0.632	0.861
A9	0.425	0.233	0.229	0.256	0.237	0.198	0.107	0.130	0.0869	0	0.102	0.131	0.156	0.147	0.196	0.153	0.156	0.300	0.313	0.245	0.225	0.483	0.362	0.410	0.428	0.435	0.302	0.328	0.320	0.341	0.342	0.391	0.329	0.417	0.639	0.691	0.605	0.541	0.623	0.561	0.617	0.638	0.882
A2	0.424	0.182	0.183	0.200	0.183	0.143	0.159	0.183	0.129	0.102	0	0.113	0.116	0.121	0.167	0.186	0.171	0.278	0.260	0.245	0.222	0.529	0.410	0.464	0.482	0.482	0.353	0.376	0.376	0.396	0.398	0.438	0.387	0.456	0.614	0.666	0.559	0.493	0.591	0.559	0.613	0.635	0.887
A16	0.403	0.192	0.171	0.206	0.194	0.146	0.151	0.206	0.167	0.131	0.113	0	0.120	0.145	0.162	0.167	0.146	0.263	0.255	0.191	0.208	0.559	0.440	0.485	0.505	0.509	0.378	0.402	0.388	0.419	0.408	0.459	0.393	0.485	0.612	0.671	0.566	0.500	0.573	0.565	0.620	0.640	0.883
A14	0.398	0.146	0.118	0.150	0.167	0.116	0.205	0.208	0.173	0.156	0.116	0.120	0	0.129	0.143	0.191	0.164	0.220	0.220	0.181	0.213	0.590	0.467	0.517	0.528	0.541	0.406	0.433	0.426	0.442	0.448	0.498	0.430	0.513	0.576	0.653	0.542	0.476	0.555	0.560	0.606	0.638	0.859
A20	0.416	0.219	0.214	0.232	0.246	0.201	0.172	0.168	0.142	0.147	0.121	0.145	0.129	0	0.181	0.139	0.130	0.311	0.307	0.202	0.234	0.531	0.407	0.461	0.478	0.483	0.347	0.359	0.369	0.389	0.393	0.442	0.372	0.469	0.579	0.657	0.592	0.530	0.554	0.566	0.664	0.648	0.849
A8	0.412	0.199	0.186	0.168	0.154	0.128	0.231	0.253	0.204	0.196	0.167	0.162	0.143	0.181	0	0.243	0.193	0.281	0.257	0.214	0.204	0.614	0.488	0.540	0.544	0.563	0.427	0.453	0.460	0.469	0.477	0.513	0.456	0.531	0.557	0.614	0.507	0.441	0.504	0.566	0.620	0.630	0.879
