unifrac	A0	A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A23	A24	A25	A26	A27	A28	A29	A3	A30	A32	A34	A4	A5	A6	A7	A8	A9	BS2	CS2	G0	G1	G2	G3	G4	G5	GR01	LW1	T1
A0	0	0.310	0.437	0.292	0.344	0.452	0.398	0.448	0.403	0.402	0.822	0.329	0.424	0.416	0.419	0.667	0.709	0.671	0.753	0.758	0.787	0.675	0.327	0.698	0.780	0.684	0.346	0.387	0.338	0.433	0.412	0.425	0.744	0.693	0.626	0.714	0.726	0.604	0.535	0.785	0.840	0.602	0.551
A1	0.310	0	0.277	0.162	0.111	0.270	0.146	0.280	0.192	0.255	0.674	0.190	0.182	0.219	0.248	0.496	0.559	0.520	0.600	0.597	0.632	0.523	0.180	0.545	0.628	0.528	0.125	0.142	0.120	0.237	0.199	0.233	0.580	0.539	0.567	0.653	0.622	0.512	0.440	0.623	0.845	0.574	0.508
A10	0.437	0.277	0	0.308	0.250	0.249	0.205	0.132	0.151	0.131	0.464	0.241	0.159	0.172	0.140	0.287	0.344	0.309	0.398	0.395	0.412	0.300	0.320	0.322	0.414	0.319	0.262	0.219	0.275	0.112	0.231	0.107	0.369	0.326	0.676	0.709	0.646	0.624	0.550	0.566	0.896	0.665	0.606
A11	0.292	0.162	0.308	0	0.162	0.333	0.220	0.345	0.263	0.289	0.735	0.259	0.278	0.311	0.284	0.562	0.614	0.577	0.646	0.657	0.665	0.569	0.145	0.587	0.686	0.570	0.184	0.228	0.156	0.308	0.281	0.300	0.631	0.591	0.609	0.694	0.627	0.549	0.463	0.689	0.844	0.576	0.525
A12	0.344	0.111	0.250	0.162	0	0.276	0.118	0.290	0.171	0.242	0.679	0.176	0.183	0.214	0.219	0.493	0.554	0.518	0.597	0.604	0.612	0.509	0.154	0.527	0.628	0.505	0.110	0.131	0.0973	0.243	0.186	0.229	0.575	0.523	0.571	0.655	0.632	0.514	0.436	0.635	0.852	0.581	0.516
A13	0.452	0.270	0.249	0.333	0.276	0	0.213	0.256	0.208	0.247	0.594	0.268	0.222	0.234	0.242	0.418	0.472	0.432	0.530	0.529	0.552	0.433	0.364	0.446	0.542	0.424	0.287	0.247	0.291	0.226	0.204	0.225	0.486	0.441	0.659	0.714	0.623	0.633	0.560	0.552	0.883	0.634	0.618
A14	0.398	0.146	0.205	0.220	0.118	0.213	0	0.208	0.120	0.191	0.590	0.181	0.116	0.129	0.164	0.406	0.467	0.433	0.513	0.517	0.528	0.426	0.220	0.442	0.541	0.430	0.167	0.116	0.150	0.173	0.143	0.156	0.498	0.448	0.576	0.653	0.638	0.542	0.476	0.560	0.859	0.606	0.555
A15	0.448	0.280	0.132	0.345	0.290	0.256	0.208	0	0.206	0.151	0.420	0.275	0.183	0.168	0.174	0.273	0.301	0.264	0.361	0.342	0.375	0.267	0.388	0.286	0.373	0.280	0.324	0.276	0.311	0.0995	0.253	0.130	0.344	0.288	0.657	0.731	0.641	0.666	0.604	0.566	0.861	0.653	0.636
A16	0.403	0.192	0.151	0.263	0.171	0.208	0.120	0.206	0	0.167	0.559	0.191	0.113	0.145	0.146	0.378	0.440	0.402	0.485	0.485	0.505	0.388	0.255	0.419	0.509	0.393	0.194	0.146	0.206	0.167	0.162	0.131	0.459	0.408	0.612	0.671	0.640	0.566	0.500	0.565	0.883	0.620	0.573
A17	0.402	0.255	0.131	0.289	0.242	0.247	0.191	0.151	0.167	0	0.513	0.201	0.186	0.139	0.112	0.346	0.395	0.370	0.459	0.442	0.461	0.347	0.337	0.373	0.466	0.358	0.289	0.246	0.270	0.155	0.243	0.153	0.423	0.368	0.646	0.722	0.643	0.638	0.564	0.568	0.859	0.667	0.565
A18	0.822	0.674	0.464	0.735	0.679	0.594	0.590	0.420	0.559	0.513	0	0.649	0.529	0.531	0.533	0.209	0.146	0.218	0.333	0.104	0.0985	0.229	0.759	0.234	0.0922	0.279	0.683	0.625	0.695	0.464	0.614	0.483	0.207	0.254	0.979	0.983	0.736	0.955	0.912	0.603	0.991	0.901	0.955
