unifrac_binary	A0	A1	A4	A3	A6	A11	A5	A12	A7	A8	A14	A2	A9	A10	A15	A19	A16	A13	A17	A20	A21	A23	A24	A30	A29	C32	A26	A27	BS2	A28	A32	A25	G0	G1	G3	G4	T1	GR01	LW1	A34	G2	G5	A18
A0	0	0.269	0.264	0.274	0.313	0.299	0.311	0.305	0.306	0.333	0.319	0.333	0.336	0.366	0.376	0.410	0.396	0.418	0.453	0.473	0.431	0.607	0.570	0.589	0.605	0.651	0.607	0.623	0.623	0.653	0.626	0.668	0.589	0.591	0.554	0.514	0.568	0.608	0.464	0.587	0.669	0.660	0.785
A1	0.269	0	0.230	0.231	0.232	0.241	0.252	0.255	0.291	0.298	0.269	0.282	0.276	0.327	0.350	0.387	0.367	0.384	0.400	0.404	0.373	0.578	0.551	0.569	0.597	0.626	0.579	0.596	0.618	0.642	0.598	0.638	0.587	0.603	0.547	0.510	0.561	0.613	0.501	0.556	0.676	0.642	0.783
A4	0.264	0.230	0	0.243	0.255	0.248	0.244	0.248	0.249	0.285	0.277	0.282	0.296	0.319	0.332	0.362	0.339	0.393	0.384	0.376	0.376	0.562	0.538	0.546	0.571	0.617	0.565	0.578	0.605	0.614	0.589	0.653	0.576	0.581	0.517	0.508	0.517	0.611	0.512	0.563	0.656	0.624	0.756
A3	0.274	0.231	0.243	0	0.251	0.254	0.273	0.249	0.283	0.305	0.265	0.282	0.303	0.334	0.341	0.392	0.362	0.373	0.423	0.421	0.379	0.591	0.549	0.563	0.598	0.640	0.579	0.629	0.617	0.638	0.610	0.629	0.609	0.601	0.550	0.521	0.556	0.619	0.491	0.585	0.681	0.631	0.765
A6	0.313	0.232	0.255	0.251	0	0.246	0.283	0.258	0.265	0.263	0.288	0.299	0.309	0.331	0.352	0.349	0.360	0.367	0.403	0.393	0.358	0.569	0.543	0.571	0.592	0.613	0.557	0.587	0.594	0.631	0.592	0.636	0.581	0.594	0.530	0.510	0.537	0.622	0.509	0.561	0.657	0.617	0.759
A11	0.299	0.241	0.248	0.254	0.246	0	0.269	0.261	0.286	0.313	0.275	0.291	0.298	0.321	0.337	0.354	0.351	0.387	0.427	0.407	0.384	0.598	0.539	0.573	0.587	0.631	0.592	0.617	0.624	0.646	0.620	0.651	0.605	0.605	0.546	0.524	0.575	0.630	0.528	0.569	0.676	0.646	0.775
A5	0.311	0.252	0.244	0.273	0.283	0.269	0	0.258	0.270	0.278	0.273	0.291	0.304	0.337	0.341	0.379	0.359	0.397	0.392	0.380	0.369	0.539	0.529	0.547	0.580	0.601	0.550	0.571	0.599	0.630	0.589	0.635	0.594	0.603	0.550	0.521	0.558	0.626	0.523	0.566	0.665	0.632	0.745
A12	0.305	0.255	0.248	0.249	0.258	0.261	0.258	0	0.290	0.289	0.264	0.283	0.302	0.317	0.322	0.356	0.369	0.407	0.409	0.403	0.378	0.575	0.526	0.557	0.584	0.622	0.569	0.609	0.612	0.615	0.584	0.641	0.579	0.587	0.530	0.491	0.542	0.621	0.482	0.564	0.678	0.629	0.752
A7	0.306	0.291	0.249	0.283	0.265	0.286	0.270	0.290	0	0.276	0.289	0.298	0.300	0.319	0.336	0.367	0.367	0.386	0.406	0.406	0.394	0.553	0.521	0.548	0.570	0.613	0.556	0.569	0.606	0.595	0.578	0.635	0.554	0.574	0.502	0.484	0.506	0.592	0.498	0.548	0.650	0.597	0.752
A8	0.333	0.298	0.285	0.305	0.263	0.313	0.278	0.289	0.276	0	0.299	0.328	0.331	0.311	0.328	0.362	0.373	0.342	0.387	0.370	0.347	0.531	0.496	0.518	0.522	0.566	0.532	0.563	0.569	0.607	0.539	0.599	0.562	0.568	0.515	0.502	0.493	0.612	0.501	0.532	0.646	0.582	0.715
A14	0.319	0.269	0.277	0.265	0.288	0.275	0.273	0.264	0.289	0.299	0	0.276	0.292	0.316	0.339	0.347	0.366	0.402	0.395	0.404	0.366	0.570	0.509	0.540	0.561	0.606	0.577	0.596	0.596	0.613	0.583	0.623	0.589	0.614	0.544	0.500	0.556	0.618	0.521	0.557	0.667	0.619	0.764
A2	0.333	0.282	0.282	0.282	0.299	0.291	0.291	0.283	0.298	0.328	0.276	0	0.317	0.324	0.321	0.337	0.360	0.438	0.400	0.404	0.380	0.564	0.528	0.535	0.577	0.639	0.556	0.604	0.589	0.622	0.586	0.611	0.571	0.580	0.530	0.513	0.549	0.608	0.505	0.575	0.661	0.610	0.760
A9	0.336	0.276	0.296	0.303	0.309	0.298	0.304	0.302	0.300	0.331	0.292	0.317	0	0.342	0.340	0.364	0.354	0.435	0.414	0.422	0.385	0.571	0.528	0.549	0.582	0.599	0.554	0.573	0.598	0.619	0.589	0.648	0.603	0.616	0.561	0.528	0.566	0.625	0.521	0.581	0.673	0.644	0.788
A10	0.366	0.327	0.319	0.334	0.331	0.321	0.337	0.317	0.319	0.311	0.316	0.324	0.342	0	0.338	0.343	0.352	0.408	0.355	0.349	0.366	0.493	0.454	0.459	0.487	0.544	0.501	0.547	0.533	0.589	0.544	0.565	0.548	0.556	0.511	0.504	0.502	0.581	0.519	0.537	0.628	0.586	0.710
A15	0.376	0.350	0.332	0.341	0.352	0.337	0.341	0.322	0.336	0.328	0.339	0.321	0.340	0.338	0	0.316	0.368	0.438	0.343	0.380	0.358	0.506	0.480	0.493	0.543	0.587	0.551	0.571	0.566	0.595	0.549	0.590	0.541	0.561	0.499	0.486	0.501	0.596	0.505	0.553	0.656	0.610	0.719
A19	0.410	0.387	0.362	0.392	0.349	0.354	0.379	0.356	0.367	0.362	0.347	0.337	0.364	0.343	0.316	0	0.374	0.421	0.373	0.383	0.375	0.471	0.486	0.520	0.501	0.565	0.524	0.536	0.522	0.574	0.549	0.578	0.533	0.552	0.491	0.459	0.484	0.596	0.519	0.533	0.630	0.573	0.719
A16	0.396	0.367	0.339	0.362	0.360	0.351	0.359	0.369	0.367	0.373	0.366	0.360	0.354	0.352	0.368	0.374	0	0.417	0.425	0.431	0.430	0.546	0.527	0.534	0.587	0.622	0.572	0.596	0.605	0.616	0.586	0.612	0.615	0.612	0.541	0.540	0.554	0.647	0.571	0.546	0.662	0.642	0.720
