SSF,SST,SSP,SSF|SST,SSF|SSP,SST|SSP,SSF|SST|SSP
ASV959,ASV4415,ASV381,ASV325,ASV166,ASV198,ASV1
ASV1099,ASV4139,ASV774,ASV333,ASV343,ASV348,ASV2
ASV1162,ASV4049,ASV875,ASV362,ASV371,ASV3716,ASV3
ASV1086,ASV3134,ASV910,ASV416,ASV1492,ASV5825,ASV4
ASV1173,ASV4309,ASV1138,ASV394,ASV496,ASV1271,ASV5
ASV1192,ASV4613,ASV1431,ASV513,ASV518,ASV1031,ASV7
ASV1238,ASV4958,ASV1409,ASV514,ASV628,ASV1062,ASV6
ASV1278,ASV4448,ASV1256,ASV706,ASV599,ASV1490,ASV9
ASV1522,ASV5532,ASV1323,ASV631,ASV534,ASV1077,ASV10
ASV1670,ASV5213,ASV1952,ASV589,ASV577,ASV1646,ASV8
ASV1302,,ASV1943,ASV733,ASV538,ASV1401,ASV12
ASV1844,,ASV1831,ASV638,ASV659,ASV1325,ASV15
ASV1637,,ASV1579,ASV1852,ASV812,ASV1415,ASV11
ASV1648,,ASV1861,ASV856,ASV612,ASV1301,ASV16
ASV1932,,ASV1787,ASV873,ASV912,ASV2299,ASV14
ASV1687,,ASV1967,ASV832,ASV760,ASV4236,ASV17
ASV1942,,ASV2509,ASV763,ASV744,ASV1420,ASV13
ASV1782,,ASV2363,ASV771,ASV830,ASV1289,ASV18
ASV2045,,ASV1913,ASV897,ASV665,ASV1444,ASV19
ASV2133,,ASV2612,ASV918,ASV811,ASV1592,ASV22
ASV2630,,ASV2681,ASV938,ASV996,ASV1735,ASV21
ASV1854,,ASV2471,ASV699,ASV792,ASV1349,ASV20
ASV3036,,ASV2984,ASV990,ASV712,ASV1764,ASV23
ASV2739,,ASV2214,ASV1381,ASV2319,ASV2052,ASV27
ASV2296,,ASV2475,ASV917,ASV906,ASV2373,ASV25
ASV2157,,ASV2526,ASV970,ASV754,ASV4659,ASV26
ASV2408,,ASV2659,ASV1275,ASV876,ASV2756,ASV69
ASV5787,,ASV2664,ASV885,ASV839,ASV2584,ASV31
ASV3573,,ASV2764,ASV1124,ASV968,ASV5189,ASV24
ASV2286,,ASV2794,ASV1245,ASV895,ASV2441,ASV34
ASV2745,,ASV2580,ASV1136,ASV845,ASV2507,ASV35
ASV2554,,ASV2950,ASV1793,ASV903,ASV3374,ASV36
ASV2558,,ASV2420,ASV1229,ASV1226,ASV3125,ASV29
ASV3050,,ASV2588,ASV1360,ASV882,ASV3498,ASV28
ASV5303,,ASV2503,ASV1260,ASV847,ASV3249,ASV38
ASV4801,,ASV2846,ASV1267,ASV878,ASV2791,ASV33
ASV2458,,ASV3080,ASV1217,ASV1169,ASV5319,ASV32
ASV2682,,ASV3465,ASV1308,ASV842,ASV3441,ASV40
ASV3017,,ASV4086,ASV1641,ASV928,ASV3022,ASV30
ASV2501,,ASV2796,ASV1881,ASV1506,ASV3809,ASV42
ASV2382,,ASV4804,ASV1244,ASV1194,ASV3392,ASV44
ASV2602,,ASV3509,ASV1290,ASV1237,ASV3575,ASV39
ASV2645,,ASV3132,ASV1430,ASV1270,ASV5503,ASV41
ASV3085,,ASV3494,ASV1585,ASV907,ASV4948,ASV51
ASV2613,,ASV3620,ASV2308,ASV958,ASV4670,ASV37
ASV2874,,ASV3875,ASV2066,ASV1081,ASV5802,ASV43
ASV3094,,ASV5601,ASV1354,ASV1106,ASV3662,ASV50
