SSF,SST,SSP,SSF|SST,SSF|SSP,SST|SSP,SSF|SST|SSP
ASV145,ASV224,ASV134,ASV58,ASV34,ASV37,ASV1
ASV203,ASV746,ASV189,ASV80,ASV52,ASV93,ASV2
ASV215,ASV331,ASV197,ASV89,ASV119,ASV174,ASV3
ASV255,ASV470,ASV222,ASV92,ASV104,ASV183,ASV4
ASV194,ASV517,ASV220,ASV102,ASV96,ASV140,ASV5
ASV191,ASV601,ASV273,ASV137,ASV105,ASV193,ASV6
ASV212,ASV756,ASV283,ASV113,ASV118,ASV216,ASV10
ASV234,ASV737,ASV429,ASV99,ASV182,ASV251,ASV7
ASV268,ASV688,ASV313,ASV151,ASV129,ASV438,ASV9
ASV300,ASV1153,ASV339,ASV120,ASV146,ASV379,ASV8
ASV280,ASV994,ASV471,ASV139,ASV150,ASV415,ASV11
ASV291,ASV1054,ASV364,ASV133,ASV157,ASV408,ASV12
ASV274,ASV1166,ASV1855,ASV121,ASV165,ASV552,ASV14
ASV244,ASV864,ASV387,ASV1766,ASV851,ASV751,ASV13
ASV271,ASV1014,ASV453,ASV148,ASV179,ASV609,ASV15
ASV312,ASV1063,ASV452,ASV135,ASV166,ASV577,ASV21
ASV295,ASV1298,ASV675,ASV153,ASV214,ASV599,ASV16
ASV354,ASV1817,ASV653,ASV144,ASV276,ASV678,ASV17
ASV306,ASV1403,ASV546,ASV138,ASV186,ASV685,ASV18
ASV361,ASV1429,ASV519,ASV180,ASV285,ASV652,ASV19
ASV318,ASV1656,ASV734,ASV171,ASV187,ASV704,ASV20
ASV352,ASV1670,ASV1275,ASV162,ASV184,ASV768,ASV22
ASV342,ASV1921,ASV610,ASV155,ASV226,ASV1705,ASV24
ASV493,ASV1647,ASV621,ASV370,ASV380,ASV986,ASV23
ASV349,ASV1739,ASV725,ASV188,ASV211,ASV1160,ASV51
ASV550,ASV1736,ASV1189,ASV201,ASV282,ASV1465,ASV27
ASV417,,ASV1856,ASV198,ASV218,ASV1528,ASV26
ASV392,,ASV953,ASV230,ASV219,ASV1534,ASV25
ASV518,,ASV929,ASV248,ASV202,ASV1665,ASV1152
ASV585,,ASV834,ASV209,ASV261,,ASV32
ASV464,,ASV1350,ASV239,ASV208,,ASV30
ASV419,,ASV1020,ASV246,ASV378,,ASV28
ASV442,,ASV1334,ASV229,ASV243,,ASV31
ASV696,,ASV842,ASV275,ASV240,,ASV33
