Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
A.0	0.0309	0.0492	4007.1	0.996	0.864	573.9	1291.9	26247.0	4006.0	0.285	0.00354	7.16	10.3	3.11
A.1	0.0619	0.0298	3799.4	0.990	0.808	232.2	782.9	26247.0	3798.0	0.341	0.0101	6.66	9.61	2.89
A.11	0.139	0.013	3292.9	0.971	0.720	77.2	340.7	26247.0	3291.0	0.403	0.029	5.83	8.41	2.53
A.12	0.139	0.0109	3019.5	0.969	0.706	68.3	285.7	26247.0	3017.0	0.426	0.0311	5.65	8.16	2.46
A.13	0.166	0.00884	2880.6	0.960	0.684	52.5	232.1	26247.0	2878.0	0.431	0.0401	5.45	7.86	2.37
A.14	0.135	0.0111	3041.3	0.970	0.708	70.8	291.6	26247.0	3039.0	0.422	0.0299	5.68	8.19	2.46
A.15	0.149	0.00973	2884.6	0.967	0.696	64.4	255.4	26247.0	2882.0	0.446	0.0326	5.54	8.00	2.41
A.16	0.190	0.00713	2592.3	0.953	0.666	43.8	187.3	26247.0	2590.0	0.430	0.0474	5.23	7.55	2.27
A.17	0.130	0.00747	2297.6	0.969	0.682	59.6	196.0	26247.0	2295.0	0.421	0.0312	5.28	7.61	2.29
A.2	0.246	0.0097	3389.6	0.934	0.681	36.6	254.5	26247.0	3388.0	0.384	0.0663	5.54	7.99	2.41
A.20	0.08	0.00769	1913.4	0.978	0.703	77.4	201.8	26247.0	1910.0	0.413	0.022	5.31	7.66	2.30
A.21	0.0768	0.00755	1857.0	0.978	0.703	77.8	198.1	26247.0	1853.0	0.420	0.0217	5.29	7.63	2.30
A.23	0.107	0.00558	1645.1	0.968	0.673	53.9	146.3	26247.0	1642.0	0.407	0.0317	4.99	7.19	2.17
A.24	0.117	0.00881	1842.8	0.979	0.724	90.8	231.3	26247.0	1840.0	0.399	0.0209	5.44	7.85	2.36
A.25	0.130	0.00908	1903.3	0.976	0.725	85.1	238.2	26247.0	1900.0	0.396	0.0236	5.47	7.90	2.38
A.26	0.117	0.00925	1983.2	0.978	0.724	88.2	242.8	26247.0	1980.0	0.393	0.0218	5.49	7.92	2.39
A.27	0.116	0.00894	2003.7	0.977	0.718	81.1	234.7	26247.0	2001.0	0.382	0.0235	5.46	7.87	2.37
A.28	0.117	0.00941	2034.5	0.978	0.723	87.7	247.0	26247.0	2032.0	0.376	0.0219	5.51	7.95	2.39
A.29	0.146	0.00879	2029.0	0.969	0.715	67.6	230.7	26247.0	2026.0	0.372	0.0314	5.44	7.85	2.36
A.3	0.161	0.0193	3729.2	0.969	0.757	89.0	506.4	26247.0	3728.0	0.346	0.0308	6.23	8.98	2.70
A.30	0.100	0.0106	2095.7	0.982	0.736	103.3	278.0	26247.0	2093.0	0.385	0.0183	5.63	8.12	2.44
A.32	0.123	0.0111	2225.2	0.978	0.737	95.2	291.8	26247.0	2223.0	0.367	0.0221	5.68	8.19	2.47
A.34	0.132	0.00922	2103.6	0.975	0.718	80.5	242.1	26247.0	2101.0	0.391	0.025	5.49	7.92	2.38
A.4	0.167	0.0142	3468.7	0.964	0.726	68.7	371.8	26247.0	3467.0	0.375	0.0358	5.92	8.54	2.57
A.5	0.179	0.0108	3273.7	0.959	0.698	55.2	284.0	26247.0	3272.0	0.396	0.0413	5.65	8.15	2.45
A.6	0.144	0.0154	3490.7	0.971	0.736	83.4	403.7	26247.0	3489.0	0.383	0.0289	6.00	8.66	2.61
A.7	0.153	0.0115	3243.0	0.965	0.707	63.8	302.7	26247.0	3241.0	0.411	0.035	5.71	8.24	2.48
A.8	0.202	0.00695	2850.1	0.946	0.655	38.3	182.5	26247.0	2847.0	0.462	0.0541	5.21	7.51	2.26
A.9	0.197	0.00723	2907.8	0.948	0.658	39.6	189.9	26247.0	2905.0	0.450	0.0523	5.25	7.57	2.28
BS.2	0.0673	0.00983	1875.3	0.985	0.737	113.3	257.9	26247.0	1872.0	0.390	0.0145	5.55	8.01	2.41
CS.2	0.0954	0.00884	2030.5	0.978	0.715	84.5	232.0	26247.0	2027.0	0.405	0.0216	5.45	7.86	2.37
G.1	0.0927	0.0158	2776.4	0.978	0.761	102.7	415.7	26247.0	2775.0	0.303	0.0222	6.03	8.70	2.62
G.2	0.0959	0.0182	2404.1	0.984	0.793	146.7	478.2	26247.0	2402.0	0.281	0.0158	6.17	8.90	2.68
G.3	0.127	0.0124	2954.5	0.965	0.724	65.5	326.7	26247.0	2953.0	0.327	0.0351	5.79	8.35	2.51
G.4	0.117	0.0138	3041.4	0.971	0.735	77.5	362.7	26247.0	3040.0	0.325	0.0292	5.89	8.50	2.56
G.5	0.213	0.00662	1996.0	0.943	0.679	37.4	173.7	26247.0	1994.0	0.304	0.0571	5.16	7.44	2.24
GR.01	0.125	0.00965	2119.9	0.973	0.723	76.3	253.3	26247.0	2118.0	0.333	0.0268	5.53	7.98	2.40
LW.1	0.0888	0.0244	3079.6	0.984	0.805	163.7	640.7	26247.0	3078.0	0.289	0.0158	6.46	9.32	2.81
T.1	0.0771	0.00714	2123.3	0.978	0.683	72.6	187.3	26247.0	2120.0	0.452	0.0222	5.23	7.55	2.27
