#OTUID	A.0	A.1	A.11	A.12	A.13	A.14	A.15	A.16	A.17	A.2	A.20	A.21	A.23	A.24	A.25	A.26	A.27	A.28	A.29	A.3	A.30	A.32	A.34	A.4	A.5	A.6	A.7	A.8	A.9	BS.2	C3.2	G.1	G.2	G.3	G.4	G.5	GR.01	LW.1	T.1
ASV1	120	1626	3657	3658	4365	3551	3906	4982	3412	6452	1778	1653	2376	3084	3399	3062	3046	3064	3836	4221	2632	3239	3472	4392	4691	3783	4019	5309	5159	1767	1935	1672	2516	3332	3077	5589	2028	2022	883
ASV2	810	1356	1639	1568	1386	1449	1202	1059	1485	1213	2100	1935	242	360	330	270	151	222	160	1270	278	197	499	1475	1398	1379	1500	1445	1565	580	477	2327	1488	3323	2667	2150	3275	471	1722
ASV3	556	1045	1375	1602	1758	1642	1292	1533	1391	1249	1299	922	62	124	106	90	77	100	105	948	151	124	272	1460	1681	1527	2038	2101	2147	422	484	438	5	321	175	5	4	59	2023
ASV4	85	657	905	1343	1505	1357	1543	1601	1611	436	1218	1044	1864	91	32	46	45	64	32	230	28	19	42	220	292	354	469	989	1047	143	58	3	3	1	4	4	4	3	868
ASV5	161	152	256	284	306	320	386	292	407	94	357	285	514	607	454	341	232	370	201	115	215	286	643	147	164	183	189	200	249	697	415	202	75	230	287	64	664	333	490
ASV7	32	6	10	9	5	5	11	8	8	7	4	5	271	338	573	541	1247	749	2053	8	1213	1247	297	10	8	11	4	7	7	535	1325	99	38	26	29	9	312	26	14
ASV6	684	207	173	118	93	112	76	81	81	141	36	23	5	9	9	6	15	9	7	277	18	18	26	212	224	235	130	100	100	15	9	2432	872	939	1494	667	369	2330	344
ASV9	39	35	178	196	370	362	622	809	1011	42	522	505	2817	263	164	129	175	155	48	31	55	49	78	40	66	53	98	140	162	13	12	3	2	3	1	2	3	0	0
ASV10	166	97	332	379	445	437	318	354	333	194	216	155	68	68	48	42	40	36	11	213	18	16	38	267	557	435	478	777	531	6	21	88	2	210	121	6	2	631	1411
ASV8	165	63	29	19	19	24	32	38	36	31	24	30	360	669	840	1107	1012	919	770	47	556	326	201	55	45	48	19	18	12	640	471	3	24	6	7	10	76	14	3
ASV12	9	3	12	14	8	5	10	11	6	7	34	104	103	193	367	834	1045	961	494	7	1040	632	1120	6	12	5	12	4	2	291	293	4	3	3	3	2	2	2	1
ASV15	111	28	17	32	25	37	41	40	58	18	85	80	352	456	682	648	1060	731	489	48	511	346	236	31	34	28	24	24	20	242	274	6	2	13	13	0	3	4	8
ASV11	25	268	133	156	130	121	217	331	874	273	84	71	181	227	246	166	170	257	158	133	89	175	244	224	165	146	180	110	150	83	57	48	131	194	194	460	11	45	28
ASV16	154	42	37	47	39	56	64	69	79	47	89	443	631	725	556	343	203	268	200	41	201	138	253	52	48	49	44	38	34	936	459	25	10	47	41	30	24	8	111
ASV14	134	246	251	296	243	242	200	197	193	353	220	145	9	9	8	7	9	6	10	277	13	13	30	349	388	374	390	370	362	46	36	63	0	30	33	2	2	158	1345
ASV17	0	0	2	1	0	1	1	0	2	0	1	15	468	522	485	920	777	915	365	2	652	486	324	0	0	0	1	1	1	38	99	2	7	1	4	0	1	3	3
