Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
A0	0.172	0.000858	406.6	0.907	0.544	13.9	26.2	30537.0	406.0	0.140	0.0931	3.27	4.71	1.42
A1	0.319	0.000662	449.8	0.855	0.492	9.46	20.2	30537.0	449.0	0.142	0.145	3.01	4.34	1.31
A10	0.529	0.000267	297.2	0.685	0.369	4.13	8.16	30537.0	295.0	0.176	0.315	2.10	3.03	0.912
A11	0.259	0.000796	421.7	0.886	0.528	12.0	24.3	30537.0	421.0	0.128	0.114	3.19	4.60	1.39
A12	0.315	0.000623	401.9	0.852	0.492	9.13	19.0	30537.0	401.0	0.137	0.148	2.95	4.25	1.28
A13	0.392	0.000756	515.3	0.821	0.503	8.52	23.1	30537.0	514.0	0.186	0.179	3.14	4.53	1.36
A14	0.403	0.000442	382.5	0.796	0.438	6.57	13.5	30537.0	381.0	0.165	0.204	2.60	3.75	1.13
A15	0.574	0.000243	269.8	0.648	0.359	3.72	7.43	30537.0	268.0	0.190	0.352	2.00	2.89	0.871
A16	0.433	0.000412	277.9	0.774	0.450	6.00	12.6	30537.0	276.0	0.105	0.226	2.53	3.65	1.10
A17	0.480	0.000275	201.7	0.730	0.401	4.75	8.40	30537.0	201.0	0.104	0.270	2.13	3.07	0.924
A18	0.984	3.69e-05	43.5	0.0308	0.0327	1.05	1.13	30537.0	39.0	0.450	0.969	0.120	0.173	0.0521
A19	0.344	0.00041	274.0	0.820	0.451	7.02	12.5	30537.0	273.0	0.124	0.180	2.53	3.65	1.10
A2	0.465	0.000359	337.6	0.749	0.412	5.34	11.0	30537.0	337.0	0.124	0.251	2.40	3.46	1.04
A20	0.462	0.000303	219.0	0.745	0.414	5.09	9.26	30537.0	217.0	0.193	0.255	2.23	3.21	0.967
A21	0.460	0.000299	250.8	0.749	0.401	5.13	9.13	30537.0	249.0	0.184	0.251	2.21	3.19	0.961
A23	0.783	9.36e-05	121.4	0.374	0.219	1.84	2.86	30537.0	120.0	0.207	0.626	1.05	1.51	0.456
A24	0.848	8.41e-05	133.0	0.279	0.193	1.58	2.57	30537.0	132.0	0.158	0.721	0.944	1.36	0.410
A25	0.773	0.000118	107.0	0.398	0.273	2.00	3.59	30537.0	107.0	0.204	0.602	1.28	1.84	0.555
A26	0.661	0.000135	122.7	0.538	0.300	2.60	4.13	30537.0	114.0	0.217	0.462	1.42	2.05	0.616
A27	0.889	6.63e-05	122.1	0.208	0.153	1.39	2.02	30537.0	99.0	0.340	0.792	0.705	1.02	0.306
A28	0.897	6.18e-05	100.9	0.194	0.139	1.35	1.89	30537.0	96.0	0.227	0.806	0.635	0.917	0.276
A29	0.762	0.000125	137.6	0.414	0.273	2.08	3.80	30537.0	134.0	0.178	0.586	1.34	1.93	0.580
A3	0.234	0.000656	470.5	0.879	0.487	10.6	20.0	30537.0	470.0	0.178	0.121	3.00	4.33	1.30
A30	0.759	0.000122	133.8	0.419	0.268	2.08	3.71	30537.0	133.0	0.112	0.581	1.31	1.89	0.570
A32	0.900	6.47e-05	120.6	0.189	0.143	1.35	1.97	30537.0	118.0	0.193	0.811	0.680	0.981	0.295
A34	0.711	0.000181	181.8	0.490	0.334	2.52	5.52	30537.0	165.0	0.175	0.510	1.71	2.46	0.742
A4	0.310	0.000565	423.4	0.842	0.471	8.36	17.3	30537.0	423.0	0.113	0.158	2.85	4.11	1.24
A5	0.369	0.000469	380.1	0.810	0.448	6.97	14.3	30537.0	379.0	0.134	0.190	2.66	3.84	1.16
A6	0.298	0.000567	439.2	0.856	0.469	9.05	17.3	30537.0	438.0	0.203	0.144	2.85	4.11	1.24
A7	0.530	0.000289	369.7	0.693	0.368	4.32	8.81	30537.0	368.0	0.266	0.307	2.18	3.14	0.945
A8	0.379	0.000419	383.8	0.802	0.428	6.60	12.8	30537.0	383.0	0.174	0.198	2.55	3.68	1.11
A9	0.511	0.000341	350.4	0.713	0.400	4.75	10.4	30537.0	350.0	0.108	0.287	2.34	3.38	1.02
BS2	0.783	0.000119	114.5	0.384	0.274	1.96	3.63	30537.0	110.0	0.135	0.616	1.29	1.86	0.560
CS2	0.737	0.000139	136.7	0.451	0.300	2.26	4.25	30537.0	125.0	0.230	0.549	1.45	2.09	0.628
G0	0.559	0.000268	219.1	0.671	0.390	4.10	8.17	30537.0	217.0	0.261	0.329	2.10	3.03	0.912
G1	0.659	0.000177	194.1	0.554	0.321	2.88	5.41	30537.0	192.0	0.295	0.446	1.69	2.44	0.734
G2	0.329	0.000302	161.1	0.796	0.438	5.89	9.22	30537.0	159.0	0.206	0.204	2.22	3.20	0.965
G3	0.489	0.000369	276.2	0.741	0.431	5.43	11.3	30537.0	274.0	0.284	0.259	2.42	3.49	1.05
G4	0.377	0.000512	291.2	0.828	0.485	8.14	15.6	30537.0	288.0	0.280	0.172	2.75	3.97	1.19
G5	0.406	0.000162	158.3	0.675	0.316	3.47	4.94	30537.0	157.0	0.203	0.325	1.60	2.30	0.694
GR01	0.138	0.000581	163.6	0.914	0.566	13.4	17.7	30537.0	161.0	0.296	0.0857	2.88	4.15	1.25
LW1	0.224	0.00104	341.3	0.921	0.594	17.7	31.8	30537.0	338.0	0.218	0.079	3.46	4.99	1.50
T1	0.356	0.000311	287.4	0.787	0.398	5.78	9.49	30537.0	286.0	0.293	0.213	2.25	3.25	0.977
