richness	A0	A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A23	A24	A25	A26	A27	A28	A29	A3	A30	A32	A34	A4	A5	A6	A7	A8	A9	BS2	CS2	G0	G1	G2	G3	G4	G5	GR01	LW1	T1
1	52.0	43.0	31.0	46.0	39.0	54.0	33.0	29.0	36.0	30.0	7.00	35.0	28.0	32.0	24.0	18.0	20.0	28.0	15.0	15.0	11.0	23.0	35.0	21.0	12.0	35.0	36.0	30.0	32.0	29.0	32.0	29.0	27.0	29.0	36.0	28.0	29.0	39.0	40.0	19.0	33.0	60.0	26.0
2	84.0	85.0	46.0	83.0	70.0	103.0	63.0	54.0	66.0	41.0	8.00	55.0	55.0	50.0	40.0	28.0	33.0	45.0	35.0	24.0	19.0	39.0	65.0	40.0	26.0	74.0	70.0	62.0	55.0	45.0	51.0	50.0	45.0	50.0	52.0	42.0	46.0	56.0	58.0	26.0	39.0	86.0	40.0
3	111.0	109.0	68.0	104.0	104.0	134.0	86.0	71.0	93.0	57.0	9.00	71.0	77.0	62.0	54.0	41.0	46.0	54.0	41.0	37.0	25.0	56.0	89.0	48.0	37.0	91.0	99.0	96.0	84.0	66.0	67.0	72.0	60.0	61.0	61.0	45.0	53.0	62.0	70.0	28.0	46.0	104.0	50.0
4	133.0	132.0	82.0	131.0	125.0	164.0	96.0	82.0	123.0	68.0	10.00	85.0	101.0	71.0	69.0	46.0	51.0	65.0	50.0	42.0	34.0	68.0	114.0	58.0	45.0	100.0	133.0	112.0	107.0	83.0	89.0	101.0	68.0	71.0	72.0	54.0	63.0	72.0	81.0	36.0	53.0	121.0	58.0
5	156.0	149.0	93.0	151.0	148.0	191.0	127.0	95.0	145.0	86.0	10.00	101.0	116.0	85.0	74.0	52.0	58.0	67.0	54.0	46.0	34.0	76.0	142.0	66.0	49.0	113.0	152.0	126.0	128.0	95.0	105.0	122.0	76.0	78.0	76.0	57.0	73.0	83.0	91.0	46.0	59.0	131.0	64.0
6	170.0	180.0	109.0	177.0	166.0	220.0	138.0	106.0	165.0	88.0	10.00	120.0	131.0	99.0	90.0	57.0	67.0	72.0	56.0	50.0	37.0	82.0	159.0	74.0	59.0	117.0	168.0	150.0	148.0	114.0	112.0	130.0	78.0	80.0	86.0	61.0	79.0	91.0	106.0	56.0	59.0	140.0	79.0
7	195.0	193.0	126.0	193.0	177.0	231.0	155.0	116.0	173.0	106.0	11.0	137.0	141.0	105.0	106.0	66.0	73.0	74.0	60.0	51.0	45.0	90.0	177.0	73.0	60.0	123.0	190.0	163.0	174.0	122.0	128.0	149.0	82.0	83.0	88.0	65.0	83.0	99.0	111.0	63.0	65.0	153.0	88.0
8	207.0	204.0	125.0	213.0	206.0	251.0	180.0	119.0	189.0	110.0	12.0	154.0	156.0	111.0	120.0	67.0	76.0	76.0	68.0	51.0	49.0	89.0	192.0	80.0	71.0	122.0	207.0	184.0	182.0	144.0	148.0	168.0	84.0	82.0	90.0	69.0	85.0	105.0	116.0	65.0	70.0	162.0	89.0
9	213.0	234.0	144.0	217.0	216.0	274.0	180.0	128.0	201.0	114.0	11.0	162.0	179.0	119.0	127.0	66.0	80.0	78.0	69.0	57.0	49.0	92.0	210.0	88.0	72.0	124.0	213.0	200.0	199.0	148.0	159.0	184.0	85.0	85.0	101.0	74.0	92.0	108.0	122.0	71.0	70.0	171.0	96.0
10	222.0	253.0	159.0	243.0	230.0	286.0	200.0	133.0	206.0	124.0	12.0	168.0	182.0	129.0	135.0	71.0	85.0	75.0	72.0	56.0	49.0	94.0	224.0	87.0	75.0	125.0	236.0	203.0	211.0	155.0	176.0	194.0	84.0	86.0	106.0	80.0	98.0	121.0	128.0	76.0	75.0	184.0	104.0
11	237.0	256.0	165.0	244.0	234.0	296.0	215.0	137.0	213.0	136.0	12.0	177.0	205.0	135.0	142.0	71.0	88.0	79.0	73.0	58.0	58.0	94.0	230.0	93.0	77.0	126.0	245.0	216.0	227.0	168.0	181.0	196.0	87.0	84.0	109.0	84.0	96.0	116.0	138.0	77.0	80.0	189.0	114.0
12	242.0	269.0	170.0	262.0	247.0	310.0	228.0	152.0	213.0	140.0	13.0	183.0	212.0	136.0	153.0	73.0	89.0	82.0	75.0	58.0	55.0	97.0	239.0	94.0	78.0	128.0	264.0	244.0	229.0	176.0	203.0	210.0	86.0	87.0	115.0	87.0	100.0	122.0	148.0	81.0	77.0	199.0	118.0
13	265.0	282.0	181.0	269.0	251.0	320.0	240.0	159.0	221.0	139.0	14.0	189.0	224.0	140.0	154.0	76.0	86.0	80.0	78.0	58.0	60.0	95.0	249.0	96.0	80.0	128.0	273.0	243.0	239.0	180.0	207.0	220.0	87.0	87.0	116.0	92.0	98.0	132.0	147.0	88.0	78.0	200.0	122.0
14	263.0	293.0	190.0	289.0	270.0	317.0	242.0	160.0	220.0	148.0	13.0	197.0	223.0	144.0	157.0	75.0	93.0	83.0	78.0	60.0	62.0	96.0	259.0	101.0	80.0	129.0	278.0	252.0	248.0	184.0	225.0	229.0	87.0	85.0	124.0	95.0	100.0	140.0	155.0	88.0	81.0	211.0	123.0
15	267.0	299.0	200.0	280.0	280.0	334.0	250.0	172.0	225.0	146.0	15.0	197.0	232.0	145.0	166.0	76.0	92.0	84.0	79.0	60.0	64.0	97.0	273.0	99.0	81.0	127.0	289.0	272.0	257.0	192.0	226.0	245.0	88.0	87.0	126.0	96.0	103.0	142.0	160.0	93.0	84.0	218.0	135.0
16	280.0	310.0	207.0	297.0	281.0	344.0	256.0	178.0	228.0	155.0	15.0	206.0	246.0	149.0	173.0	77.0	93.0	83.0	79.0	59.0	64.0	98.0	278.0	101.0	82.0	131.0	295.0	269.0	265.0	205.0	238.0	246.0	87.0	86.0	124.0	97.0	108.0	143.0	161.0	95.0	88.0	215.0	140.0
17	283.0	306.0	204.0	304.0	287.0	347.0	261.0	181.0	230.0	157.0	13.0	210.0	243.0	146.0	169.0	80.0	92.0	84.0	80.0	60.0	64.0	101.0	291.0	104.0	81.0	131.0	306.0	280.0	273.0	201.0	243.0	249.0	88.0	89.0	130.0	102.0	105.0	155.0	168.0	96.0	93.0	221.0	144.0
18	288.0	320.0	209.0	306.0	292.0	352.0	273.0	183.0	227.0	161.0	16.0	210.0	253.0	147.0	177.0	79.0	96.0	82.0	85.0	60.0	67.0	99.0	299.0	101.0	83.0	131.0	314.0	286.0	280.0	214.0	253.0	258.0	87.0	90.0	128.0	106.0	107.0	160.0	167.0	105.0	92.0	225.0	147.0
19	295.0	330.0	214.0	316.0	301.0	362.0	282.0	190.0	230.0	161.0	14.0	217.0	248.0	153.0	179.0	83.0	98.0	84.0	81.0	61.0	66.0	101.0	290.0	104.0	85.0	132.0	317.0	287.0	292.0	209.0	259.0	261.0	92.0	90.0	133.0	110.0	113.0	156.0	175.0	102.0	90.0	236.0	159.0
20	301.0	333.0	219.0	325.0	307.0	366.0	279.0	196.0	235.0	167.0	16.0	216.0	259.0	157.0	182.0	85.0	97.0	84.0	83.0	61.0	68.0	102.0	309.0	107.0	86.0	133.0	322.0	297.0	300.0	224.0	268.0	264.0	91.0	90.0	136.0	109.0	112.0	159.0	173.0	101.0	96.0	240.0	159.0
21	314.0	349.0	218.0	326.0	313.0	373.0	294.0	189.0	234.0	159.0	15.0	217.0	265.0	159.0	181.0	84.0	101.0	85.0	86.0	61.0	70.0	101.0	317.0	110.0	89.0	132.0	340.0	298.0	302.0	227.0	272.0	279.0	91.0	91.0	134.0	116.0	112.0	162.0	178.0	105.0	99.0	236.0	156.0
22	311.0	347.0	222.0	329.0	316.0	372.0	289.0	195.0	235.0	165.0	18.0	221.0	264.0	154.0	188.0	86.0	100.0	85.0	84.0	61.0	68.0	103.0	321.0	114.0	90.0	135.0	325.0	302.0	314.0	230.0	277.0	276.0	91.0	91.0	143.0	119.0	114.0	171.0	180.0	111.0	99.0	235.0	164.0
23	316.0	355.0	220.0	337.0	323.0	376.0	298.0	200.0	235.0	169.0	16.0	222.0	272.0	165.0	187.0	85.0	101.0	85.0	84.0	64.0	69.0	104.0	332.0	111.0	87.0	132.0	332.0	306.0	311.0	236.0	289.0	283.0	93.0	93.0	141.0	110.0	116.0	162.0	186.0	114.0	98.0	242.0	170.0
24	320.0	361.0	228.0	340.0	318.0	384.0	304.0	202.0	244.0	169.0	21.0	225.0	277.0	165.0	187.0	84.0	99.0	85.0	86.0	61.0	68.0	104.0	341.0	110.0	91.0	134.0	336.0	303.0	320.0	243.0	290.0	288.0	93.0	95.0	143.0	121.0	118.0	179.0	188.0	114.0	98.0	248.0	170.0
25	327.0	360.0	229.0	342.0	323.0	397.0	301.0	204.0	239.0	169.0	19.0	223.0	269.0	164.0	196.0	89.0	105.0	85.0	88.0	62.0	71.0	108.0	348.0	110.0	90.0	131.0	352.0	312.0	323.0	247.0	295.0	287.0	93.0	93.0	144.0	123.0	121.0	175.0	189.0	114.0	104.0	256.0	177.0
26	327.0	365.0	236.0	354.0	329.0	394.0	303.0	203.0	240.0	169.0	18.0	230.0	281.0	165.0	197.0	88.0	104.0	85.0	86.0	63.0	71.0	106.0	355.0	112.0	92.0	133.0	355.0	316.0	328.0	259.0	292.0	293.0	92.0	96.0	147.0	125.0	121.0	182.0	192.0	121.0	105.0	255.0	181.0
27	332.0	369.0	238.0	352.0	329.0	389.0	299.0	214.0	245.0	176.0	19.0	229.0	281.0	169.0	192.0	88.0	107.0	85.0	87.0	63.0	74.0	108.0	363.0	111.0	91.0	133.0	350.0	314.0	332.0	263.0	301.0	295.0	93.0	94.0	147.0	128.0	124.0	188.0	194.0	117.0	107.0	259.0	188.0
28	334.0	368.0	236.0	348.0	336.0	409.0	308.0	209.0	245.0	176.0	20.0	233.0	282.0	171.0	200.0	91.0	106.0	85.0	87.0	66.0	70.0	109.0	362.0	114.0	92.0	135.0	357.0	317.0	333.0	259.0	305.0	298.0	94.0	95.0	152.0	124.0	122.0	181.0	201.0	121.0	108.0	260.0	188.0
