#OTUID	A0	A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A23	A24	A25	A26	A27	A28	A29	A3	A30	A32	A34	A4	A5	A6	A7	A8	A9	BS2	C32	G0	G1	G2	G3	G4	G5	GR01	LW1	T1
ASV1	5239	9745	16163	7899	9605	11981	12316	17524	13224	14668	30062	10493	14186	14122	14062	23903	25890	23592	20171	27157	27389	23284	7140	23171	27482	21719	9472	11268	9091	16186	11584	15598	23918	22515	467	361	7924	1183	2516	11968	162	2824	1142
ASV2	2902	4140	3261	3093	4524	2997	4592	2331	4136	2924	6	4056	4392	4540	3492	3478	1241	1750	210	690	91	583	4940	123	111	226	5789	5651	4644	3355	5805	3524	47	1168	17056	20139	1238	14923	11527	246	32	812	10866
ASV3	4019	3656	4442	4688	4111	3156	3192	3093	3780	4285	13	4077	2963	3089	4056	356	182	375	190	22	325	814	5120	1428	327	1002	4307	3745	4391	2607	3427	2896	565	25	1875	1899	452	3286	3544	67	28	1659	8102
ASV4	4109	2559	847	2457	2171	1480	2170	2201	1604	2818	69	4752	1265	2589	2118	250	468	710	98	372	77	1279	1965	838	343	1417	1426	1106	2300	2202	1592	1289	593	1258	2089	586	84	535	881	16	37	1575	2570
ASV5	687	1194	446	1900	1537	720	1313	510	720	286	4	438	1325	422	430	119	94	312	33	154	11	37	1971	37	47	135	1322	1477	1323	613	582	716	44	193	804	812	19	1722	1848	42	11	1767	99
ASV6	202	660	219	592	426	247	342	180	339	191	1	322	550	200	174	56	71	97	409	22	29	34	577	59	9	39	507	387	559	521	466	265	695	47	32	25	10034	439	741	471	130	133	670
ASV10	1005	503	334	426	273	146	238	251	375	144	1	204	312	171	142	101	130	243	487	74	39	65	411	32	58	151	299	261	421	252	267	261	34	86	56	25	88	47	198	1	224	6850	13
ASV7	18	56	7	43	33	24	34	57	9	21	0	22	21	22	36	1	2	1	7	2	1	2	40	30	2	0	39	21	48	72	48	44	3	1	11	6	692	211	204	12393	13	7	5
ASV9	448	461	303	483	521	309	331	302	474	286	2	247	550	359	237	33	19	1	162	2	1	152	471	2	1	37	618	440	504	538	649	627	0	1	491	308	58	852	1206	94	12	609	588
ASV8	192	212	559	377	371	179	325	317	403	493	2	824	269	321	958	218	84	270	40	1	304	904	1328	290	0	473	209	431	274	228	309	259	674	463	7	8	0	9	70	0	1	12	25
ASV11	1	5	76	531	447	187	409	146	130	178	0	362	123	223	1382	261	224	136	418	137	880	121	18	343	88	309	67	38	1479	213	1082	159	0	0	0	0	0	0	0	1	0	0	2
ASV12	91	682	261	875	496	98	601	192	403	72	0	221	377	345	212	8	10	121	16	40	0	15	750	14	8	12	820	478	555	301	350	440	9	43	31	29	0	111	146	0	2	112	4
ASV14	70	10	5	25	23	25	0	3	29	1	0	22	23	2	24	2	4	1	3	0	3	0	27	1	2	3	35	30	39	13	8	20	0	3	26	14	4816	7	33	2	3812	6	0
ASV13	37	78	7	10	14	33	42	46	9	77	0	9	28	113	16	6	41	1	8	6	4	37	22	3	6	69	22	11	44	22	2	43	2	1	2430	1936	82	1163	960	228	223	633	9
ASV15	176	59	84	124	35	40	88	57	43	3	0	54	58	29	35	2	3	21	3952	29	12	18	83	2	1	0	102	49	74	70	115	51	2	0	3	2	10	7	0	3	3	0	2190
ASV21	3912	326	103	375	199	61	226	84	156	78	0	37	193	59	23	3	26	15	4	33	22	12	398	12	10	20	271	235	268	75	91	142	18	0	0	0	0	0	0	0	0	0	0
ASV16	202	169	105	182	151	56	111	32	68	55	0	102	133	144	134	1	46	1	12	9	4	12	181	37	2	119	174	188	137	53	74	72	23	85	4	2	19	8	2	4	3472	206	26
ASV17	29	13	20	4	32	0	4	0	0	0	0	1	6	0	0	2	0	4	1	1	0	0	45	2	1	1	29	0	66	8	21	19	1	1	92	86	17	348	179	20	4225	6	2
ASV18	11	16	15	70	45	0	20	0	10	0	0	8	13	2	0	0	2	249	1	1	4	1	15	2	3	276	15	11	119	2	113	19	3	2	70	51	2	197	120	8	3427	11	12
ASV19	492	223	73	192	183	186	122	83	120	100	0	113	150	62	89	49	41	0	27	46	19	0	277	99	0	1	258	140	271	179	105	223	0	0	74	55	0	152	192	22	15	251	349
ASV20	78	547	113	348	79	53	100	354	138	68	0	163	44	6	244	145	0	133	0	426	0	26	83	53	103	2	125	160	98	102	220	154	0	1	103	100	1	124	142	0	9	161	5
ASV22	29	63	19	43	45	25	143	48	43	262	0	17	17	5	0	0	1	28	2	31	0	2	55	2	2	2	50	29	82	39	10	66	0	1	789	1077	198	493	430	5	0	130	11
ASV24	43	10	0	14	4	0	6	2	19	36	0	3	26	5	4	1	0	0	0	1	14	0	17	0	20	1	33	19	2	14	0	8	2	0	16	2	1	3	10	2	3372	6	0
ASV37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	32	2	61	149	0	1395	180	510	0	0	0	0	0	0	191	1187	1	1	0	0	1	1	1	0	0
ASV23	100	53	95	29	80	59	87	37	46	86	0	53	61	342	12	27	2	10	0	1	0	127	78	1	0	0	46	103	77	88	38	80	2	0	350	347	12	371	311	3	0	10	420
ASV51	42	16	125	37	52	9	67	4	12	14	0	0	29	18	7	2	136	0	0	0	14	415	37	257	1	0	33	144	31	10	23	20	0	0	366	210	1	265	352	9	886	6	7
ASV27	44	60	15	34	0	7	20	26	31	14	0	19	17	0	8	1	0	1	19	0	0	30	6	0	0	0	47	42	26	12	3	17	0	0	11	3	773	66	246	1623	0	66	21
ASV26	17	6	6	1	0	6	0	0	1	0	0	0	7	0	0	0	0	0	1	1	1	3	15	2	0	0	12	8	2	1	0	4	1	1	51	40	0	236	138	16	2563	15	1
ASV25	70	35	192	31	162	55	61	23	65	55	0	69	35	39	147	0	95	0	0	0	237	3	26	123	1	29	23	94	55	20	11	13	224	57	12	4	0	15	32	3	0	932	39
ASV1152	101	85	94	54	108	101	88	101	77	111	7	125	74	113	75	53	67	63	52	48	40	94	74	61	47	53	109	83	74	77	71	154	34	63	31	19	29	39	58	9	57	87	82
ASV32	0	0	2	1	2	1	7	0	96	0	0	6	0	1	0	0	1	0	2773	1	1	0	0	13	0	0	2	5	1	6	0	4	0	0	0	1	0	0	1	0	0	1	0
ASV30	163	84	64	57	48	21	9	22	40	60	0	59	27	50	161	3	14	56	2	1	0	1	42	0	14	4	34	41	50	54	22	9	1	110	25	6	32	38	21	2	1298	11	1
ASV28	10	85	72	136	80	54	84	26	251	11	2	34	44	54	22	22	31	0	22	91	0	458	23	0	1	71	41	50	20	15	20	63	451	2	78	101	0	44	18	0	0	0	38
ASV31	28	21	0	21	31	4	1	10	12	0	0	17	25	0	0	0	0	0	0	1	0	1	35	0	0	1	30	32	50	23	68	3	1	1	14	6	0	6	7	0	0	2075	48
ASV33	31	11	7	12	48	0	22	12	0	0	0	11	12	9	8	2	0	0	0	0	2	0	20	2	0	1	15	13	2	0	6	24	1	1	338	361	6	205	513	99	1	3	695
ASV29	15	9	7	97	83	41	78	46	180	66	0	1	23	16	38	96	129	0	0	0	150	0	110	298	14	180	117	27	8	7	78	138	0	90	54	47	0	68	107	0	2	0	53
ASV36	160	111	41	185	71	42	72	32	73	88	0	74	76	142	77	0	6	0	0	8	1	19	92	6	0	26	139	73	75	35	78	85	2	0	84	70	0	96	77	0	4	6	0
ASV39	40	105	67	51	58	35	101	55	23	7	1	247	61	98	118	0	0	1	1	7	5	1	38	15	0	38	55	33	61	39	20	32	0	2	94	3	0	44	19	0	167	0	242
ASV34	0	2	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	6	0	0	0	2	0	2	27	26	48	1873	0	1	0
ASV35	185	56	36	54	63	39	22	39	64	6	0	5	51	50	0	0	29	0	2	0	0	18	79	46	0	0	48	46	43	42	42	29	0	0	12	1	0	2	16	1	5	869	1
ASV38	17	61	21	69	75	72	52	1	0	225	0	374	12	12	25	64	1	0	0	1	1	1	36	0	0	45	24	24	32	113	42	82	41	318	4	1	0	14	6	1	0	3	21
ASV44	15	30	13	48	19	1	21	9	6	8	0	14	28	3	5	2	2	0	4	1	0	0	15	4	2	20	27	2	20	11	5	14	0	14	146	213	0	431	586	1	0	45	2
ASV59	0	0	20	1	2	394	1	0	8	0	2	9	0	4	0	197	42	78	0	0	35	114	11	207	148	148	0	0	1	1	0	8	78	289	0	0	2	3	0	22	2	0	2
ASV42	34	22	62	19	28	4	19	22	0	39	0	0	31	0	5	1	0	0	4	0	2	0	13	0	0	0	14	11	18	14	11	31	1	0	59	42	0	90	19	1	1014	22	5
ASV41	22	119	20	72	55	17	64	16	94	21	0	100	10	55	28	6	1	0	0	8	0	84	93	0	0	0	70	55	70	47	20	32	0	0	49	45	0	127	103	2	1	14	6
ASV40	5	13	0	3	9	14	7	0	0	0	0	0	0	0	28	0	29	0	0	1	0	2	2	0	1	0	5	15	0	13	33	11	0	0	0	1	0	2	1	0	0	1312	2
ASV45	93	15	45	40	32	12	35	69	0	67	0	21	73	64	12	0	0	0	0	0	0	17	46	0	17	0	5	138	43	44	37	22	0	0	4	8	0	63	12	0	1	333	83
ASV53	100	134	16	86	99	21	58	36	32	9	0	19	90	34	2	10	29	18	0	0	0	8	122	17	11	0	96	121	98	61	30	43	0	0	0	0	0	0	0	0	0	4	0
ASV43	23	1	6	6	9	0	4	0	30	0	0	9	13	553	4	0	0	496	25	0	7	20	11	0	0	44	3	4	6	4	11	0	32	0	0	0	0	0	0	0	0	1	0
ASV46	1	26	0	15	70	9	6	50	30	9	0	97	93	87	209	0	23	0	36	0	0	17	20	0	0	208	47	3	5	30	0	177	25	0	13	3	0	3	1	0	0	0	8
ASV50	8	14	9	35	79	32	33	48	116	68	0	40	49	47	0	19	0	0	23	0	0	0	36	21	0	20	26	50	59	30	9	8	0	0	43	45	5	76	135	38	2	0	46
ASV49	65	43	63	21	65	50	19	29	44	14	0	32	23	0	5	0	12	0	23	0	0	1	41	0	0	0	65	82	47	76	36	97	0	28	0	0	0	3	0	0	0	292	26
ASV55	4	35	26	36	14	3	16	19	87	0	0	10	21	43	3	24	0	0	0	1	1	0	23	2	27	0	16	137	37	10	9	4	0	12	163	131	8	201	145	0	0	0	15
ASV48	39	16	15	27	9	5	10	4	0	2	0	0	17	71	72	54	39	98	39	32	0	136	7	59	0	215	14	11	6	5	3	13	146	29	0	2	0	0	0	0	1	0	0
ASV47	5	20	57	15	64	0	26	0	53	0	0	3	57	33	21	0	91	64	0	85	18	37	8	43	69	92	15	38	33	1	11	28	113	97	0	0	0	0	0	1	0	0	0
ASV52	10	0	3	7	0	0	4	7	1	1029	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	18	7	1	0	3	12	0	0	0	0	0	0	6	0	3	3	1
