Biomarkernames	Log10AverageAbundance	EnrichedGroups	LDA	KW_Pvalue
k__Archaea	5.046185160937014	SSP	4.76048554868975	1.3209983552138255e-05
k__Bacteria	5.994871276190559	SST	4.759973049112282	0.0011234706882744818
k__Spike	4.121919283388721			-
k__Archaea.p__Thaumarchaeota	5.046185160937014	SSP	4.76048554868975	1.3209983552138255e-05
k__Bacteria.p__Actinobacteria	5.471295635802878	SSP	4.995042935375577	2.610164957535165e-05
k__Bacteria.p__Bacteroidetes	5.401185790748668	SST	4.976512264846164	1.0334012380442725e-05
k__Bacteria.p__Chloroflexi	3.874194929448382			-
k__Bacteria.p__Firmicutes	5.281892728636174	SSF	4.929386595844445	2.1303775419429727e-06
k__Bacteria.p__Proteobacteria	5.690925664490523	SSF	4.856636629053181	0.0005126900118478873
k__Bacteria.p__Saccharibacteria	4.956673249060835	SST	4.625803169917057	2.3332331522340313e-06
k__Bacteria.p__Verrucomicrobia	4.579723648951848	SST	4.241033348584867	0.00031293156624430916
k__Spike.p__Spike	4.121919283388721			-
k__Archaea.p__Thaumarchaeota.c__Soil_Crenarchaeotic_Group_SCG_	5.046185160937014	SSP	4.76048554868975	1.3209983552138255e-05
k__Bacteria.p__Actinobacteria.c__Actinobacteria	5.471295635802878	SSP	4.995042935375577	2.610164957535165e-05
k__Bacteria.p__Bacteroidetes.c__Cytophagia	5.07027647742871	SST	4.689531208088386	2.1434280499235565e-06
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia	4.470098866307501	SST	4.016999533673183	0.0005377254773598741
k__Bacteria.p__Bacteroidetes.c__Sphingobacteriia	5.020328276646361	SST	4.61864454951694	5.1742395223296995e-06
k__Bacteria.p__Chloroflexi.c__KD4_96	3.74590810939883	SSP	3.427573094352926	0.0003414372847106826
k__Bacteria.p__Chloroflexi.c__Thermomicrobia	3.8185061163354845	SST	3.4602672234478833	3.7171907193226486e-05
k__Bacteria.p__Firmicutes.c__Bacilli	5.259018322134053	SSF	4.906339116108922	2.1303775419429727e-06
k__Bacteria.p__Firmicutes.c__Unassigned	3.992071247678241	SSF	3.7447971595164233	4.5957348117049106e-07
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria	4.997550519422465	SST	4.511066593315333	2.839248190814692e-05
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria	4.676796442972313	SSF	4.241538171180274	1.3890533140433533e-06
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria	5.612642029638862	SSF	4.76475999035923	0.00440658954438427
k__Bacteria.p__Saccharibacteria.c__Unassigned	4.956673249060835	SST	4.625803169917057	2.3332331522340313e-06
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae	4.579723648951848	SST	4.241033348584867	0.00031293156624430916
k__Spike.p__Spike.c__Spike	4.121919283388721			-
k__Archaea.p__Thaumarchaeota.c__Soil_Crenarchaeotic_Group_SCG_.o__Unassigned	5.046185160937014	SSP	4.76048554868975	1.3209983552138255e-05
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales	3.7292068234616926	SST	3.4513736415146234	3.7861001243432626e-05
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales	5.403521297145641	SSP	4.9470232756118575	2.6689527012245843e-05
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales	4.62041374304764			-
k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales	5.07027647742871	SST	4.689531208088386	2.1434280499235565e-06
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales	4.470098866307501	SST	4.016999533673184	0.0005377254773598741
k__Bacteria.p__Bacteroidetes.c__Sphingobacteriia.o__Sphingobacteriales	5.020328276646361	SST	4.61864454951694	5.1742395223296995e-06
k__Bacteria.p__Chloroflexi.c__KD4_96.o__Unassigned	3.74590810939883	SSP	3.427573094352926	0.0003414372847106826
k__Bacteria.p__Chloroflexi.c__Thermomicrobia.o__JG30_KF_CM45	3.8185061163354845	SST	3.4602672234478833	3.7171907193226486e-05
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales	5.259018322134053	SSF	4.906339116108922	2.1303775419429727e-06
k__Bacteria.p__Firmicutes.c__Unassigned.o__Unassigned	3.992071247678241	SSF	3.7447971595164233	4.5957348117049106e-07
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Caulobacterales	4.5816047610759725	SST	4.252329105525304	6.236697013597114e-05
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales	4.560267503279693	SST	4.153614854084693	0.00039010948046915597
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales	4.397030764577558			-
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales	4.676796442972313	SSF	4.241538171180274	1.3890533140433533e-06
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Cellvibrionales	4.651619568225049	SST	4.312060025904856	9.455663735526076e-06
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales	3.686845492545714	SSF	3.3567353443191568	3.3051630958355834e-05
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	5.5972586350384725	SSF	4.75746864968408	0.006294342165212507
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales	4.324283985733621	SST	3.8930351704145383	0.00018244748604490902
k__Bacteria.p__Saccharibacteria.c__Unassigned.o__Unassigned	4.956673249060835	SST	4.625803169917057	2.3332331522340313e-06
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales	4.579723648951848	SST	4.241033348584867	0.00031293156624430916
k__Spike.p__Spike.c__Spike.o__Spike	4.121919283388721			-
k__Archaea.p__Thaumarchaeota.c__Soil_Crenarchaeotic_Group_SCG_.o__Unassigned.f__Unassigned	5.046185160937014	SSP	4.76048554868975	1.3209983552138255e-05
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Nocardiaceae	3.7292068234616926	SST	3.4513736415146234	3.7861001243432626e-05
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Microbacteriaceae	4.395644218687986	SSF	3.694658313903584	0.00011667492824600754
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae	5.365999894768197	SSP	4.935804169562031	2.2797808299344184e-05
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Unassigned	3.4421121985785734	SSP	3.3018674658016427	0.00730193874475235
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Nocardioidaceae	4.62041374304764			-
k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Cytophagaceae	5.07027647742871	SST	4.689531208088386	2.1434280499235565e-06
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae	4.470098866307501	SST	4.016999533673184	0.0005377254773598741
k__Bacteria.p__Bacteroidetes.c__Sphingobacteriia.o__Sphingobacteriales.f__Chitinophagaceae	4.837256283051144	SST	4.4865056943837684	6.161423020951474e-06
k__Bacteria.p__Bacteroidetes.c__Sphingobacteriia.o__Sphingobacteriales.f__Sphingobacteriaceae	4.556840629527533	SST	4.060468160814393	0.0003894099119714413
k__Bacteria.p__Chloroflexi.c__KD4_96.o__Unassigned.f__Unassigned	3.74590810939883	SSP	3.427573094352926	0.0003414372847106826
k__Bacteria.p__Chloroflexi.c__Thermomicrobia.o__JG30_KF_CM45.f__Unassigned	3.8185061163354845	SST	3.4602672234478833	3.7171907193226486e-05
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae	4.391268786011753	SSP	4.0643599799248005	1.1236619035142849e-05
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Family_XII	4.172187165929136	SSF	3.843190071557779	7.83873125487168e-06
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Planococcaceae	5.192077708972842	SSF	4.837940813978961	5.468897222956962e-06
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Unassigned	3.9848787411617335	SSF	3.69298318697121	6.922495266167804e-06
k__Bacteria.p__Firmicutes.c__Unassigned.o__Unassigned.f__Unassigned	3.992071247678241	SSF	3.7447971595164233	4.5957348117049106e-07
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Caulobacterales.f__Caulobacteraceae	4.5816047610759725	SST	4.252329105525304	6.236697013597114e-05
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Hyphomicrobiaceae	4.48374449541976	SST	4.0614448908145935	0.0004952678600145538
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae	3.7685753838687424	SST	3.481504592191907	8.968403611283827e-05
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae	4.397030764577558			-
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae	4.060785389059591	SST	3.755537379490921	4.309966168185106e-05
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Comamonadaceae	3.6193079394806427	SSF	3.496590031038057	2.5880093534822363e-05
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae	4.635963040947983	SSF	4.239756726826804	1.066249042270036e-06
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Cellvibrionales.f__Cellvibrionaceae	4.651619568225049	SST	4.312060025904856	9.455663735526076e-06
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae	3.686845492545714	SSF	3.3567353443191568	3.3051630958355834e-05
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae	5.035764241995843	SSF	4.623555671155959	0.00020800736651822966
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae	5.457909952630932			-
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae	4.324283985733621	SST	3.8930351704145383	0.00018244748604490902
k__Bacteria.p__Saccharibacteria.c__Unassigned.o__Unassigned.f__Unassigned	4.956673249060835	SST	4.625803169917057	2.3332331522340313e-06
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae	4.579723648951848	SST	4.241033348584867	0.00031293156624430916
k__Spike.p__Spike.c__Spike.o__Spike.f__Spike	4.121919283388721			-
k__Archaea.p__Thaumarchaeota.c__Soil_Crenarchaeotic_Group_SCG_.o__Unassigned.f__Unassigned.g__Unassigned	5.046185160937014	SSP	4.76048554868975	1.3209983552138255e-05
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Nocardiaceae.g__Rhodococcus	3.7292068234616926	SST	3.4513736415146234	3.7861001243432626e-05
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Microbacteriaceae.g__Agrococcus	3.8405147730588634	SSF	3.508012116505523	4.6054739690700154e-05
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Microbacteriaceae.g__Agromyces	3.8128419093717714	SSP	3.4614486545495855	0.0004086476181269919
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Microbacteriaceae.g__Microbacterium	4.180691761034615	SSF	3.6737890628646857	3.2379921696925125e-05
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae.g__Arthrobacter	5.335176474928645	SSP	4.901294439180269	4.1707684113636216e-05
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae.g__Kocuria	4.05285810178253	SSF	3.748210269575865	3.491645159035825e-05
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae.g__Unassigned	4.178542075232885	SSF	3.810848238180078	1.4639046492905564e-05
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Unassigned.g__Unassigned	3.4421121985785734	SSP	3.3018674658016427	0.00730193874475235
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Nocardioidaceae.g__Nocardioides	4.55160685965226			-
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Nocardioidaceae.g__Unassigned	3.78631200407596	SSP	3.5177652302461646	7.550430365197727e-05
k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Cytophagaceae.g__Adhaeribacter	4.883073097740517	SST	4.556342415453402	6.756758095863909e-07
k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Cytophagaceae.g__Dyadobacter	4.413488435527273	SST	3.882775462127335	0.0003276901327140172
k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Cytophagaceae.g__Pontibacter	4.212251183755845	SSF	3.858559283312327	7.000156164195214e-05
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Chryseobacterium	3.9778341184759065			-
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Flavobacterium	4.301385833823738	SST	3.805072115238018	0.0002815233232662839
