SampleID	Group	Date	Site
A.0	SSF	2022/5/16	neimenggu
A.1	SSF	2022/5/16	neimenggu
A.11	SSF	2022/5/17	neimenggu
A.12	SSF	2022/5/17	neimenggu
A.13	SSF	2022/5/17	neimenggu
A.14	SSF	2022/5/17	neimenggu
A.15	SSF	2022/5/17	neimenggu
A.16	SSF	2022/5/17	neimenggu
A.17	SSF	2022/5/17	neimenggu
A.2	SSF	2022/5/16	neimenggu
A.20	SSF	2022/5/17	neimenggu
A.21	SST	2022/5/18	neimenggu
A.23	SST	2022/5/19	neimenggu
A.24	SST	2022/5/19	neimenggu
A.25	SST	2022/5/20	neimenggu
A.26	SST	2022/5/20	neimenggu
A.27	SST	2022/5/21	neimenggu
A.28	SST	2022/5/21	neimenggu
A.29	SST	2022/5/22	neimenggu
A.3	SSF	2022/5/16	neimenggu
A.30	SST	2022/5/22	neimenggu
A.32	SST	2022/5/24	neimenggu
A.34	SST	2022/5/26	neimenggu
A.4	SSF	2022/5/16	neimenggu
A.5	SSF	2022/5/16	neimenggu
A.6	SSF	2022/5/16	neimenggu
A.7	SSF	2022/5/16	neimenggu
A.8	SSF	2022/5/16	neimenggu
A.9	SSF	2022/5/16	neimenggu
BS.2	SSP	2022/5/22	neimenggu
CS.2	SSP	2022/5/22	neimenggu
G.0	SSP	2022/5/22	neimenggu
G.1	SSP	2022/5/22	neimenggu
G.2	SSP	2022/5/22	neimenggu
G.3	SSP	2022/5/22	neimenggu
G.4	SSP	2022/5/22	neimenggu
G.5	SSP	2022/5/22	neimenggu
GR.01	SSP	2022/5/22	neimenggu
LW.1	SSP	2022/5/22	neimenggu
T.1	SSP	2022/5/22	neimenggu
A0	SSF	2022/5/16	neimenggu
A1	SSF	2022/5/16	neimenggu
A10	SSF	2022/5/16	neimenggu
A11	SSF	2022/5/17	neimenggu
A12	SSF	2022/5/17	neimenggu
A13	SSF	2022/5/17	neimenggu
A14	SSF	2022/5/17	neimenggu
A15	SSF	2022/5/17	neimenggu
A16	SSF	2022/5/17	neimenggu
A17	SSF	2022/5/17	neimenggu
A18	SSF	2022/5/17	neimenggu
A19	SSF	2022/5/17	neimenggu
A2	SSF	2022/5/16	neimenggu
A20	SSF	2022/5/17	neimenggu
A21	SST	2022/5/18	neimenggu
A23	SST	2022/5/19	neimenggu
A24	SST	2022/5/19	neimenggu
A25	SST	2022/5/20	neimenggu
A26	SST	2022/5/20	neimenggu
A27	SST	2022/5/21	neimenggu
A28	SST	2022/5/21	neimenggu
A29	SST	2022/5/22	neimenggu
A3	SSF	2022/5/16	neimenggu
A30	SST	2022/5/22	neimenggu
A32	SST	2022/5/24	neimenggu
A34	SST	2022/5/26	neimenggu
A4	SSF	2022/5/16	neimenggu
A5	SSF	2022/5/16	neimenggu
A6	SSF	2022/5/16	neimenggu
A7	SSF	2022/5/16	neimenggu
A8	SSF	2022/5/16	neimenggu
A9	SSF	2022/5/16	neimenggu
BS2	SSP	2022/5/22	neimenggu
CS2	SSP	2022/5/22	neimenggu
G0	SSP	2022/5/22	neimenggu
G1	SSP	2022/5/22	neimenggu
G2	SSP	2022/5/22	neimenggu
G3	SSP	2022/5/22	neimenggu
G4	SSP	2022/5/22	neimenggu
G5	SSP	2022/5/22	neimenggu
GR01	SSP	2022/5/22	neimenggu
LW1	SSP	2022/5/22	neimenggu
T1	SSP	2022/5/22	neimenggu
