Class	A.0	A.1	A.11	A.12	A.13	A.14	A.15	A.16	A.17	A.2	A.20	A.21	A.23	A.24	A.25	A.26	A.27	A.28	A.29	A.3	A.30	A.32	A.34	A.4	A.5	A.6	A.7	A.8	A.9	BS.2	CS.2	G.1	G.2	G.3	G.4	G.5	GR.01	LW.1	T.1	All
Alphaproteobacteria	7.43	9.33	7.46	6.77	6.35	6.81	6.35	6.14	7.1	6.8	7.6	5.79	8.81	13.8	14.6	15.2	13	12.8	14.3	8.63	13.9	16.5	14	7.27	6.24	6.82	6.02	5.52	6.12	11.5	12.1	8.51	8.46	9.97	7.54	4.8	9.25	7.89	6.37	13.6
Actinobacteria	11.3	24	24.1	23.6	22.6	23.4	18.1	17.9	20.3	19.6	23.5	20.5	11.3	14.9	13.5	11.1	8.52	10.3	10.6	22.5	12.3	11.2	16	22.9	21	22.7	24.5	21.8	21.7	14.4	11.7	25.8	17	27.4	27.8	13.1	38.6	14.5	22.5	9.7
Unassigned	8.4	3.35	2.5	2.63	2.39	2.62	2.46	2.23	2.5	2.53	1.8	3.55	6.04	7.3	7.97	7.74	11.3	9.09	16.3	3.02	13.6	11.6	4.04	3.19	3.04	3.3	2.83	2.44	2.41	14	26.2	5.2	8.74	4.27	5.04	9.35	8.35	10.5	6.42	8.9
Sphingobacteriia	10.7	4.96	3.18	3.33	3.27	3.78	4.11	3.82	5.38	3.27	4.15	5.13	8.53	10.7	11.7	12.4	16.1	15	10.7	4.62	11.8	10.2	13.3	3.83	3.89	4.19	3.04	3.36	2.98	9.41	10.5	4.02	4.24	2.55	2.47	1.93	5.46	6.95	2.87	8.2
Gammaproteobacteria	10.6	18	27.9	29.8	34.1	30.5	35	39.6	32	34.2	34.5	37.9	40.1	23.8	24.1	25	24.8	24.6	25.2	25.3	24	23	27.8	26.2	29.5	24.8	26.1	34.7	33.8	21.2	15.3	9.14	13.5	15.9	15.5	26.7	16.4	13.1	14.1	6.9
Betaproteobacteria	5.52	6.34	6.58	6	5.77	6.53	7.44	5.97	5.08	5.23	4.75	3.97	2.38	2.98	2.7	2.19	2.02	2.28	1.78	5.23	3.08	3.47	4.58	5.4	4.7	5.83	5.82	4.05	4.42	3.12	2.55	4.76	4.17	3.94	3.2	4.04	3.46	4.45	1.65	6.0
Planctomycetacia	2.41	0.869	0.823	0.663	0.427	0.625	0.446	0.351	0.236	0.781	0.08	0.0838	0.13	0.137	0.0952	0.16	0.232	0.232	0.263	0.933	0.335	0.45	0.789	0.865	0.693	0.865	0.617	0.411	0.385	0.309	0.434	4.41	4.55	2.93	2.71	2.75	1.78	5.24	0.568	5.5
Cytophagia	9.17	4.16	4.31	3.97	3.66	3.65	5.37	4.12	6.95	3.36	8.25	9.32	13.5	12.9	11.2	11.4	8.96	11.6	6.34	3.65	10.4	8.22	7.72	3.03	2.92	3.66	3.17	3.36	2.97	3.03	5.82	3	3.62	1.8	1.64	2.71	4.96	2.77	2.61	5.0
Flavobacteriia	7.26	4.14	2.02	2.87	2.76	3.26	3.73	2.85	3.11	2.27	2.47	3.02	3.35	4.13	5.21	5.27	4.82	3.28	4.49	3.71	1.74	4.76	2.01	2.66	2.91	2.85	2.26	1.9	2.33	14.5	6.03	0.411	0.674	0.739	0.598	0.29	1.99	0.507	2.8	3.3
Deltaproteobacteria	1.14	0.69	0.484	0.309	0.351	0.328	0.354	0.202	0.183	0.594	0.171	0.423	0.796	0.911	0.96	0.819	1.68	1.12	1.18	0.724	1.26	1.58	0.728	0.537	0.522	0.545	0.457	0.335	0.358	0.892	1.03	0.625	1.39	0.987	0.693	1.67	0.343	0.732	0.156	3.1
