Genus	A0	A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A23	A24	A25	A26	A27	A28	A29	A3	A30	A32	A34	A4	A5	A6	A7	A8	A9	BS2	CS2	G0	G1	G2	G3	G4	G5	GR01	LW1	T1	All
Unassigned	50.1	45.3	30.1	50.9	44.5	41.7	37	29.9	35.4	36.4	1.15	42.3	31.4	33.6	35.4	7.74	8.74	14.8	30.9	7.17	7.1	15.5	48.1	20.3	8.66	22.4	41	36.5	46.9	30	35.8	30.3	14.8	17.6	38.2	29.7	66.7	39.8	44.7	58.8	81.9	77.5	53.3	72.3
Vishniacozyma	3.91	2.95	1.39	2.76	2.71	2.1	1.86	1.97	2.08	1.78	0.00655	1.51	2.85	1.73	1.31	0.272	0.917	0.00327	0.625	0.239	0.0688	0.56	3.29	0.337	0.0589	0.262	3.37	2.63	3.09	2.77	3.67	3.12	0.00327	0.00982	2.78	1.97	0.305	4.51	6.83	0.563	0.154	4.63	5.26	1.8
Filobasidium	9.54	13.7	10.7	10.3	15.1	10	15.2	7.86	14.1	9.82	0.0196	13.5	14.6	15	11.4	11.5	4.35	5.73	0.766	2.26	0.298	1.91	16.3	0.475	0.363	0.806	19.1	18.7	15.4	11.1	19.1	11.6	0.154	4	56.4	66.4	4.07	49.7	38.9	0.937	0.111	2.67	35.9	1.0
Aspergillus	0.0131	0.0262	0.00982	0.0917	0.0753	0.144	0.0884	0.0295	0	0.0229	0	0.0262	0.0164	0.095	0.0491	0.0131	0.0491	0	0	0.00327	0.0196	0.0295	0.0327	0.00982	0.00655	0.105	0.0393	0.0196	0.0655	0.0262	0.036	0.0196	0.0786	0.0426	0	0.00327	0	0.0327	0.00655	0	0	0.00655	0.00655	1.0
Iodophanus	2.11	0.629	0.121	2.7	0.711	0.0524	0.396	0.147	0.196	0.0458	0	0.0851	0.314	0.072	0.0295	0	0.00655	0.108	0.0131	0	0	0	0.557	0	0.0229	0.141	0.573	0.494	0.278	0.0917	0.16	0.269	0.0557	0	0	0	0	0	0	0	0.00327	0.00655	0.00327	0.9
Peziza	14.1	1.5	0.4	1.61	0.946	0.242	0.914	0.363	0.799	0.331	0	0.157	0.868	0.206	0.151	0.00982	0.095	0.0491	0.0131	0.108	0.072	0.0393	1.63	0.0458	0.0327	0.095	1.28	0.992	1.12	0.305	0.38	0.609	0.0589	0	0	0	0	0	0.00327	0	0	0	0	0.8
Naganishia	0.946	1.33	2.98	2.09	2.55	1.27	2.11	1.23	2.47	2.66	0.0131	5.1	1.18	1.5	3.78	0.996	0.691	0.884	0.308	0.305	1.77	4.56	4.65	1.35	0.00655	2.25	0.999	1.97	1.33	1.28	1.31	1.37	4.55	2.75	0.334	0.377	0	0.272	0.416	0.0131	0.00327	3.1	0.409	0.7
Acremonium	0.0426	0.0491	0	0.0196	0.0327	0.0819	0.0327	0.0131	0	0	0	0.0262	0.0426	0.0262	0.00982	0	0.0229	0	0	0	0	0.0393	0.0426	0	0	0	0.095	0.0229	0.0229	0.00982	0.0688	0.0917	0	0.00327	0.0393	0.0131	0	0.00655	0.0131	0.00982	0	0.00982	0	0.7
Rhizophlyctis	0.0196	0.0491	0	0.131	0.118	0.0131	0.233	0.00327	0.164	0.00327	0	0.0589	1.03	0	0.00655	0	0	0.0164	0	0.0164	0.00655	0	0.206	0	0	0	0.0655	0.236	0.0557	0.0262	0.0196	0.0458	0	0	0	0	0	0	0	0	0	0	0	0.6
Penicillium	0.0164	0.102	0.0295	0.206	0.0655	0.0196	0.0327	0.0295	0.0524	0.0196	0	0.00982	0.0655	0.095	0.0164	0.0229	0.0622	0.0196	0.00982	0	0	0	0.0557	0.0164	0.0295	0	0.121	0.0786	0.0524	0.0491	0.0393	0.00982	0	0	0.00655	0	0	0.00327	0.00327	0	0	0	0	0.6
