Order	A0	A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A23	A24	A25	A26	A27	A28	A29	A3	A30	A32	A34	A4	A5	A6	A7	A8	A9	BS2	CS2	G0	G1	G2	G3	G4	G5	GR01	LW1	T1	All
Unassigned	46.6	42.8	28.7	48.9	41.4	37.5	35.4	28.7	33.3	35.6	0.93	41.4	29.9	32.3	34.8	7.32	7.44	13.2	20.7	6.41	6.42	14.2	46.3	19.4	7.76	20.7	38.8	34.6	44.9	28.9	33.7	28.8	13.7	16.6	29.1	22.5	65.2	34	40.2	57.6	67.2	73.3	53	58.1
Glomerales	0.0819	0.0786	0.072	0.036	0.0229	2.55	0.00982	0.0491	0.105	0.072	0.193	0.0524	0.0688	0.131	0.115	0.272	0.21	0.57	0.0622	0.16	0.0786	0.102	0.0426	0.141	0.363	0.35	0.0786	0.0393	0.095	0.0131	0.141	0.0229	0.183	0.367	0.242	0.102	2.25	0.0557	0.141	0.327	0.295	0.0655	0.0917	3.9
Pleosporales	0.298	0.17	0.0819	0.305	0.193	0.475	0.102	0.0491	0.105	0.0131	0	0.429	0.102	0.118	0.0622	0.0524	0.00655	0.0131	0.00327	0.00327	0.0426	0.134	0.278	0.00655	0.00327	0.19	0.347	0.164	0.331	0.0982	0.19	0.111	0.252	0.311	0.334	0.301	0.0688	1.29	0.675	0.0688	13.8	1.76	0.072	3.4
Pezizales	17.6	2.42	0.648	4.9	1.84	0.363	1.45	0.557	1.14	0.38	0	0.288	1.33	0.337	0.226	0.00982	0.102	0.157	0.0557	0.108	0.072	0.072	2.49	0.0753	0.0557	0.386	2.05	1.7	1.89	0.494	0.586	1.06	0.115	0.105	0.0131	0.0164	1.28	0.77	0.0295	0.00655	0.00655	0.295	0.0196	3.3
Hypocreales	0.629	1	0.508	0.851	0.668	0.511	0.734	0.494	0.508	0.35	0.00327	1.16	0.645	1.03	0.622	0.0982	0.174	0.147	0.0982	0.0458	0.684	0.229	0.56	0.196	0.144	0.485	0.655	0.77	0.727	0.377	0.249	0.58	0.095	0.0524	8.92	6.86	0.298	4.74	3.81	0.756	1.29	2.09	0.881	2.9
Tremellales	3.98	3.11	1.49	2.85	2.86	4.2	2.05	2.05	2.18	1.87	0.00655	2.01	2.9	1.84	1.76	0.704	0.917	0.386	0.966	0.337	0.095	0.976	3.39	0.897	0.105	0.671	3.49	2.69	3.41	2.83	3.97	3.53	0.354	0.603	2.84	2.01	0.35	4.58	6.94	0.701	0.157	5.05	5.47	2.7
Agaricales	0.675	0.167	0.0851	0.131	0.0622	0.419	0.0688	0.0557	0.151	0.0426	0.00327	0.0164	0.0688	0.0327	0.0491	0.0262	0.0458	0.0819	0.00982	0.0655	0.0327	0	0.121	0.0557	0.00327	0.131	0.128	0.134	0.121	0.0851	0.0688	0.0164	0.036	0	0.00982	0.0262	0.0295	0.0196	0.0295	0.0196	0.00327	0.00982	0.0557	2.5
Sordariales	0.134	0.39	0.167	0.432	0.193	0.481	0.177	0.0982	0.291	0.0262	0.00982	0.0458	0.124	0.2	0.0655	0	0.0884	0	0.0229	0	0	0.121	0.249	0.0622	0.118	0.141	0.174	0.134	0.246	0.337	0.157	0.187	0	0.0917	0.00327	0	0	0.00982	0.036	0	0	0.0327	0.0262	2.3
Cantharellales	0.547	0.272	0.226	0.298	0.128	0.409	0.213	0.0786	0.072	0.0131	0.00327	0.0164	0.134	0.0491	0.0557	0	0.0557	0.17	0.0262	0.111	0.0164	0.0295	0.259	0.0295	0.00655	0.0229	0.39	0.213	0.105	0.0458	0.0491	0.121	0.229	0.095	0	0.00982	0.0164	0	0	0.0131	0.00655	0.00655	0.00982	2.0
Eurotiales	0.0295	0.128	0.0393	0.298	0.141	0.164	0.141	0.0589	0.118	0.0426	0	0.036	0.0819	0.19	0.0655	0.036	0.118	0.0196	0.0393	0.0458	0.0196	0.0458	0.095	0.0491	0.036	0.105	0.16	0.0982	0.118	0.0753	0.0753	0.0295	0.0786	0.118	0.00655	0.00327	0.00655	0.036	0.00982	0	0	0.00655	0.00655	1.9
Filobasidiales	10.5	15	13.7	12.4	17.7	11.3	17.3	9.09	16.6	12.5	0.0327	18.6	15.8	16.5	15.2	12.4	5.04	6.61	1.07	2.56	2.07	6.47	21	1.83	0.37	3.05	20.1	20.7	16.8	12.4	20.4	12.9	4.71	6.75	56.7	66.7	4.07	50	39.3	0.95	0.115	5.77	36.3	1.7
Saccharomycetales	0.00982	0	0.115	0.0458	0.612	0.111	0.0819	0.0196	0.17	0.0131	0	0.0753	0.0131	0.00982	0.0393	0	0	0	0.0327	0.0262	0	0.183	0.0229	0	0.0164	0.111	0.0786	0	0.0164	0.0655	0.0589	0.0557	0	0	0	0	0.00655	0.00327	0.0229	0	0	0.00982	0	1.4
Mortierellales	0.501	0.681	0.16	0.639	0.295	0.344	0.288	0.128	0.151	0.134	0.203	0.21	0.255	0.151	0	0.00327	0.0753	0.164	0.0688	0	0.0164	0	0.521	0.0753	0.0295	0	0.413	0.347	0.367	0.196	1.17	0.236	0	0	0	0	0	0	0	0	0	0	0.00327	1.3
Cystofilobasidiales	0.246	0.095	0.0851	0.105	0.124	0.108	0.157	0.0589	0.105	0.246	0	0.291	0.128	0.0982	0.0524	0.00327	0.00327	0.00327	0.842	0.00327	0.0491	0	0.121	0	0.167	0.0688	0.236	0.141	0.134	0.108	0.144	0.0982	0.00655	0.00327	0.0884	0.0262	0.00327	0.0557	0.0655	0.00655	16.4	0.285	0.0917	0.9
Rhizophlyctidales	0.0196	0.0491	0	0.16	0.219	0.072	0.249	0.0131	0.177	0.00327	0	0.0688	1.04	0	0.00982	0	0	0.0164	0	0.0164	0.00655	0	0.213	0.0295	0	0	0.115	0.324	0.0688	0.0393	0.0524	0.0819	0	0	0	0	0	0	0.00327	0	0	0	0	0.8
Sporidiobolales	0.0786	0.177	0.16	0.036	0.0393	0.0688	0.18	0.17	0.0491	0.0589	0	0.0851	0.00327	0.0589	0.0426	0.35	0.0262	0.141	0	0.131	0.0458	0	0.0229	0.544	0	0.0884	0.0196	0.102	0.0164	0.00327	0.196	0.0229	0.118	0	0.0229	0.00982	0	0.0426	0.0327	0	0.00327	0.131	0.00327	0.7
Olpidiales	0.0458	0.138	0.308	0.167	0.275	0.134	0.151	0.138	0.318	0.102	0.00327	0.157	0.2	0.2	0.187	0.174	0.694	0.563	0.0786	0.498	0.377	0.196	0.203	0.337	0.308	0.567	0.21	0.19	0.177	0.177	0.121	0.2	0.37	0.416	0	0	0.102	0.00655	0.00327	0.00327	0	0.0229	0.00982	0.6
Microascales	0.0229	0.0229	0	0.0655	0.0262	0	0.00327	0.00982	0.0426	0.0196	0	0.0164	0	0.00655	0.0229	0.0327	0	0	0	0	0	0	0.0229	0	0	0	0.0393	0.036	0.0393	0.00982	0.111	0.0458	0	0	0	0	0.00327	0	0.00327	0.0131	0	0	0	0.6
Blastocladiales	0	0.0131	0.00655	0.0458	0.036	0.00327	0.0786	0.0164	0.0688	0.00982	0	0.00655	0	0.00655	0.0491	0	0	0	0	0	0	0	0.00982	0	0	0.111	0.00655	0.0196	0.0131	0.0229	0.0426	0.0327	0.0622	0	0	0	0.00327	0	0	0	0	0	0	0.6
Helotiales	0.0229	0.0164	0.0164	0.0262	0.923	0.0229	0.0262	0	0.108	0	0.00327	0.0131	0.00655	0.00327	0	0.0491	0.00655	0	0	0	0	0.0786	0.0229	0	0	0	0.0426	0.0458	0.0458	0	0	0.0622	0.0917	0	0.00327	0	0.0229	0.00327	0.00327	0.0131	0	0.00327	0	0.6
