Phylum	A0	A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A23	A24	A25	A26	A27	A28	A29	A3	A30	A32	A34	A4	A5	A6	A7	A8	A9	BS2	CS2	G0	G1	G2	G3	G4	G5	GR01	LW1	T1	All
Unassigned	44.2	41.2	27.7	45.8	38.6	34	33	27.7	31.4	34.4	0.698	39.4	28.5	30.6	29.7	6.21	6.27	11.7	19.1	5.69	3.42	13.3	44.8	18	7	18.3	37.4	33.3	39.1	27.4	29.5	27.1	11.4	15.6	28.2	21.4	63.2	31.6	37.3	57.3	67	65.1	52.6	47.1
Ascomycota	20.7	5.97	2.25	9.99	7.13	4.2	5	2.22	4.26	1.86	0.18	4.07	3.57	3.72	5.92	1.28	1.32	1.1	1.71	0.901	3.81	1.78	5.03	1.61	0.812	3.62	5.23	4.17	9	3.02	5.33	3.33	0.842	1.35	10.2	8.39	1.72	9.64	7.74	1.12	15.4	5.09	1.13	22.7
Basidiomycota	16.3	19.1	15.9	16.6	21.1	16.8	20.2	11.6	19.2	14.8	0.0458	21.2	19.1	18.8	17.4	13.6	6.29	7.64	2.99	3.61	2.58	7.91	25	3.49	1.14	4.66	24.5	24	20.7	15.6	25.1	16.9	6.49	8.09	59.7	68.9	4.61	54.7	46.5	1.86	16.6	11.6	42	14.4
Glomeromycota	0.0884	0.0917	0.0884	0.0753	0.0557	3.09	0.0327	0.0491	0.196	0.072	0.193	0.0753	0.095	0.177	0.164	0.311	0.308	0.855	0.0884	0.16	0.095	0.17	0.0491	0.288	0.432	0.514	0.0982	0.0458	0.121	0.0262	0.2	0.036	0.259	0.439	0.341	0.134	3.78	0.0884	0.219	0.406	0.478	0.0688	0.157	5.8
Chytridiomycota	0.0262	0.246	0.144	0.347	0.429	0.979	0.524	0.105	0.737	0.18	0.226	0.193	1.18	0.0655	0.144	0.095	0.00655	0.494	9.76	0.138	0.0131	0.233	0.383	0.177	0.144	0.652	0.239	0.416	0.19	0.147	0.0655	0.255	2.08	0.203	0.00327	0.00655	0.00655	0.00982	0.00982	0.0589	0.00327	0.219	0.121	3.4
Rozellomycota	0.377	0.357	0.216	0.2	0.327	0.851	0.295	0.177	0.124	0.18	0.00655	0.167	0.19	0.0655	0.262	0.0393	0.213	0	0.0458	0.0688	0	0.0688	0.426	0.151	0.131	0.363	0.233	0.216	0.295	0.157	0.262	0.242	0.167	0.124	0.00655	0.00655	0.599	0.0491	0.0295	0.108	0	7.58	0.111	3.1
Mortierellomycota	0.501	0.681	0.164	0.639	0.295	0.396	0.288	0.128	0.151	0.134	0.203	0.21	0.255	0.154	0	0.00327	0.0753	0.4	0.0688	0	0.0164	0	0.521	0.0753	0.0295	0	0.413	0.347	0.377	0.196	1.17	0.236	0	0	0	0	0	0	0	0	0	0	0.00327	1.4
Olpidiomycota	0.0458	0.138	0.308	0.167	0.275	0.134	0.151	0.138	0.318	0.102	0.00327	0.157	0.2	0.2	0.187	0.174	0.694	0.563	0.0786	0.498	0.377	0.196	0.203	0.337	0.308	0.567	0.21	0.19	0.177	0.177	0.121	0.2	0.37	0.416	0	0	0.102	0.00655	0.00327	0.00327	0	0.0229	0.00982	0.6
Blastocladiomycota	0	0.0131	0.00655	0.0458	0.036	0.00327	0.0786	0.0164	0.0688	0.00982	0	0.00655	0	0.00655	0.0491	0	0	0	0	0	0	0	0.00982	0	0	0.111	0.00655	0.0196	0.0131	0.0229	0.0426	0.0327	0.0622	0	0	0	0.00327	0	0	0	0	0	0	0.6
Aphelidiomycota	0.55	0.305	0.285	0.164	0.314	0.2	0.0688	0.527	0.242	0.144	0	0.151	0.462	0	0.105	0	0.0393	0	0.0753	0	0	0.0622	0.219	0	0	0	0.606	0.305	0.187	0.278	0.262	0.544	0	0.0917	0	0	0	0.00982	0.0262	0	0	1.07	0.0884	0.4
Mucoromycota	0.00655	0.00655	0	0.00982	0.0131	0.00655	0.0295	0	0.00655	0.00655	0	0	0.0196	0	0.0688	0	0	0	0	0	0	0	0.00982	0	0.00327	0.0524	0.0295	0.0164	0	0.00982	0.00655	0.0131	0	0	0	0.00327	0	0	0	0	0	0	0	0.3
Spike	17.2	31.9	52.9	25.9	31.5	39.2	40.3	57.4	43.3	48	98.4	34.4	46.5	46.3	46	78.3	84.8	77.3	66.1	88.9	89.7	76.2	23.4	75.9	90	71.1	31	36.9	29.8	53	37.9	51.1	78.3	73.7	1.53	1.18	25.9	3.88	8.24	39.2	0.531	9.25	3.76	0.2
