Family	A.0	A.1	A.11	A.12	A.13	A.14	A.15	A.16	A.17	A.2	A.20	A.21	A.23	A.24	A.25	A.26	A.27	A.28	A.29	A.3	A.30	A.32	A.34	A.4	A.5	A.6	A.7	A.8	A.9	BS.2	CS.2	G.1	G.2	G.3	G.4	G.5	GR.01	LW.1	T.1	All
Unassigned	20.4	15.4	11.1	10.1	9.19	9.99	8.17	7.86	6.85	11.7	5.99	7.49	8.3	10.6	11.3	11.1	14.4	12.7	20.3	14.2	18.2	16.8	9.35	13.4	12	12.8	11.4	9.79	9.86	17.4	29.8	26.6	26.5	20.8	23.8	27.8	15.6	31.9	16	27.3
Planctomycetaceae	2.41	0.869	0.823	0.663	0.427	0.625	0.446	0.351	0.236	0.781	0.08	0.0838	0.13	0.137	0.0952	0.16	0.232	0.232	0.263	0.933	0.335	0.45	0.789	0.865	0.693	0.865	0.617	0.411	0.385	0.309	0.434	4.41	4.55	2.93	2.71	2.75	1.78	5.24	0.568	5.5
Chitinophagaceae	5.86	2.05	1.21	1.26	1.25	1.42	1.49	1.5	1.92	1.5	1.7	2.32	4.85	5.68	8.01	9.2	13.3	12.5	8.17	2.16	7.68	6.88	4.34	1.67	1.64	1.85	1.37	1.25	1.16	4.27	4.68	3.36	3.03	1.94	2.02	1.24	2.8	5.08	1.67	4.9
Cytophagaceae	8.85	3.94	4.13	3.86	3.55	3.5	5.26	3.98	6.87	3.19	8.18	9.2	13.4	12.7	11	11.2	8.77	11.4	6.21	3.39	10.1	7.99	7.37	2.89	2.75	3.44	3.05	3.2	2.86	2.85	5.65	2.94	3.54	1.73	1.58	2.69	4.93	2.6	2.53	4.2
Nocardioidaceae	2.26	4.76	3.33	3.35	3.34	3.4	2.23	2.72	3.79	3.52	3.23	2.29	3.01	4.4	4.12	3.51	3.41	3.58	4.7	4.26	4.48	4.25	3.59	3.53	3.39	3.63	4.32	3.11	2.77	2.86	2.91	5.65	4.62	5.03	4.86	1.33	11	5.06	2.13	2.8
Flavobacteriaceae	6.05	3.7	1.82	2.69	2.59	3.09	3.62	2.77	3.07	2	2.45	3	3.32	4.12	5.19	5.25	4.8	3.26	4.47	3.29	1.69	4.72	1.98	2.36	2.66	2.58	2.01	1.77	2.17	14.5	6.03	0.347	0.461	0.671	0.503	0.0952	1.62	0.427	2.78	2.6
Sphingomonadaceae	1.58	1.62	0.899	0.846	0.697	0.762	0.617	0.613	0.674	1.04	0.457	0.396	0.431	0.686	0.777	0.812	0.907	1.02	0.8	1.41	0.69	0.636	0.396	1.03	0.941	0.834	0.671	0.667	0.728	0.648	0.465	0.911	0.446	1.07	0.735	0.24	0.682	1.06	0.621	2.3
Pseudomonadaceae	3.57	9.44	17.5	17.2	20.1	17	19.1	23.2	16.1	28.2	22.8	27.2	17.7	17.6	17.4	15.4	14.5	15.4	18	19.5	14.6	16.4	19.8	20.3	20.7	17.9	18.4	23.4	22.6	12.8	11.2	7.66	11.4	13.2	13.4	22.9	14.3	9.59	4.45	2.2
Comamonadaceae	1.3	1.66	1.14	0.937	0.968	0.888	1.18	1.1	0.697	1.79	0.293	0.331	0.442	0.499	0.442	0.556	0.438	0.728	0.354	1.58	0.495	0.328	0.271	1.44	1.19	1.34	1.42	1.04	1.06	0.423	0.537	2.13	1.73	1.15	1.21	1.9	2.71	1.06	0.438	2.1
Sphingobacteriaceae	3.87	2.47	1.71	1.87	1.84	2.14	2.37	2.18	3.35	1.39	2.4	2.76	3.65	4.99	3.64	3.15	2.73	2.5	2.5	2.04	4.11	3.2	8.85	1.79	1.97	2.06	1.47	1.89	1.57	5.12	5.7	0.126	0.271	0.29	0.152	0.137	2.42	0.72	1.08	1.8
