Genus	原沙	第一天	第二天	第三天	第四天	第五天	第六天	第七天	第九天	第十一天	大豆	葵花	高粱	狼尾草	土豆
Pseudomonas	3.52	20.01	19.025	26.9	17.3	16.25	14.8	16	16.2	19.6	12.6	11.1	14.3	9.59	4.43
Arthrobacter	5.39	9.38	10.63875	12.2	4.77	4.01	2.77	2.78	3.03	6.17	7.2	5.13	20.1	5.38	13.2
Flavisolibacter	2.69	0.857222222	0.90925	1.87	4.385	7.045	10.165	5.88	4.61	2.9	3.37	3.78	0.179	1.1	0.773
Nocardioides	1.73	2.91	2.53875	1.84	3.26	3.405	3.105	4.07	3.88	3.21	2.55	2.6	8.79	3.61	1.52
Flavobacterium	5.78	2.274444444	2.30375	2.42	2.86	4.015	2.795	1.95	4.03	1.57	10.5	4.45	1.46	0.373	1.55
Planococcus	2.93	7.907777778	6.95875	4.19	0.4	0.442	0.398	0.5545	0.545	1.17	1.89	2.19	0.0229	1.02	13.4
Adhaeribacter	1.2	0.361111111	0.522375	0.827	9.91	7.69	6.765	4.65	4.6	4.31	0.732	1.32	0.0419	0.0571	0.061
Devosia	0.903	0.591333333	0.623875	0.465	2.685	3.785	3.02	4.005	4.2	3.23	2.72	3.16	0.952	0.663	0.594
Pedobacter	2.09	0.951	1.242125	1.58	2.295	2.005	1.56	2.36	2.24	6.51	1.97	4.04	1.78	0.29	0.244
Acinetobacter	0.766	3.001111111	7.94375	5.85	4.337	0.3505	0.423	0.2075	0.141	0.297	1.26	0.267	0.0305	0.0267	3.42
Dyadobacter	2.26	0.687111111	0.95275	2.4	1.0175	1.295	1.695	2.77	2.16	1.58	1.85	3.31	1.32	0.457	0.594
Cellvibrio	0.701	0.297222222	0.221375	0.819	0.9255	2.675	4.66	4.14	2.66	4.53	1.12	1.19	0.0343	0.0114	0.0343
Paracocccus	0.476	1.271111111	2.06375	2.64	1.785	1.425	1.024	1.53	1.49	2.49	1.33	0.888	0.0991	0.271	2.47
Pontibacter	2.51	1.283222222	2.5775	5.29	1.72	1.745	1.1415	0.461	0.853	0.812	0.149	0.339	0.00381	0.175	1.46
Luteolibacter	0.842	0.1783	0.12525	0.122	2	3.8	3.815	2.67	1.29	0.804	2.5	1.89	0.301	0.0952	0.0152
Brevundimonas	0.32	0.250111111	0.333875	0.446	2.255	3.405	2.88	2.04	1.63	1.17	2.32	1.73	0.137	0.061	0.194
Massilia	2.11	2.358888889	3.82875	2.35	1.0015	0.638	0.32	0.2475	0.271	0.419	1.33	0.705	0.0914	0.236	0.732
Microbacterium	0.377	1.085666667	1.1815	1.15	1.19	1.15	0.8195	1.044	0.899	1.54	1.31	0.892	0.446	0.415	0.747
Chryseobacterium	0.251	0.211222222	0.428625	0.545	0.838	1.192	1.225	1.081	0.64	0.385	4.02	1.56	0.152	0.0495	1.23
Sphingobacterium	0.408	0.413666667	0.577	0.933	1.815	1.185	0.8035	0.613	0.652	1.09	2.71	1.11	0.00381	0.236	0.789
Lysobacter	0.156	0.244333333	0.4055	0.404	1.65	2.55	1.925	1.445	1.13	0.476	1.74	0.979	0.0114	0.019	0.0343
Psychrobacter	0.636	1.511222222	1.348375	0.591	0.259	0.1735	0.1445	0.05525	0.061	0.168	0.0229	0.08	0.00762	2.4	5.38
Alkanindiges	0.152	0.286555556	1.955125	1.98	5.905	0.56	0.6325	0.1985	0.19	0.297	0.0495	0.0457	0.0114	0	0
Rhizobium	0.453	0.252333333	0.2715	0.179	0.493	0.5465	0.585	0.745	0.709	0.461	0.674	0.659	2.65	0.431	0.164
Exiguobacterium	0.465	1.043555556	0.9285	0.632	0.0267	0.03615	0.0419	0.04	0.0381	0.0724	0.0724	0.0914	0	0.0305	5.52
Sphingomonas	1.24	0.692444444	0.471	0.297	0.4345	0.653	0.7335	0.526	0.495	0.305	0.343	0.305	0.396	0.911	0.351
Blastocatella	1.62	0.289555556	0.186625	0.137	0.2135	0.2895	0.547	0.467	0.636	0.29	0.255	0.389	0.339	1.7	0.419
Rhodococcus	0.19	0.158777778	0.186625	0.145	0.951	0.638	0.537	0.581	0.568	1.45	0.434	0.476	0.0305	0.0686	0.217
Caulobacter	0.0724	0.046122222	0.0290375	0.0229	0.6915	1.0295	0.9145	0.9415	0.735	0.526	0.351	0.423	0.583	0.0457	0.0152
Peredibacter	0.347	0.102844444	0.062325	0.347	0.7145	0.5205	0.362	0.448	0.693	0.286	0.545	0.606	0.0343	0.0419	0.00381
Others	19.4498	14.03808111	10.78262625	6.35773	6.065225	7.23616	8.63955	8.131345	9.2397	9.71324	7.59426	6.2744	14.54133	21.42285	11.22354
