Order	A.0	A.1	A.11	A.12	A.13	A.14	A.15	A.16	A.17	A.2	A.20	A.21	A.23	A.24	A.25	A.26	A.27	A.28	A.29	A.3	A.30	A.32	A.34	A.4	A.5	A.6	A.7	A.8	A.9	BS.2	CS.2	G.1	G.2	G.3	G.4	G.5	GR.01	LW.1	T.1	All
Unassigned	14	7.65	5.39	4.76	4.25	4.84	3.97	3.7	3.54	5.51	2.51	4.34	6.36	7.83	8.66	8.47	12.1	9.82	17.1	7.2	14.7	12.9	5.23	6.61	6.23	6.68	5.38	4.26	4.45	15	27.2	19.4	18.6	12.6	16.3	22.8	11.7	24.2	9.65	14.7
Sphingobacteriales	10.7	4.96	3.18	3.33	3.27	3.78	4.11	3.82	5.38	3.27	4.15	5.13	8.53	10.7	11.7	12.4	16.1	15	10.7	4.62	11.8	10.2	13.3	3.83	3.89	4.19	3.04	3.36	2.98	9.41	10.5	4.02	4.24	2.55	2.47	1.93	5.46	6.95	2.87	8.2
Planctomycetales	2.41	0.869	0.823	0.663	0.427	0.625	0.446	0.351	0.236	0.781	0.08	0.0838	0.13	0.137	0.0952	0.16	0.232	0.232	0.263	0.933	0.335	0.45	0.789	0.865	0.693	0.865	0.617	0.411	0.385	0.309	0.434	4.41	4.55	2.93	2.71	2.75	1.78	5.24	0.568	5.5
Rhizobiales	3.12	3.32	2.63	2.37	2.16	2.26	2.07	2.05	2.08	2.49	1.57	1.27	3.11	5.14	5.38	6.05	4.96	5.08	6.45	3.17	6.44	6.63	5.49	2.65	2.24	2.8	2.37	1.86	2.3	4.85	5.42	4.57	5.78	3.98	3.36	2.88	6.23	4.69	1.94	5.2
Cytophagales	9.09	4.08	4.22	3.94	3.62	3.59	5.33	4.07	6.91	3.28	8.22	9.27	13.5	12.8	11.1	11.3	8.87	11.5	6.25	3.56	10.2	8.04	7.65	2.96	2.85	3.56	3.13	3.28	2.92	2.91	5.71	2.96	3.6	1.73	1.58	2.7	4.95	2.67	2.58	4.5
Burkholderiales	4.42	5.43	6.1	5.62	5.47	6.17	7.21	5.76	4.97	4.59	4.7	3.93	2.33	2.92	2.59	2.07	1.93	2.19	1.71	4.53	3	3.31	4.23	4.8	4.21	5.2	5.28	3.69	4.05	2.85	2.45	3.03	2.11	2.8	2.15	2.42	3.04	1.62	1.43	4.2
Sphingomonadales	2.45	2.8	1.68	1.41	1.28	1.44	1.19	1.11	1.29	1.77	0.987	0.77	0.991	1.74	1.84	1.95	1.74	2.1	1.57	2.46	1.5	1.45	0.85	1.76	1.55	1.42	1.26	1.1	1.28	1.32	0.994	1.41	0.911	1.97	1.28	0.518	1.04	1.7	0.987	3.8
Micrococcales	7.77	16.3	18.5	18.2	17.3	17.8	14.4	13.8	15.3	13.6	19.1	17.3	6.82	9.35	8.08	6.55	4.2	5.75	4.82	15.6	6.57	5.77	10.5	17	15.3	16.7	17.7	16.7	17	10.6	7.76	17.8	10.5	20.1	20.4	10.8	26.3	7.86	19.3	3.7
Flavobacteriales	7.26	4.14	2.02	2.87	2.76	3.26	3.73	2.85	3.11	2.27	2.47	3.02	3.35	4.13	5.21	5.27	4.82	3.28	4.49	3.71	1.74	4.76	2.01	2.66	2.91	2.85	2.26	1.9	2.33	14.5	6.03	0.411	0.674	0.739	0.598	0.29	1.99	0.507	2.8	3.3
Propionibacteriales	2.29	4.85	3.44	3.44	3.39	3.47	2.29	2.77	3.83	3.63	3.27	2.31	3.01	4.41	4.14	3.52	3.41	3.59	4.71	4.33	4.5	4.26	3.6	3.59	3.48	3.7	4.47	3.2	2.85	2.87	2.91	5.73	4.77	5.33	5.15	1.39	11.1	5.17	2.21	3.0
