Phylum	原沙	第一天	第二天	第三天	第四天	第五天	第六天	第七天	第九天	第十一天	大豆	葵花	高粱	狼尾草	土豆
Proteobacteria	24.7	40.91111111	46.1625	48.2	46.85	42.9	41.25	42.45	44.7	47.1	36.8	31.1	29.6	26.5	22.3
Bacteroidetes	28	10.21888889	11.975	17.5	26.65	28.65	29.95	22.8	23.4	23.1	27	22.4	12.4	10.2	8.28
Actinobacteria	13.3	24.11111111	22.6125	20.7	13.25	12.55	9.615	11.75	11.6	16.3	14.6	12	40.3	18.7	23.2
Saccharibacteria	4.41	1.042222222	1.030375	2.42	6.215	7.3	9.52	14.25	10.6	3.6	13.4	25.4	7.58	8.08	4.99
Firmicutes	6.98	14.53444444	12.325	8.76	1.79	1.067	0.986	1.06	1.23	1.97	2.57	2.8	0.301	2.44	33.8
Verrucomicrobia	3.29	0.782444444	0.462875	0.232	2.2	4.205	4.47	3.28	2.21	1.38	2.83	2.42	1.96	2.09	0.274
Chloroflexi	3.36	2.084444444	1.27075	0.545	1.2405	1.255	1.27	1.605	2.66	2.71	0.88	1.31	2.31	5.8	2.18
Thaumarchaeota	4.9	1.280888889	0.60875	0.118	0.04575	0.04955	0.0686	0.07045	0.118	0.152	0.08	0.0495	1.55	11.4	2.28
Planctomycetes	3.14	1.018666667	0.63775	0.137	0.2325	0.2745	0.52	0.5695	0.812	1.02	0.465	0.697	2.08	6.31	0.827
Acidobacteria	2.87	0.919	0.551375	0.198	0.3105	0.385	0.7045	0.6495	0.804	0.488	0.358	0.533	0.636	3.38	0.686
Euryarchaeota	1.73	0.747555556	0.2950875	0.00762	0.011405	0.0152	0.00951	0.019055	0.0419	0.232	0.019	0.0343	0.206	0.564	0.0343
Gemmatimonadetes	0.766	0.595555556	0.31855	0.179	0.0992	0.1105	0.1425	0.1905	0.286	0.305	0.0762	0.126	0.08	0.503	0.0991
Armatimonadetes	0.438	0.083388889	0.0599375	0.0267	0.05335	0.1675	0.238	0.1885	0.297	0.0838	0.118	0.221	0.251	0.587	0.114
Cyanobacteria	0.19	0.245444444	0.1776375	0.0991	0.06095	0.0762	0.12955	0.2075	0.118	0.316	0.152	0.198	0.0152	0.0952	0.175
Nitrospirae	0.175	0.082555556	0.039525	0.0114	0.00381	0.007605	0.0076	0.0076	0	0.00762	0.00762	0.0152	0.11	1.08	0.0419
Chlamydiae	0.19	0.054166667	0.03	0.0152	0.011405	0.00762	0.00762	0.0133	0.00381	0.00762	0.00762	0	0.0991	0.884	0.0914
Hydrogenedentes	0.0952	0.024966667	0.0128425	0.019	0.05525	0.08575	0.1905	0.223	0.217	0.061	0.0495	0.179	0	0.0343	0.00381
Chlorobi	0.248	0.039788889	0.02618875	0.0229	0.01145	0.0171	0.0438	0.07055	0.114	0.0533	0.0381	0.061	0.0648	0.213	0.0571
Parcubacteria	0.198	0.038091111	0.02047625	0.00381	0.00381	0.005715	0.00381	0.00951	0.0571	0.0495	0	0.0305	0.0876	0.0152	0.00762
Deinococcus-Thermus	0.019	0.051222222	0.0600125	0.0457	0.01715	0.02285	0.0267	0.02095	0.0343	0.019	0.0267	0.0762	0	0.0229	0.0229
Woesearchaeota_[DHVEG-6]	0.019	0.005073333	0.00285375	0.00762	0.001905	0	0.001905	0	0	0.00381	0	0	0.0267	0.156	0.0419
SM2F11	0.0952	0.016915556	0.00665625	0	0.001905	0	0	0.005715	0.00762	0.00381	0	0.00381	0.0229	0.0838	0.0114
WCHB1-60	0.0419	0.01016	0.00523125	0	0	0	0	0.001905	0.00381	0	0	0	0	0.133	0.0267
Microgenomates	0.103	0.01608	0.006655	0	0.001905	0	0	0	0.00762	0	0	0.00381	0	0.00762	0.0267
Fibrobacteres	0.0419	0.021155556	0.00238125	0	0	0	0	0	0	0	0	0	0	0.0495	0
TM6	0.019	0.006342222	0.0028575	0.00381	0	0.001905	0.001905	0.001905	0.00381	0	0.00381	0.00381	0.0419	0.0114	0.00381
Gracilibacteria	0.0686	0.006765556	0.00428125	0.00762	0	0	0.001905	0	0.00381	0	0	0	0	0.0114	0
Latescibacteria	0.0114	0.013525556	0.006655	0.00381	0	0	0.001905	0	0	0	0	0.00381	0.00381	0.019	0.00381
Candidate_division_OP3	0.00381	0.000423333	0	0	0	0	0	0.001905	0	0	0	0	0.0305	0.00762	0.00762
Elusimicrobia	0.00762	0.002963333	0	0	0	0	0	0	0	0	0	0	0.0114	0.00381	0
Aerophobetes	0.00381	0.002963333	0	0	0	0	0	0	0	0	0	0	0.00381	0.00381	0
JL-ETNP-Z39	0.00381	0.006757778	0.001905	0	0	0.001905	0	0	0	0	0	0	0	0	0
SHA-109	0	0.000846667	0.0009525	0	0	0	0	0	0	0	0	0	0	0.00762	0
Aenigmarchaeota	0	0.003383333	0.001905	0	0	0	0	0	0	0.00381	0	0	0	0	0
