Class	A0	A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A23	A24	A25	A26	A27	A28	A29	A3	A30	A32	A34	A4	A5	A6	A7	A8	A9	BS2	CS2	G0	G1	G2	G3	G4	G5	GR01	LW1	T1	All
Unassigned	46.1	42.4	28.4	48.7	41	37	35.2	28.5	32.9	35.5	0.93	41.3	29.6	31.5	34.7	7.3	7.37	13.2	20.7	6.4	6.33	14.2	45.9	19.4	7.62	20.7	38.4	34.3	44.6	28.6	33.6	28.4	13.7	16.5	29.1	22.5	65.2	34	40.1	57.6	67.2	72.3	52.9	56.4
Sordariomycetes	0.832	1.44	0.698	1.38	0.923	1.46	0.927	0.606	0.959	0.449	0.072	1.22	0.871	1.3	0.73	0.147	0.262	0.147	0.121	0.0458	0.694	0.377	0.865	0.331	0.272	1.43	0.956	0.999	1.04	0.74	0.534	0.822	0.151	0.2	8.93	6.87	0.301	4.77	3.89	0.806	1.5	2.13	0.94	7.2
Agaricomycetes	1.45	0.491	0.324	1.17	0.239	1.09	0.331	0.164	0.301	0.0557	0.00655	0.0753	0.229	0.0851	0.105	0.0327	0.105	0.252	0.036	0.573	0.0491	0.298	0.436	0.0851	0.0393	0.324	0.56	0.386	0.282	0.141	0.124	0.18	0.265	0.151	0.0164	0.0426	0.0753	0.0262	0.036	0.167	0.0229	0.0229	0.0688	6.1
Tremellomycetes	14.7	18.3	15.3	15.3	20.7	15.6	19.5	11.2	18.8	14.6	0.0393	20.9	18.8	18.5	17	13.2	5.96	7	2.88	2.9	2.31	7.45	24.5	2.72	0.861	3.79	23.9	23.5	20.4	15.3	24.6	16.6	5.07	7.36	59.6	68.8	4.42	54.6	46.3	1.66	16.6	11.1	41.9	5.8
Glomeromycetes	0.0819	0.0851	0.072	0.0524	0.0229	2.56	0.0262	0.0491	0.105	0.072	0.193	0.0655	0.095	0.131	0.124	0.272	0.236	0.57	0.0622	0.16	0.0786	0.102	0.0426	0.141	0.363	0.413	0.0982	0.0458	0.0982	0.0229	0.154	0.036	0.183	0.439	0.249	0.105	2.41	0.0688	0.157	0.377	0.298	0.0655	0.0917	4.5
Dothideomycetes	0.396	0.655	0.174	0.593	0.442	0.583	0.403	0.108	0.458	0.0819	0	0.789	0.144	0.298	0.177	0.108	0.00982	0.177	0.0164	0.0295	0.0589	0.409	0.698	0.00655	0.00327	0.236	0.619	0.363	0.596	0.265	0.305	0.262	0.282	0.311	0.494	0.452	0.0688	1.71	1.01	0.0786	13.8	1.81	0.0917	3.9
Pezizomycetes	17.6	2.42	0.648	4.9	1.84	0.363	1.45	0.557	1.14	0.38	0	0.288	1.33	0.337	0.226	0.00982	0.102	0.157	0.0557	0.108	0.072	0.072	2.49	0.0753	0.0557	0.386	2.05	1.7	1.89	0.494	0.586	1.06	0.115	0.105	0.0131	0.0164	1.28	0.77	0.0295	0.00655	0.00655	0.295	0.0196	3.3
Eurotiomycetes	0.0295	0.134	0.0393	0.321	0.141	0.167	0.141	0.0589	0.118	0.0426	0	0.036	0.105	0.19	0.0655	0.036	0.118	0.0196	0.0393	0.0819	0.0196	0.0458	0.095	0.0491	0.0589	0.105	0.164	0.138	0.118	0.0786	0.0753	0.0295	0.0786	0.118	0.00655	0.00327	0.00655	0.036	0.0131	0	0	0.0131	0.00655	2.2
Saccharomycetes	0.00982	0	0.115	0.0458	0.612	0.111	0.0819	0.0196	0.17	0.0131	0	0.0753	0.0131	0.00982	0.0393	0	0	0	0.0327	0.0262	0	0.183	0.0229	0	0.0164	0.111	0.0786	0	0.0164	0.0655	0.0589	0.0557	0	0	0	0	0.00655	0.00327	0.0229	0	0	0.00982	0	1.4
Mortierellomycetes	0.501	0.681	0.16	0.639	0.295	0.344	0.288	0.128	0.151	0.134	0.203	0.21	0.255	0.151	0	0.00327	0.0753	0.164	0.0688	0	0.0164	0	0.521	0.0753	0.0295	0	0.413	0.347	0.367	0.196	1.17	0.236	0	0	0	0	0	0	0	0	0	0	0.00327	1.3
Cystobasidiomycetes	0.00327	0.0393	0.0688	0.0164	0.0819	0.0196	0.0229	0	0	0.036	0	0.036	0.0131	0.0262	0	0	0.0753	0	0.072	0	0	0	0.00655	0	0.151	0	0.0622	0.00327	0.0262	0.0458	0.0753	0.0426	0.2	0.445	0	0	0	0.0196	0.0229	0	0	0	0.0229	0.8
Rhizophlyctidomycetes	0.0196	0.0491	0	0.16	0.219	0.072	0.249	0.0131	0.177	0.00327	0	0.0688	1.04	0	0.00982	0	0	0.0164	0	0.0164	0.00655	0	0.213	0.0295	0	0	0.115	0.324	0.0688	0.0393	0.0524	0.0819	0	0	0	0	0	0	0.00327	0	0	0	0	0.8
Microbotryomycetes	0.0786	0.177	0.16	0.036	0.0393	0.0688	0.18	0.17	0.0491	0.0589	0	0.0851	0.00327	0.0589	0.0426	0.35	0.0262	0.141	0	0.131	0.0458	0	0.0229	0.544	0	0.0884	0.0196	0.102	0.0164	0.00327	0.196	0.0229	0.118	0	0.0229	0.00982	0	0.0426	0.0327	0	0.00327	0.131	0.00327	0.7
Leotiomycetes	0.0229	0.0164	0.0164	0.0262	0.923	0.0851	0.0393	0	0.108	0	0.105	0.0131	0.00655	0.00327	0	0.0524	0.00655	0	0	0	0	0.0786	0.0229	0	0	0	0.0426	0.0458	0.0491	0.00982	0.0131	0.0622	0.0917	0	0.00327	0	0.0229	0.00327	0.00327	0.0229	0	0.00327	0.00655	0.6
Olpidiomycetes	0.0458	0.138	0.308	0.167	0.275	0.134	0.151	0.138	0.318	0.102	0.00327	0.157	0.2	0.2	0.187	0.174	0.694	0.563	0.0786	0.498	0.377	0.196	0.203	0.337	0.308	0.567	0.21	0.19	0.177	0.177	0.121	0.2	0.37	0.416	0	0	0.102	0.00655	0.00327	0.00327	0	0.0229	0.00982	0.6
Blastocladiomycetes	0	0.0131	0.00655	0.0458	0.036	0.00327	0.0786	0.0164	0.0688	0.00982	0	0.00655	0	0.00655	0.0491	0	0	0	0	0	0	0	0.00982	0	0	0.111	0.00655	0.0196	0.0131	0.0229	0.0426	0.0327	0.0622	0	0	0	0.00327	0	0	0	0	0	0	0.6
Paraglomeromycetes	0.00655	0	0	0	0	0.124	0.00327	0	0.036	0	0	0.00655	0	0	0	0	0	0	0	0	0	0	0	0.0884	0.00982	0.102	0	0	0.00327	0	0.00982	0	0	0	0	0	0	0.00327	0	0	0	0	0.0393	0.5
Malasseziomycetes	0.0295	0.0295	0.0262	0.0524	0.0524	0.0196	0.0851	0.0524	0.0196	0.0917	0	0.0688	0.0262	0.16	0.18	0.0753	0.128	0.246	0	0	0.174	0.164	0.00982	0.131	0.0884	0.363	0.0131	0.0196	0.0393	0.0622	0.0884	0.0655	0.842	0.131	0.00327	0	0.0917	0	0.0295	0.036	0	0.00655	0.00327	0.5
Aphelidiomycetes	0.55	0.305	0.285	0.164	0.314	0.2	0.0688	0.527	0.242	0.144	0	0.151	0.462	0	0.105	0	0.0393	0	0.0753	0	0	0.0622	0.219	0	0	0	0.606	0.305	0.187	0.278	0.262	0.544	0	0.0917	0	0	0	0.00982	0.0262	0	0	1.07	0.0884	0.4
