Genus	原沙	第一天	第二天	第三天	第四天	第五天	第六天	第七天	第九天	第十一天	大豆	葵花	高粱	狼尾草	土豆
Filobasidium	9.54	15.03	11.08996	11.4	7.925	5.73	1.279	1.1925	0.363	0.806	0.154	4	0.111	2.67	35.9
Naganishia	0.946	1.8399	2.09931	3.78	0.8435	0.884	1.0375	2.955	0.00655	2.25	4.55	2.75	0.00327	3.1	0.409
Vishniacozyma	3.91	2.913	1.850655	1.31	0.5945	0.00327	0.1539	0.4485	0.0589	0.262	0.00327	0.00982	0.154	4.63	5.26
Mrakia	0.213	0.074365	0.046462	0.0131	0.001635	0.00327	0.026185	0	0.0655	0.0688	0.00655	0	16	0.0557	0.0786
Peziza	14.1	0.9084	0.5568	0.151	0.05241	0.0491	0.09	0.04255	0.0327	0.095	0.0589	0	0	0	0
Papiliotrema	0.00982	0.11363	0.31246	0.305	0.216	0.383	0.0622	0.4585	0.0458	0.409	0.35	0.593	0.00327	0.0131	0.0982
Iodophanus	2.11	0.34867	0.44053	0.0295	0.003275	0.108	0	0	0.0229	0.141	0.0557	0	0.00327	0.00655	0.00327
Fusarium	0.131	0.16735	0.221447	0.386	0	0.00327	0.01965	0.026185	0	0.124	0	0.00655	0.547	0	0.792
Malassezia	0.0295	0.033072	0.0566	0.18	0.05895	0.242	0.0131	0.05405	0.0884	0.223	0.583	0	0	0.00655	0.00327
Paradictyoarthrinium	0.0295	0.02422	0.018334	0.00982	0.018	0	0	0	0	0.0589	0.111	0	0	0.734	0.00655
Rhodotorula	0.0196	0.044571	0.05366	0.0426	0.1881	0.0753	0	0.262	0	0.0884	0.118	0	0	0.0524	0.00327
Bipolaris	0.00655	0.017684	0.012117	0	0	0	0	0	0	0	0	0	0	0.887	0
Cystobasidium	0	0.031112	0.015062	0	0.03765	0	0	0	0.151	0	0.2	0.396	0	0	0
Alfaria	0.0688	0.09655	0.10153	0.151	0.00655	0	0.326	0.01475	0.0196	0	0	0	0	0	0
Davidiella	0.072	0.17557	0.16179	0.0917	0.011435	0	0.0131	0.1375	0	0	0	0	0.00327	0.0458	0.0196
Hannaella	0.0557	0.049742	0.02489	0.0491	0	0	0	0.02945	0	0	0	0	0	0.403	0.108
Colletotrichum	0	0	0	0	0	0	0	0	0	0.639	0	0	0	0	0
Cystofilobasidium	0.0327	0.05472	0.0825	0.0393	0	0	0	0	0.102	0	0	0	0.00982	0.229	0.0131
Olpidium	0.00982	0.027505	0.033395	0.0164	0.0802	0.105	0.051	0.036	0.0524	0.0393	0	0.0458	0	0.0229	0.00327
Alternaria	0.0786	0.027844	0.019642	0.00327	0	0	0	0	0	0	0	0.308	0	0.036	0.00982
Aspergillus	0.0131	0.029132	0.0573	0.0491	0.0311	0	0.011435	0.01966	0.00655	0.105	0.0786	0.0426	0	0.00655	0.00655
Heydenia	0.196	0.015392	0.006877	0.0196	0	0	0	0	0	0	0	0.105	0	0.0589	0
Cladosporium	0.0262	0.039932	0.015384	0.0229	0.0098	0.164	0	0	0	0.0458	0.0295	0	0	0.00982	0
Tausonia	0	0	0.000327	0	0.001635	0	0	0	0	0	0	0.00327	0.337	0	0
Mortierella	0.0884	0.08714	0.110967	0	0	0	0.0082	0.03275	0	0	0	0	0	0	0.00327
Acrospeira	0.0229	0.15594	0.065167	0.00982	0	0	0.03275	0	0	0	0.0393	0	0	0	0
Thanatephorus	0.0884	0.009166	0.007857	0.00655	0	0	0	0.00491	0	0	0.193	0	0.00655	0	0.00327
Rhizophlyctis	0.0196	0.17339	0.072454	0.00655	0	0.0164	0.011475	0	0	0	0	0	0	0	0
Waitea	0.164	0.017349	0.079861	0	0	0	0	0	0	0	0	0	0	0	0
Penicillium	0.0164	0.060292	0.053012	0.0164	0.04255	0.0196	0	0.0082	0.0295	0	0	0	0	0	0
Others	0.73384	0.45213	0.580308	0.4123	0.13448	0.1703	0.41398	0.284895	0.30085	1.08422	0.3177	0.39998	0.35011	0.32688	0.24563
