Phylum	原沙	第一天	第二天	第三天	第四天	第五天	第六天	第七天	第九天	第十一天	大豆	葵花	高粱	狼尾草	土豆
Basidiomycota	16.3	20.59	16.03458	17.4	9.945	7.64	3.095	5.7	1.14	4.66	6.49	8.09	16.6	11.6	42
Ascomycota	20.7	4.69	4.263	5.92	1.3	1.1	2.3555	1.695	0.812	3.62	0.842	1.35	15.4	5.09	1.13
Rozellomycota	0.377	0.2594	0.239305	0.262	0.12615	0	0.0344	0.1099	0.131	0.363	0.167	0.124	0	7.58	0.111
Chytridiomycota	0.0262	0.32655	0.37855	0.144	0.050775	0.494	0.07555	0.205	0.144	0.652	2.08	0.203	0.00327	0.219	0.121
Glomeromycota	0.0884	0.08514	0.40161	0.164	0.3095	0.855	0.1275	0.229	0.432	0.514	0.259	0.439	0.478	0.0688	0.157
Olpidiomycota	0.0458	0.1924	0.164527	0.187	0.434	0.563	0.4375	0.2665	0.308	0.567	0.37	0.416	0	0.0229	0.00982
Aphelidiomycota	0.55	0.3453	0.18108	0.105	0.01965	0	0	0.0311	0	0	0	0.0917	0	1.07	0.0884
Mortierellomycota	0.501	0.436	0.2598	0	0.039285	0.4	0.0082	0.03765	0.0295	0	0	0	0	0	0.00327
Blastocladiomycota	0	0.016692	0.027179	0.0491	0	0	0	0	0	0.111	0.0622	0	0	0	0
Mucoromycota	0.00655	0.011134	0.007207	0.0688	0	0	0	0	0.00327	0.0524	0	0	0	0	0
