Genus	A.0	A.1	A.11	A.12	A.13	A.14	A.15	A.16	A.17	A.2	A.20	A.21	A.23	A.24	A.25	A.26	A.27	A.28	A.29	A.3	A.30	A.32	A.34	A.4	A.5	A.6	A.7	A.8	A.9	BS.2	CS.2	G.1	G.2	G.3	G.4	G.5	GR.01	LW.1	T.1	All
Unassigned	37.8	30.3	22.1	20.2	18.3	19.8	16.8	15.4	13.5	23.4	13	13.8	13	17.2	17.7	17.3	20.5	19.4	27.3	28.1	26.4	28.8	21.3	26	23.2	25.7	23.7	19.4	19.3	24.2	37.8	44.9	50.6	36.5	41.9	48.3	31.1	48.6	29	52.8
Pseudomonas	3.52	9.39	17.4	17.1	20	16.9	19.1	23.1	16.1	28.1	22.5	26.9	17.3	17.3	17.2	15.3	14.4	15.2	17.8	19.5	14.2	16.2	19.6	20.3	20.7	17.8	18.4	23.4	22.5	12.6	11.1	7.65	11.4	13.2	13.4	22.9	14.3	9.59	4.43	2.1
Flavobacterium	5.78	3.47	1.65	2.34	2.18	2.68	3.12	2.33	2.18	1.88	1.95	2.42	2.45	3.27	4.21	3.82	3.72	1.87	2.86	3.06	1.04	4.03	1.57	2.23	2.33	2.42	1.8	1.41	1.87	10.5	4.45	0.32	0.0876	0.629	0.48	0.0457	1.46	0.373	1.55	2.1
Nocardioides	1.73	3.78	2.62	2.64	2.64	2.63	1.73	2.23	3.13	2.83	2.69	1.84	2.49	4.03	3.65	3.16	3.02	3.19	4.1	3.36	4.04	3.88	3.21	2.73	2.68	2.79	3.42	2.52	2.08	2.55	2.6	3.95	3.6	3.93	3.68	1.2	8.79	3.61	1.52	2.0
Planctomyces	0.663	0.21	0.19	0.152	0.0952	0.126	0.0876	0.0914	0.0648	0.175	0.0229	0.0381	0.0343	0.0267	0.0495	0.0381	0.0686	0.08	0.0991	0.236	0.0914	0.164	0.221	0.229	0.171	0.145	0.145	0.0838	0.0571	0.0762	0.206	1.33	1.07	0.865	0.621	0.812	0.385	1.94	0.16	1.4
Flavisolibacter	2.69	0.907	0.625	0.724	0.697	0.758	0.857	0.933	1.3	0.766	1.38	1.87	4.14	4.63	6.67	7.42	10.6	9.73	5.85	1.1	5.91	4.61	2.9	0.949	0.876	0.949	0.766	0.728	0.674	3.37	3.78	0.899	0.377	0.56	0.69	0.29	0.179	1.1	0.773	1.4
Sphingomonas	1.24	1.16	0.579	0.564	0.503	0.541	0.347	0.434	0.469	0.728	0.331	0.297	0.328	0.541	0.613	0.693	0.716	0.751	0.564	0.987	0.488	0.495	0.305	0.728	0.659	0.575	0.461	0.45	0.484	0.343	0.305	0.77	0.29	0.903	0.652	0.19	0.396	0.911	0.351	1.4
Arthrobacter	5.39	8.71	10.8	11.1	10.7	10.6	9.18	8.43	10.7	7.75	13.6	12.2	4.16	5.38	4.58	3.44	2.3	3.24	2.39	8.41	3.17	3.03	6.17	9.76	9.24	9.45	10.1	10.3	10.7	7.2	5.13	13.3	7.99	14.8	14.5	9.65	20.1	5.38	13.2	1.0
Adhaeribacter	1.2	0.457	0.507	0.484	0.385	0.411	0.632	0.442	0.758	0.366	0.56	0.827	10.5	9.32	7.48	7.9	5.92	7.61	3.67	0.45	5.63	4.6	4.31	0.373	0.267	0.366	0.312	0.381	0.278	0.732	1.32	0.168	0.0533	0.0991	0.145	0.0343	0.0419	0.0571	0.061	1.0
Pirellula	0.575	0.133	0.126	0.0991	0.0648	0.0991	0.103	0.0419	0.0305	0.16	0.0114	0.00762	0.019	0.0571	0	0.0114	0.0229	0.0267	0.0381	0.149	0.019	0.0457	0.16	0.149	0.114	0.126	0.103	0.0648	0.0686	0.0495	0.0762	0.972	0.846	0.56	0.434	0.244	0.358	1.04	0.183	0.9
