Phylum	A.0	A.1	A.11	A.12	A.13	A.14	A.15	A.16	A.17	A.2	A.20	A.21	A.23	A.24	A.25	A.26	A.27	A.28	A.29	A.3	A.30	A.32	A.34	A.4	A.5	A.6	A.7	A.8	A.9	BS.2	CS.2	G.1	G.2	G.3	G.4	G.5	GR.01	LW.1	T.1	All
Proteobacteria	24.7	34.5	42.6	43	46.6	44.2	49.3	52	44.5	46.9	47.1	48.2	52.1	41.6	42.5	43.3	41.6	40.9	42.5	40	42.4	44.7	47.1	39.6	41.1	38.1	38.6	44.6	44.8	36.8	31.1	23.2	27.8	31	27.1	37.4	29.6	26.5	22.3	30.2
Bacteroidetes	28	13.7	9.73	10.5	9.87	10.9	13.4	10.9	15.6	9.17	14.9	17.5	25.5	27.8	28.2	29.1	29.9	30	21.6	12.4	24	23.4	23.1	9.84	9.97	11	8.74	8.72	8.43	27	22.4	7.68	8.77	5.26	4.96	5.51	12.4	10.2	8.28	16.8
Actinobacteria	13.3	27.1	25.9	24.8	23.6	24.5	19	18.5	20.8	21.5	23.8	20.7	11.4	15.1	13.7	11.4	8.73	10.5	10.9	24.9	12.6	11.6	16.3	24.7	22.6	24.4	26.2	22.8	22.8	14.6	12	30	23.1	32.8	32.5	17.7	40.3	18.7	23.2	14.9
Planctomycetes	3.14	1.27	1.12	0.895	0.568	0.842	0.644	0.526	0.381	1.18	0.126	0.137	0.21	0.255	0.24	0.309	0.484	0.556	0.594	1.38	0.545	0.812	1.02	1.23	0.968	1.16	0.796	0.571	0.613	0.465	0.697	5.21	5.18	3.82	3.48	3.45	2.08	6.31	0.827	7.5
Chloroflexi	3.36	3.17	2.08	1.53	1.31	1.45	1.14	1.04	0.987	2.26	0.629	0.545	0.941	1.54	1.28	1.23	1.01	1.53	1.71	2.47	1.5	2.66	2.71	2.11	1.81	2.4	1.86	1.3	1.38	0.88	1.31	6.52	9.11	5.91	5.58	4	2.31	5.8	2.18	6.6
Saccharibacteria	4.41	1.21	0.861	1.03	0.869	1.08	1.18	1.14	1.31	0.964	0.773	2.42	5.63	6.8	7.36	7.24	10.7	8.34	15.6	0.975	12.9	10.6	3.6	1.09	1.18	1.24	0.987	0.903	0.831	13.4	25.4	2.82	3.62	2.37	2.43	5.36	7.58	8.08	4.99	4.5
Acidobacteria	2.87	1.45	0.792	0.697	0.507	0.575	0.678	0.56	0.404	1.06	0.198	0.198	0.248	0.373	0.4	0.37	0.636	0.773	0.697	1.17	0.602	0.804	0.488	1.12	0.789	0.895	0.652	0.503	0.632	0.358	0.533	1.98	3.26	2.35	1.48	1.87	0.636	3.38	0.686	3.5
Verrucomicrobia	3.29	1.22	0.602	0.476	0.385	0.495	0.552	0.587	0.442	0.663	0.164	0.232	1.57	2.83	3.52	4.89	4.65	4.29	3.76	1.17	2.8	2.21	1.38	0.972	0.834	0.907	0.457	0.396	0.423	2.83	2.42	1.44	2.61	1.26	0.819	1.58	1.96	2.09	0.274	3.5
Firmicutes	6.98	10.5	12.9	14.2	13.6	13.1	11.3	11.7	10.6	11.9	11.2	8.76	1.26	2.32	1.22	0.914	0.872	1.1	1.02	9.91	1.1	1.23	1.97	13.9	16.4	15.2	18	17.6	17.4	2.57	2.8	6.51	2.17	5.61	4.83	1.83	0.301	2.44	33.8	2.5
Gemmatimonadetes	0.766	0.804	0.549	0.335	0.316	0.373	0.328	0.343	0.213	0.739	0.0914	0.179	0.0914	0.107	0.107	0.114	0.133	0.152	0.141	0.777	0.24	0.286	0.305	0.747	0.488	0.552	0.537	0.373	0.343	0.0762	0.126	0.362	0.956	0.583	0.545	0.564	0.08	0.503	0.0991	2.0
