Genus	G.1	G.2	G.3	G.4	G.5
Pseudomonas	7.65	11.4	13.2	13.4	22.9
Arthrobacter	13.3	7.99	14.8	14.5	9.65
Nocardioides	3.95	3.6	3.93	3.68	1.2
Bacillus	2	1.81	2.41	2.89	1.26
Planococcus	3.11	0.0229	2.37	1.22	0.0267
Paracocccus	1.08	0.0343	2.26	1.54	0.114
Polycyclovorans	0.335	0.754	0.751	0.831	2.26
Planctomyces	1.33	1.07	0.865	0.621	0.812
Blastocatella	1.07	0.861	0.674	0.533	0.206
Pirellula	0.972	0.846	0.56	0.434	0.244
Flavisolibacter	0.899	0.377	0.56	0.69	0.29
Sphingomonas	0.77	0.29	0.903	0.652	0.19
Devosia	0.808	0.659	0.61	0.427	0.213
Massilia	0.629	0.145	1.25	0.549	0.141
Dyadobacter	0.301	1.23	0.312	0.381	0.32
Nitrospira	0.499	0.792	0.377	0.301	0.385
Rhizobium	0.671	0.735	0.438	0.232	0.194
Pir4_lineage	0.339	0.682	0.324	0.472	0.419
Streptomyces	0.431	0.777	0.392	0.514	0.0762
Candidatus_Nitrososphaera	0.118	0.541	0.171	0.37	0.766
Others	14.66862	14.32537	15.61206	13.19789	8.30431
