Genus	G1	G2	G3	G4	G5
Filobasidium	66.4	4.07	49.7	38.9	0.937
Vishniacozyma	1.97	0.305	4.51	6.83	0.563
Tarzetta	0.0164	1.28	0.77	0.0229	0.00655
Naganishia	0.377	0	0.272	0.416	0.0131
Davidiella	0.147	0	0.416	0.337	0.00655
Dominikia	0.0262	0.838	0.00982	0.0262	0
Glomus	0.00327	0.363	0.0164	0.0262	0.213
Corymbiglomus	0.00327	0.167	0.0131	0.0164	0.0491
Fusarium	0.00982	0	0.144	0.0622	0
Hannaella	0.036	0	0.0589	0.072	0.0327
Papiliotrema	0.00655	0.0458	0.00655	0.0196	0.105
Alternaria	0.00982	0	0.111	0.0524	0
Rhizophagus	0.00982	0.141	0.00327	0.00327	0
Malassezia	0	0.0917	0	0.0295	0.036
Mrakia	0.00655	0.00327	0.0196	0.0524	0.00655
Sporobolomyces	0.00982	0	0.0393	0.0327	0
Verticillium	0.00982	0	0.0262	0.0262	0
Cystofilobasidium	0.0196	0	0.0131	0.0131	0
Acremonium	0.0131	0	0.00655	0.0131	0.00982
Aspergillus	0.00327	0	0.0327	0.00655	0
Others	0.03923	0.08826	0.12107	0.15711	0.07198
