SourcePlate,Sourcewell,SourceTube,DestPlate,Destwell,DestTube,TEVol,SampleVol,±¸×¢
A1,A1,,,,A1,0,69.767,shamo
A1,A2,,,,A1,0,7.595,shamo
A1,A3,,,,A1,0,30,shamo
A1,A4,,,,A1,0,30,shamo
A1,A5,,,,A1,0,30,shamo
A1,A6,,,,A2,0,24.194,shamo
A1,A7,,,,A2,0,8.824,shamo
A1,A8,,,,A2,0,30,shamo
A1,A9,,,,A2,0,27,shamo
A1,A10,,,,A2,0,30,shamo
A1,A11,,,,A3,0,10.949,shamo
A1,A12,,,,A3,0,10.563,shamo
A1,B1,,,,A3,0,30,shamo
A1,B2,,,,A3,0,30,shamo
A1,B3,,,,A3,0,32.967,shamo
A1,B4,,,,A4,0,35,shamo
A1,B5,,,,A4,0,10,shamo
A1,B6,,,,A4,0,29.412,shamo
A1,B7,,,,A4,0,35,shamo
A1,B8,,,,A4,0,23.077,shamo
A1,B9,,,,A5,0,23.81,shamo
A1,B10,,,,A5,0,7,shamo
A1,B11,,,,A5,0,17.143,shamo
A1,B12,,,,A5,0,28.037,shamo
A1,C1,,,,A5,0,24.59,shamo
A1,D1,,,,A6,0,30,shamo
A1,D2,,,,A6,0,30,shamo
A1,D3,,,,A6,0,30,shamo
A1,D4,,,,A6,0,15.385,shamo
A1,D5,,,,A6,0,19.355,shamo
A1,D6,,,,A6,0,30,shamo
A1,D7,,,,A6,0,17.751,shamo
A1,D8,,,,A6,0,30,shamo
A1,D9,,,,A6,0,6.25,shamo
A1,D10,,,,A6,0,32.609,shamo
A1,E1,,,,A7,0,30,shamo
A1,E2,,,,A7,0,13.514,shamo
A1,E3,,,,A7,0,10.239,shamo
A1,E4,,,,A7,0,12.195,shamo
A1,E5,,,,A7,0,21.898,shamo
A1,E6,,,,A7,0,30,shamo
A1,E7,,,,A7,0,12.552,shamo
A1,E8,,,,A7,0,16.575,shamo
A1,E9,,,,A7,0,7,shamo
A1,E10,,,,A7,0,30,shamo
A2,A1,,,,A1,0,12.821,shamo
A2,A2,,,,A1,0,19.231,shamo
A2,A3,,,,A1,0,28.571,shamo
A2,A4,,,,A1,0,13.636,shamo
A2,A5,,,,A1,0,25.21,shamo
A2,A6,,,,A2,0,10.753,shamo
A2,A7,,,,A2,0,18.293,shamo
A2,A8,,,,A2,0,29.126,shamo
A2,A9,,,,A2,0,13.825,shamo
A2,A10,,,,A2,0,27.273,shamo
A2,A11,,,,A3,0,16.216,shamo
A2,A12,,,,A3,0,17.241,shamo
A2,B1,,,,A3,0,28.571,shamo
A2,B2,,,,A3,0,18.868,shamo
A2,B3,,,,A3,0,30,shamo
A2,B4,,,,A4,0,12.605,shamo
A2,B5,,,,A4,0,12.987,shamo
A2,B6,,,,A4,0,17.751,shamo
A2,B7,,,,A4,0,14.019,shamo
A2,B8,,,,A4,0,22.727,shamo
A2,B9,,,,A5,0,10.274,shamo
A2,B10,,,,A5,0,8.357,shamo
A2,B11,,,,A5,0,15.957,shamo
A2,B12,,,,A5,0,8.523,shamo
A2,C1,,,,A5,0,20.979,shamo
A2,D1,,,,A6,0,18.519,shamo
A2,D2,,,,A6,0,24.39,shamo
A2,D3,,,,A6,0,30,shamo
A2,D4,,,,A6,0,30,shamo
A2,D5,,,,A6,0,36.585,shamo
A2,D6,,,,A6,0,24.39,shamo
A2,D7,,,,A6,0,30,shamo
A2,D8,,,,A6,0,30,shamo
A2,D9,,,,A6,0,30,shamo
A2,D10,,,,A6,0,26.786,shamo
A2,E1,,,,A7,0,12.346,shamo
A2,E2,,,,A7,0,17.544,shamo
A2,E3,,,,A7,0,30,shamo
A2,E4,,,,A7,0,20.69,shamo
A2,E5,,,,A7,0,14.085,shamo
A2,E6,,,,A7,0,25.862,shamo
A2,E7,,,,A7,0,30,shamo
A2,E8,,,,A7,0,14.493,shamo
A2,E9,,,,A7,0,14.218,shamo
A2,E10,,,,A7,0,10.345,shamo
