SourcePlate,Sourcewell,SourceTube,DestPlate,Destwell,DestTube,TEVol,SampleVol,±¸×¢
A1,A1,,,,A1,0,24,CHA-1-SJM
A1,B1,,,,A2,0,25.64,CHA-1-SJM
A1,C1,,,,A3,0,25,CHA-1-SJM
A1,D1,,,,A4,0,28.85,CHA-1-SJM
A1,E1,,,,A5,0,19.87,CHA-1-SJM
A1,F1,,,,A6,0,40,CHA-1-SJM
A1,G1,,,,A7,0,40,CHA-1-SJM
A1,H1,,,,A8,0,25.42,CHA-1-SJM
A1,A2,,,,A1,0,40,CHA-1-SJM
A1,B2,,,,A2,0,23.26,CHA-1-SJM
A1,C2,,,,A3,0,29.41,CHA-1-SJM
A1,D2,,,,A4,0,21.58,CHA-1-SJM
A1,E2,,,,A5,0,40,CHA-1-SJM
A1,F2,,,,A6,0,28.57,CHA-1-SJM
A1,G2,,,,A7,0,40,CHA-1-SJM
A1,H2,,,,A8,0,40,CHA-1-SJM
A1,A3,,,,A1,0,39.79,CHA-1-SJM
A1,B3,,,,A2,0,40,CHA-1-SJM
A1,C3,,,,A3,0,38.56,CHA-1-SJM
A1,D3,,,,A4,0,35.63,CHA-1-SJM
A1,E3,,,,A5,0,22.56,CHA-1-SJM
A1,F3,,,,A6,0,23.62,CHA-1-SJM
A1,G3,,,,A7,0,40,CHA-1-SJM
A1,H3,,,,A8,0,24.79,CHA-1-SJM
A1,A4,,,,A1,0,29.41,CHA-1-SJM
A1,B4,,,,A2,0,17.14,CHA-1-SJM
A1,C4,,,,A3,0,23.44,CHA-1-SJM
A1,D4,,,,A4,0,27.78,CHA-1-SJM
A1,E4,,,,A5,0,33.78,CHA-1-SJM
A1,F4,,,,A6,0,40,CHA-1-SJM
A1,G4,,,,A7,0,38.17,CHA-1-SJM
A1,H4,,,,A8,0,18.07,CHA-1-SJM
A1,A5,,,,A1,0,25.21,CHA-1-SJM
A1,B5,,,,A2,0,20.69,CHA-1-SJM
A1,C5,,,,A3,0,30,CHA-1-SJM
A1,D5,,,,A4,0,40,CHA-1-SJM
A1,E5,,,,A5,0,40,CHA-1-SJM
A1,F5,,,,A6,0,32.05,CHA-1-SJM
A1,G5,,,,A7,0,40,CHA-1-SJM
A1,H5,,,,A8,0,40,CHA-1-SJM
A1,A6,,,,A1,0,16.13,CHA-1-SJM
A1,B6,,,,A2,0,33.19,CHA-1-SJM
A1,C6,,,,A3,0,24.59,CHA-1-SJM
A1,D6,,,,A4,0,26.55,CHA-1-SJM
A1,E6,,,,A5,0,20.13,CHA-1-SJM
A1,F6,,,,A6,0,28.85,CHA-1-SJM
A1,G6,,,,A7,0,40,CHA-1-SJM
A1,H6,,,,A8,0,18.18,CHA-1-SJM
A1,A7,,,,A1,0,28.85,CHA-1-SJM
A1,B7,,,,A2,0,22.9,CHA-1-SJM
A1,C7,,,,A3,0,20.69,CHA-1-SJM
A1,D7,,,,A4,0,20.13,CHA-1-SJM
A1,E7,,,,A5,0,26.09,CHA-1-SJM
A1,F7,,,,A6,0,30.18,CHA-1-SJM
A1,G7,,,,A7,0,40,CHA-1-SJM
A1,H7,,,,A8,0,28.04,CHA-1-SJM
A1,A8,,,,A1,0,40,CHA-1-SJM
A1,B8,,,,A2,0,40,CHA-1-SJM
A1,C8,,,,A3,0,40,CHA-1-SJM
A1,D8,,,,A4,0,40,CHA-1-SJM
A1,E8,,,,A5,0,40,CHA-1-SJM
