"","ASV1","ASV2","ASV3","ASV4","ASV5","ASV6","ASV10","ASV9","ASV8","ASV1152","ASV28","ASV39","ASV66","ASV724"
"ASV1",1,0,0,0,-0.67012987012987,-0.702825629792832,0,0,0,0,0,0,0,0
"ASV2",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ASV3",0,0,1,0,0,0,0,0,0.65974025974026,0,0,0,0,0
"ASV4",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ASV5",-0.67012987012987,0,0,0,1,0.764533979913274,0.684415584415584,0,0,0,0,0,0,0
"ASV6",-0.702825629792832,0,0,0,0.764533979913274,1,0.822994522132641,0.663202373399705,0,0,0,0,0,0
"ASV10",0,0,0,0,0.684415584415584,0.822994522132641,1,0,0,0,0,0,0,0
"ASV9",0,0,0,0,0,0.663202373399705,0,1,0,0,0,0,0,0
"ASV8",0,0,0.65974025974026,0,0,0,0,0,1,0,0,0,0,0
"ASV1152",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ASV28",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ASV39",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ASV66",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ASV724",0,0,0,0,0,0,0,0,0,0,0,0,0,1
