Source,Target,Type,Id,Label,timeset,Weight,PN,NO
ASV1,ASV1,Undirected,0,,,1,P,1
ASV1,ASV5,Undirected,1,,,-1.34026,N,1.34026
ASV1,ASV6,Undirected,2,,,-1.405651,N,1.405651
ASV2,ASV2,Undirected,3,,,1,P,1
ASV3,ASV3,Undirected,4,,,1,P,1
ASV3,ASV8,Undirected,5,,,1.319481,P,1.319481
ASV4,ASV4,Undirected,6,,,1,P,1
ASV5,ASV5,Undirected,8,,,1,P,1
ASV5,ASV6,Undirected,9,,,1.529068,P,1.529068
ASV5,ASV10,Undirected,10,,,1.368831,P,1.368831
ASV6,ASV6,Undirected,13,,,1,P,1
ASV6,ASV10,Undirected,14,,,1.645989,P,1.645989
ASV6,ASV9,Undirected,15,,,1.326405,P,1.326405
ASV10,ASV10,Undirected,18,,,1,P,1
ASV9,ASV9,Undirected,20,,,1,P,1
ASV8,ASV8,Undirected,22,,,1,P,1
ASV1152,ASV1152,Undirected,23,,,1,P,1
ASV28,ASV28,Undirected,24,,,1,P,1
ASV39,ASV39,Undirected,25,,,1,P,1
ASV66,ASV66,Undirected,26,,,1,P,1
ASV724,ASV724,Undirected,27,,,1,P,1
