Id,Label,timeset,P
ASV1,ASV1,,Proteobacteria
ASV199,ASV199,,Proteobacteria
ASV2008,ASV2008,,Proteobacteria
ASV2771,ASV2771,,Proteobacteria
ASV3570,ASV3570,,Bacteroidetes
ASV413,ASV413,,Proteobacteria
ASV433,ASV433,,Proteobacteria
ASV5848,ASV5848,,Proteobacteria
ASV624,ASV624,,Actinobacteria
ASV634,ASV634,,Proteobacteria
ASV70,ASV70,,Proteobacteria
ASV10,ASV10,,Proteobacteria
ASV134,ASV134,,Proteobacteria
ASV2291,ASV2291,,Proteobacteria
ASV3,ASV3,,Firmicutes
ASV30,ASV30,,Firmicutes
ASV3754,ASV3754,,Firmicutes
ASV39,ASV39,,Firmicutes
ASV4085,ASV4085,,Firmicutes
ASV49,ASV49,,Firmicutes
ASV860,ASV860,,Firmicutes
ASV100,ASV100,,Bacteroidetes
ASV102,ASV102,,Bacteroidetes
ASV107,ASV107,,Bacteroidetes
ASV108,ASV108,,Proteobacteria
ASV110,ASV110,,Bacteroidetes
ASV111,ASV111,,Bacteroidetes
ASV114,ASV114,,Bacteroidetes
ASV116,ASV116,,Firmicutes
ASV117,ASV117,,Proteobacteria
ASV1198,ASV1198,,Proteobacteria
ASV122,ASV122,,Bacteroidetes
ASV13,ASV13,,Proteobacteria
ASV14,ASV14,,Firmicutes
ASV15,ASV15,,Bacteroidetes
ASV165,ASV165,,Proteobacteria
ASV18,ASV18,,Firmicutes
ASV194,ASV194,,Bacteroidetes
ASV206,ASV206,,Bacteroidetes
ASV220,ASV220,,Proteobacteria
ASV225,ASV225,,Actinobacteria
ASV229,ASV229,,Proteobacteria
ASV237,ASV237,,Bacteroidetes
ASV24,ASV24,,Proteobacteria
ASV252,ASV252,,Bacteroidetes
ASV266,ASV266,,Proteobacteria
ASV277,ASV277,,Proteobacteria
ASV288,ASV288,,Actinobacteria
ASV32,ASV32,,Proteobacteria
ASV327,ASV327,,Bacteroidetes
ASV344,ASV344,,Bacteroidetes
ASV36,ASV36,,Bacteroidetes
ASV3732,ASV3732,,Proteobacteria
ASV38,ASV38,,Proteobacteria
ASV4134,ASV4134,,Proteobacteria
ASV436,ASV436,,Proteobacteria
ASV451,ASV451,,Saccharibacteria
ASV51,ASV51,,Firmicutes
ASV529,ASV529,,Proteobacteria
ASV56,ASV56,,Bacteroidetes
ASV61,ASV61,,Bacteroidetes
ASV62,ASV62,,Bacteroidetes
ASV681,ASV681,,Bacteroidetes
ASV74,ASV74,,Proteobacteria
ASV781,ASV781,,Actinobacteria
ASV80,ASV80,,Bacteroidetes
ASV810,ASV810,,Bacteroidetes
ASV828,ASV828,,Proteobacteria
ASV850,ASV850,,Proteobacteria
ASV854,ASV854,,Proteobacteria
ASV87,ASV87,,Bacteroidetes
ASV93,ASV93,,Bacteroidetes
ASV1002,ASV1002,,Proteobacteria
ASV1595,ASV1595,,Proteobacteria
ASV7,ASV7,,Saccharibacteria
ASV1005,ASV1005,,Bacteroidetes
ASV390,ASV390,,Acidobacteria
ASV554,ASV554,,Acidobacteria
ASV1007,ASV1007,,Actinobacteria
ASV1024,ASV1024,,Firmicutes
ASV113,ASV113,,Proteobacteria
ASV1251,ASV1251,,Proteobacteria
ASV150,ASV150,,Proteobacteria
ASV1730,ASV1730,,Proteobacteria
ASV175,ASV175,,Proteobacteria
ASV187,ASV187,,Proteobacteria
ASV196,ASV196,,Proteobacteria
ASV197,ASV197,,Bacteroidetes
ASV216,ASV216,,Bacteroidetes
ASV2361,ASV2361,,Firmicutes
ASV27,ASV27,,Actinobacteria
ASV276,ASV276,,Proteobacteria
ASV31,ASV31,,Proteobacteria
ASV363,ASV363,,Proteobacteria
ASV37,ASV37,,Proteobacteria
ASV4,ASV4,,Proteobacteria
ASV404,ASV404,,Proteobacteria
ASV41,ASV41,,Proteobacteria
ASV44,ASV44,,Actinobacteria
ASV445,ASV445,,Actinobacteria
ASV48,ASV48,,Proteobacteria
ASV5,ASV5,,Actinobacteria
ASV54,ASV54,,Proteobacteria
ASV5687,ASV5687,,Proteobacteria
ASV57,ASV57,,Proteobacteria
ASV655,ASV655,,Proteobacteria
ASV702,ASV702,,Bacteroidetes
ASV741,ASV741,,Actinobacteria
ASV79,ASV79,,Actinobacteria
ASV856,ASV856,,Bacteroidetes
ASV9,ASV9,,Proteobacteria
ASV955,ASV955,,Actinobacteria
ASV96,ASV96,,Actinobacteria
ASV101,ASV101,,Proteobacteria
ASV1269,ASV1269,,Bacteroidetes
ASV1013,ASV1013,,Bacteroidetes
ASV170,ASV170,,Proteobacteria
ASV1015,ASV1015,,Actinobacteria
ASV966,ASV966,,Actinobacteria
ASV1017,ASV1017,,Bacteroidetes
ASV1298,ASV1298,,Actinobacteria
ASV172,ASV172,,Proteobacteria
ASV1838,ASV1838,,Acidobacteria
ASV2155,ASV2155,,Proteobacteria
ASV273,ASV273,,Bacteroidetes
ASV459,ASV459,,Nitrospirae
ASV488,ASV488,,Actinobacteria
ASV514,ASV514,,Bacteroidetes
ASV571,ASV571,,Bacteroidetes
ASV5744,ASV5744,,Unassigned
ASV660,ASV660,,Cyanobacteria
ASV677,ASV677,,Proteobacteria
ASV732,ASV732,,Bacteroidetes
ASV82,ASV82,,Bacteroidetes
ASV106,ASV106,,Proteobacteria
ASV1217,ASV1217,,Proteobacteria
ASV5511,ASV5511,,Actinobacteria
ASV600,ASV600,,Actinobacteria
ASV90,ASV90,,Proteobacteria
ASV1020,ASV1020,,Proteobacteria
ASV155,ASV155,,Proteobacteria
ASV485,ASV485,,Proteobacteria
ASV553,ASV553,,Bacteroidetes
ASV1026,ASV1026,,Actinobacteria
ASV1740,ASV1740,,Actinobacteria
ASV192,ASV192,,Proteobacteria
ASV207,ASV207,,Bacteroidetes
ASV219,ASV219,,Proteobacteria
ASV25,ASV25,,Bacteroidetes
ASV260,ASV260,,Proteobacteria
ASV297,ASV297,,Proteobacteria
ASV369,ASV369,,Chloroflexi
ASV3752,ASV3752,,Actinobacteria
ASV456,ASV456,,Proteobacteria
ASV531,ASV531,,Proteobacteria
ASV85,ASV85,,Actinobacteria
ASV881,ASV881,,Proteobacteria
ASV92,ASV92,,Actinobacteria
ASV95,ASV95,,Chloroflexi
ASV1027,ASV1027,,Proteobacteria
ASV103,ASV103,,Actinobacteria
ASV159,ASV159,,Thaumarchaeota
ASV228,ASV228,,Firmicutes
ASV515,ASV515,,Proteobacteria
ASV1030,ASV1030,,Actinobacteria
ASV1069,ASV1069,,Proteobacteria
ASV183,ASV183,,Bacteroidetes
ASV184,ASV184,,Proteobacteria
ASV227,ASV227,,Bacteroidetes
ASV233,ASV233,,Proteobacteria
ASV263,ASV263,,Proteobacteria
ASV293,ASV293,,Bacteroidetes
ASV463,ASV463,,Bacteroidetes
ASV71,ASV71,,Proteobacteria
ASV73,ASV73,,Bacteroidetes
ASV763,ASV763,,Proteobacteria
ASV941,ASV941,,Actinobacteria
ASV1032,ASV1032,,Proteobacteria
ASV1840,ASV1840,,Proteobacteria
ASV1852,ASV1852,,Proteobacteria
ASV500,ASV500,,Actinobacteria
ASV67,ASV67,,Proteobacteria
ASV770,ASV770,,Proteobacteria
ASV1036,ASV1036,,Proteobacteria
ASV1051,ASV1051,,Proteobacteria
ASV1232,ASV1232,,Proteobacteria
ASV1273,ASV1273,,Chloroflexi
ASV1038,ASV1038,,Proteobacteria
ASV1738,ASV1738,,Chloroflexi
ASV349,ASV349,,Proteobacteria
ASV104,ASV104,,Bacteroidetes
ASV248,ASV248,,Firmicutes
ASV625,ASV625,,Bacteroidetes
ASV1042,ASV1042,,Proteobacteria
ASV346,ASV346,,Actinobacteria
ASV105,ASV105,,Actinobacteria
ASV1161,ASV1161,,Actinobacteria
ASV146,ASV146,,Firmicutes
ASV2290,ASV2290,,Actinobacteria
ASV242,ASV242,,Bacteroidetes
ASV548,ASV548,,Acidobacteria
ASV727,ASV727,,Firmicutes
