Source,Target,Type,Id,Label,timeset,Weight
ASV1,ASV1,Undirected,0,,,1
ASV1,ASV199,Undirected,1,,,-1.437062
ASV1,ASV2008,Undirected,2,,,1.414201
ASV1,ASV2771,Undirected,3,,,1.462258
ASV1,ASV3570,Undirected,4,,,-1.554385
ASV1,ASV413,Undirected,5,,,-1.619969
ASV1,ASV433,Undirected,6,,,1.447398
ASV1,ASV5848,Undirected,7,,,1.467154
ASV1,ASV624,Undirected,8,,,-1.425981
ASV1,ASV634,Undirected,9,,,1.753882
ASV1,ASV70,Undirected,10,,,1.698919
ASV10,ASV10,Undirected,11,,,1
ASV10,ASV134,Undirected,12,,,-1.444963
ASV10,ASV2291,Undirected,13,,,1.457007
ASV10,ASV3,Undirected,14,,,1.888545
ASV10,ASV30,Undirected,15,,,1.628483
ASV10,ASV3754,Undirected,16,,,1.471742
ASV10,ASV39,Undirected,17,,,1.460745
ASV10,ASV4085,Undirected,18,,,1.830368
ASV10,ASV49,Undirected,19,,,1.632611
ASV10,ASV860,Undirected,20,,,1.496902
ASV100,ASV100,Undirected,21,,,1
ASV100,ASV102,Undirected,22,,,1.601465
ASV100,ASV107,Undirected,23,,,1.515351
ASV100,ASV108,Undirected,24,,,1.657656
ASV100,ASV110,Undirected,25,,,1.448618
ASV100,ASV111,Undirected,26,,,1.704954
ASV100,ASV114,Undirected,27,,,1.568038
ASV100,ASV116,Undirected,28,,,-1.486499
ASV100,ASV117,Undirected,29,,,1.439133
ASV100,ASV1198,Undirected,30,,,-1.41509
ASV100,ASV122,Undirected,31,,,1.522716
ASV100,ASV13,Undirected,32,,,1.436156
ASV100,ASV14,Undirected,33,,,-1.444756
ASV100,ASV15,Undirected,34,,,1.510666
ASV100,ASV165,Undirected,35,,,1.462214
ASV100,ASV18,Undirected,36,,,-1.500803
ASV100,ASV194,Undirected,37,,,1.450868
ASV100,ASV206,Undirected,38,,,1.500522
ASV100,ASV220,Undirected,39,,,1.540388
ASV100,ASV225,Undirected,40,,,-1.533277
ASV100,ASV229,Undirected,41,,,1.59149
ASV100,ASV237,Undirected,42,,,1.441378
ASV100,ASV24,Undirected,43,,,1.470146
ASV100,ASV252,Undirected,44,,,1.61332
ASV100,ASV266,Undirected,45,,,-1.466949
ASV100,ASV277,Undirected,46,,,-1.426787
ASV100,ASV288,Undirected,47,,,-1.443295
ASV100,ASV32,Undirected,48,,,1.421922
ASV100,ASV327,Undirected,49,,,1.49612
ASV100,ASV344,Undirected,50,,,1.586511
ASV100,ASV36,Undirected,51,,,1.434821
ASV100,ASV3732,Undirected,52,,,-1.611035
ASV100,ASV38,Undirected,53,,,1.465514
ASV100,ASV4134,Undirected,54,,,-1.711461
ASV100,ASV436,Undirected,55,,,-1.724108
ASV100,ASV451,Undirected,56,,,1.609995
ASV100,ASV51,Undirected,57,,,-1.471325
ASV100,ASV529,Undirected,58,,,-1.575702
ASV100,ASV56,Undirected,59,,,1.67794
ASV100,ASV61,Undirected,60,,,1.462591
ASV100,ASV62,Undirected,61,,,1.486386
ASV100,ASV624,Undirected,62,,,1.551732
ASV100,ASV681,Undirected,63,,,1.451045
ASV100,ASV74,Undirected,64,,,1.561576
ASV100,ASV781,Undirected,65,,,-1.457111
ASV100,ASV80,Undirected,66,,,1.527539
ASV100,ASV810,Undirected,67,,,1.448385
ASV100,ASV828,Undirected,68,,,-1.431253
ASV100,ASV850,Undirected,69,,,1.49767
ASV100,ASV854,Undirected,70,,,1.463289
ASV100,ASV87,Undirected,71,,,1.600441
ASV100,ASV93,Undirected,72,,,1.58755
ASV1002,ASV1002,Undirected,73,,,1
ASV1002,ASV1595,Undirected,74,,,-1.476872
ASV1002,ASV7,Undirected,75,,,-1.468935
ASV1005,ASV1005,Undirected,76,,,1
ASV1005,ASV390,Undirected,77,,,1.503165
ASV1005,ASV554,Undirected,78,,,1.473853
ASV1007,ASV1007,Undirected,79,,,1
ASV1007,ASV1024,Undirected,80,,,-1.518175
ASV1007,ASV113,Undirected,81,,,1.422353
ASV1007,ASV117,Undirected,82,,,1.414159
ASV1007,ASV1251,Undirected,83,,,-1.421594
ASV1007,ASV150,Undirected,84,,,1.441349
ASV1007,ASV1730,Undirected,85,,,-1.477361
ASV1007,ASV175,Undirected,86,,,1.427849
ASV1007,ASV187,Undirected,87,,,1.741318
ASV1007,ASV196,Undirected,88,,,1.443133
ASV1007,ASV197,Undirected,89,,,1.4556
ASV1007,ASV216,Undirected,90,,,1.629344
