"","ASV1","ASV3","ASV2","ASV4","ASV10","ASV9","ASV14","ASV5","ASV13","ASV18"
"ASV1",1,0,0,0,0,0,0,0,0,0
"ASV3",0,1,0,0,0.944272445820433,0,0,0,0,0
"ASV2",0,0,1,0,0,0,0,0,0,0
"ASV4",0,0,0,1,0,0.92156862745098,0,0.902992776057791,0.794011463582391,0
"ASV10",0,0.944272445820433,0,0,1,0,0.657378740970072,0,0,0
"ASV9",0,0,0,0.92156862745098,0,1,0,0.962848297213622,0.866288189786249,-0.622291021671827
"ASV14",0,0,0,0,0.657378740970072,0,1,0,-0.764068248440792,0.888544891640867
"ASV5",0,0,0,0.902992776057791,0,0.962848297213622,0,1,0.860093041825919,-0.614035087719298
"ASV13",0,0,0,0.794011463582391,0,0.866288189786249,-0.764068248440792,0.860093041825919,1,-0.805369234842997
"ASV18",0,0,0,0,0,-0.622291021671827,0.888544891640867,-0.614035087719298,-0.805369234842997,1
