Source,Target,Type,Id,Label,timeset,Weight,PN,NO
ASV1,ASV1,Undirected,0,,,1,P,1
ASV3,ASV3,Undirected,1,,,1,P,1
ASV3,ASV10,Undirected,2,,,1.888545,P,1.888545
ASV2,ASV2,Undirected,3,,,1,P,1
ASV4,ASV4,Undirected,4,,,1,P,1
ASV4,ASV9,Undirected,5,,,1.843137,P,1.843137
ASV4,ASV5,Undirected,6,,,1.805986,P,1.805986
ASV4,ASV13,Undirected,7,,,1.588023,P,1.588023
ASV10,ASV10,Undirected,9,,,1,P,1
ASV10,ASV14,Undirected,10,,,1.314757,P,1.314757
ASV9,ASV9,Undirected,12,,,1,P,1
ASV9,ASV5,Undirected,13,,,1.925697,P,1.925697
ASV9,ASV13,Undirected,14,,,1.732576,P,1.732576
ASV9,ASV18,Undirected,15,,,-1.244582,N,1.244582
ASV14,ASV14,Undirected,17,,,1,P,1
ASV14,ASV13,Undirected,18,,,-1.528136,N,1.528136
ASV14,ASV18,Undirected,19,,,1.77709,P,1.77709
ASV5,ASV5,Undirected,22,,,1,P,1
ASV5,ASV13,Undirected,23,,,1.720186,P,1.720186
ASV5,ASV18,Undirected,24,,,-1.22807,N,1.22807
ASV13,ASV13,Undirected,29,,,1,P,1
ASV13,ASV18,Undirected,30,,,-1.610739,N,1.610739
ASV18,ASV18,Undirected,35,,,1,P,1
