Source,Target,Type,Id,Label,Weight
ASV1,ASV1,Undirected,59502,,1
ASV1,ASV199,Undirected,59503,,-1.437062
ASV1,ASV2008,Undirected,59504,,1.414201
ASV1,ASV2771,Undirected,59505,,1.462258
ASV1,ASV3570,Undirected,59506,,-1.554385
ASV1,ASV413,Undirected,59507,,-1.619969
ASV1,ASV433,Undirected,59508,,1.447398
ASV1,ASV5848,Undirected,59509,,1.467154
ASV1,ASV624,Undirected,59510,,-1.425981
ASV1,ASV634,Undirected,59511,,1.753882
ASV1,ASV70,Undirected,59512,,1.698919
ASV10,ASV10,Undirected,59513,,1
ASV10,ASV134,Undirected,59514,,-1.444963
ASV10,ASV2291,Undirected,59515,,1.457007
ASV10,ASV3,Undirected,59516,,1.888545
ASV10,ASV30,Undirected,59517,,1.628483
ASV10,ASV3754,Undirected,59518,,1.471742
ASV10,ASV39,Undirected,59519,,1.460745
ASV10,ASV4085,Undirected,59520,,1.830368
ASV10,ASV49,Undirected,59521,,1.632611
ASV10,ASV860,Undirected,59522,,1.496902
ASV100,ASV100,Undirected,59523,,1
ASV100,ASV102,Undirected,59524,,1.601465
ASV100,ASV107,Undirected,59525,,1.515351
ASV100,ASV108,Undirected,59526,,1.657656
ASV100,ASV110,Undirected,59527,,1.448618
ASV100,ASV111,Undirected,59528,,1.704954
ASV100,ASV114,Undirected,59529,,1.568038
ASV100,ASV116,Undirected,59530,,-1.486499
ASV100,ASV117,Undirected,59531,,1.439133
ASV100,ASV1198,Undirected,59532,,-1.41509
ASV100,ASV122,Undirected,59533,,1.522716
ASV100,ASV13,Undirected,59534,,1.436156
ASV100,ASV14,Undirected,59535,,-1.444756
ASV100,ASV15,Undirected,59536,,1.510666
ASV100,ASV165,Undirected,59537,,1.462214
ASV100,ASV18,Undirected,59538,,-1.500803
ASV100,ASV194,Undirected,59539,,1.450868
ASV100,ASV206,Undirected,59540,,1.500522
ASV100,ASV220,Undirected,59541,,1.540388
ASV100,ASV225,Undirected,59542,,-1.533277
ASV100,ASV229,Undirected,59543,,1.59149
ASV100,ASV237,Undirected,59544,,1.441378
ASV100,ASV24,Undirected,59545,,1.470146
ASV100,ASV252,Undirected,59546,,1.61332
ASV100,ASV266,Undirected,59547,,-1.466949
ASV100,ASV277,Undirected,59548,,-1.426787
ASV100,ASV288,Undirected,59549,,-1.443295
ASV100,ASV32,Undirected,59550,,1.421922
ASV100,ASV327,Undirected,59551,,1.49612
ASV100,ASV344,Undirected,59552,,1.586511
ASV100,ASV36,Undirected,59553,,1.434821
ASV100,ASV3732,Undirected,59554,,-1.611035
ASV100,ASV38,Undirected,59555,,1.465514
ASV100,ASV4134,Undirected,59556,,-1.711461
ASV100,ASV436,Undirected,59557,,-1.724108
ASV100,ASV451,Undirected,59558,,1.609995
ASV100,ASV51,Undirected,59559,,-1.471325
ASV100,ASV529,Undirected,59560,,-1.575702
ASV100,ASV56,Undirected,59561,,1.67794
ASV100,ASV61,Undirected,59562,,1.462591
ASV100,ASV62,Undirected,59563,,1.486386
ASV100,ASV624,Undirected,59564,,1.551732
ASV100,ASV681,Undirected,59565,,1.451045
ASV100,ASV74,Undirected,59566,,1.561576
ASV100,ASV781,Undirected,59567,,-1.457111
ASV100,ASV80,Undirected,59568,,1.527539
ASV100,ASV810,Undirected,59569,,1.448385
ASV100,ASV828,Undirected,59570,,-1.431253
ASV100,ASV850,Undirected,59571,,1.49767
ASV100,ASV854,Undirected,59572,,1.463289
ASV100,ASV87,Undirected,59573,,1.600441
ASV100,ASV93,Undirected,59574,,1.58755
ASV1002,ASV1002,Undirected,59575,,1
ASV1002,ASV1595,Undirected,59576,,-1.476872
ASV1002,ASV7,Undirected,59577,,-1.468935
ASV1005,ASV1005,Undirected,59578,,1
ASV1005,ASV390,Undirected,59579,,1.503165
ASV1005,ASV554,Undirected,59580,,1.473853
ASV1007,ASV1007,Undirected,59581,,1
ASV1007,ASV1024,Undirected,59582,,-1.518175
ASV1007,ASV113,Undirected,59583,,1.422353
ASV1007,ASV117,Undirected,59584,,1.414159
ASV1007,ASV1251,Undirected,59585,,-1.421594
ASV1007,ASV150,Undirected,59586,,1.441349
ASV1007,ASV1730,Undirected,59587,,-1.477361
ASV1007,ASV175,Undirected,59588,,1.427849
ASV1007,ASV187,Undirected,59589,,1.741318
ASV1007,ASV196,Undirected,59590,,1.443133
ASV1007,ASV197,Undirected,59591,,1.4556
ASV1007,ASV216,Undirected,59592,,1.629344
ASV1007,ASV2361,Undirected,59593,,1.504232
ASV1007,ASV237,Undirected,59594,,1.426787
ASV1007,ASV27,Undirected,59595,,1.552698
ASV1007,ASV276,Undirected,59596,,1.44792
ASV1007,ASV31,Undirected,59597,,1.422786
ASV1007,ASV32,Undirected,59598,,1.465514
ASV1007,ASV363,Undirected,59599,,1.556147
ASV1007,ASV37,Undirected,59600,,1.720688
ASV1007,ASV4,Undirected,59601,,1.600441
ASV1007,ASV404,Undirected,59602,,1.414099
ASV1007,ASV41,Undirected,59603,,1.62619
ASV1007,ASV44,Undirected,59604,,1.530654
ASV1007,ASV445,Undirected,59605,,1.451156
ASV1007,ASV48,Undirected,59606,,1.593999
