Id,Label,timeset,G
ASV1,ASV1,,Pseudomonas
ASV199,ASV199,,Brevundimonas
ASV2008,ASV2008,,Pseudomonas
ASV2771,ASV2771,,Pseudomonas
ASV3570,ASV3570,,Flavobacterium
ASV413,ASV413,,Unassigned
ASV433,ASV433,,Burkholderia
ASV5848,ASV5848,,Pseudomonas
ASV624,ASV624,,Nocardioides
ASV634,ASV634,,Unassigned
ASV70,ASV70,,Comamonas
ASV10,ASV10,,Psychrobacter
ASV134,ASV134,,Cellvibrio
ASV2291,ASV2291,,Unassigned
ASV3,ASV3,,Planococcus
ASV30,ASV30,,Unassigned
ASV3754,ASV3754,,Unassigned
ASV39,ASV39,,Unassigned
ASV4085,ASV4085,,Unassigned
ASV49,ASV49,,Exiguobacterium
ASV860,ASV860,,Planococcus
ASV100,ASV100,,Sphingobacterium
ASV102,ASV102,,Pedobacter
ASV107,ASV107,,Flavobacterium
ASV108,ASV108,,Unassigned
ASV110,ASV110,,Pedobacter
ASV111,ASV111,,Flavobacterium
ASV114,ASV114,,Flavobacterium
ASV116,ASV116,,Planococcus
ASV117,ASV117,,Pseudomonas
ASV1198,ASV1198,,Unassigned
ASV122,ASV122,,Flavobacterium
ASV13,ASV13,,Pseudomonas
ASV14,ASV14,,Unassigned
ASV15,ASV15,,Flavisolibacter
ASV165,ASV165,,Brevundimonas
ASV18,ASV18,,Planococcus
ASV194,ASV194,,Pontibacter
ASV206,ASV206,,Flavobacterium
ASV220,ASV220,,Pseudomonas
ASV225,ASV225,,Unassigned
ASV229,ASV229,,Unassigned
ASV237,ASV237,,Pedobacter
ASV24,ASV24,,Pseudomonas
ASV252,ASV252,,Flavobacterium
ASV266,ASV266,,Pseudomonas
ASV277,ASV277,,Bosea
ASV288,ASV288,,Unassigned
ASV32,ASV32,,Paracocccus
ASV327,ASV327,,Flavobacterium
ASV344,ASV344,,Chryseobacterium
ASV36,ASV36,,Chryseobacterium
ASV3732,ASV3732,,Pseudomonas
ASV38,ASV38,,Pseudomonas
ASV4134,ASV4134,,Pseudomonas
ASV436,ASV436,,Pseudomonas
ASV451,ASV451,,Unassigned
ASV51,ASV51,,Bacillus
ASV529,ASV529,,Unassigned
ASV56,ASV56,,Flavobacterium
ASV61,ASV61,,Sphingobacterium
ASV62,ASV62,,Parasegetibacter
ASV681,ASV681,,Pontibacter
ASV74,ASV74,,Paracocccus
ASV781,ASV781,,Nocardioides
ASV80,ASV80,,Pedobacter
ASV810,ASV810,,Flavobacterium
ASV828,ASV828,,Unassigned
ASV850,ASV850,,Achromobacter
ASV854,ASV854,,Sphingomonas
ASV87,ASV87,,Pedobacter
ASV93,ASV93,,Sphingobacterium
ASV1002,ASV1002,,Pseudomonas
