	G.1	G.2	G.3	G.4	G.5	GR.01
ASV1	1954	2883	5618	4052	7672	2528
ASV2	2675	1714	5606	3536	2953	4153
ASV3	501	5	530	230	7	5
ASV4	3	4	2	6	5	4
ASV5	235	88	402	378	84	827
ASV7	114	46	52	36	12	399
ASV6	2793	1000	1553	1962	910	461
ASV9	3	2	3	3	2	3
ASV10	108	3	363	144	7	3
ASV8	4	29	11	9	13	95
ASV12	4	4	7	4	4	2
ASV15	9	3	19	19	0	3
ASV11	54	152	310	251	625	13
ASV16	30	12	83	48	45	28
ASV14	77	0	49	40	3	2
ASV17	3	7	2	5	0	2
ASV13	2	0	1	2	4	0
ASV18	127	0	85	39	1	0
ASV19	1	6	4	6	36	2
ASV22	1	6	1	4	3	2
ASV21	82	95	72	27	31	103
ASV20	53	17	102	80	41	24
ASV23	85	1	292	89	6	5
ASV27	88	8	191	124	3	15
ASV25	2	1	8	9	0	2
ASV26	0	1	2	2	4	4
ASV69	0	60	28	54	13	320
ASV31	4	1	4	6	1	2
ASV24	1	1	2	1	1	0
ASV34	11	1	32	8	1	0
ASV35	79	0	263	146	4	2
ASV36	2	6	1	0	1	2
ASV29	108	1	109	30	1	0
ASV28	322	1	404	155	1	1
ASV38	4	6	93	17	10	10
ASV33	1	0	3	3	2	2
ASV32	112	4	423	208	3	9
ASV40	34	38	100	70	14	44
ASV30	20	3	4	16	4	0
ASV42	27	2	30	42	0	1
ASV44	32	10	238	115	1	66
ASV39	3	0	1	7	0	0
ASV41	12	0	45	23	4	0
ASV51	510	489	914	862	441	29
ASV37	0	1	1	0	0	0
ASV43	134	2	336	168	27	15
ASV50	69	25	236	94	9	102
ASV46	21	10	45	45	6	46
ASV45	2	4	2	1	0	0
ASV47	1	0	3	2	1	4
ASV59	3	1	21	1	0	1
ASV53	0	1	1	2	3	1383
ASV52	6	2	2	2	0	1
ASV49	9	1	23	6	1	0
ASV151	203	97	62	163	64	259
ASV64	32	5	44	54	9	4
ASV56	0	1	0	0	1	0
