Phylum	大豆	葵花	高粱	狼尾草	土豆
Proteobacteria	36.81010437	31.09721991	29.60662596	26.52063836	22.29797757
Actinobacteria	14.6040088	11.9989273	40.30902116	18.71456367	23.19789595
Bacteroidetes	27.00741354	22.39799762	12.40277574	10.20794382	8.279249072
Saccharibacteria	13.40367931	25.39772944	7.581696784	8.086292753	4.989547448
Firmicutes	2.570705659	2.799749702	0.301067379	2.441900287	33.79693462
Thaumarchaeota	0.080021966	0.049495575	1.550346968	11.40887839	2.279793223
Chloroflexi	0.880241626	1.309882896	2.310517094	5.804517075	2.179802292
Planctomycetes	0.465127678	0.696937694	2.080465608	6.314914266	0.826924998
Verrucomicrobia	2.830777048	2.419783671	1.960438746	2.091627705	0.27397515
Acidobacteria	0.358098298	0.532952354	0.636142369	3.382632365	0.685937785
Others	0.989821706	1.29932384	1.26090219	5.026091304	1.191961889
