unifrac_binary	A.0	A.1	A.11	A.12	A.13	A.14	A.15	A.16	A.17	A.2	A.20	A.21	A.23	A.24	A.25	A.26	A.27	A.28	A.29	A.3	A.30	A.32	A.34	A.4	A.5	A.6	A.7	A.8	A.9	BS.2	C3.2	G.1	G.2	G.3	G.4	G.5	GR.01	LW.1	T.1
A.0	0	0.141	0.184	0.194	0.212	0.199	0.200	0.235	0.272	0.171	0.367	0.361	0.371	0.345	0.350	0.342	0.336	0.325	0.329	0.144	0.324	0.302	0.291	0.163	0.162	0.152	0.180	0.201	0.200	0.353	0.317	0.233	0.288	0.235	0.226	0.329	0.298	0.203	0.256
A.1	0.141	0	0.114	0.134	0.148	0.138	0.149	0.182	0.225	0.110	0.316	0.313	0.350	0.325	0.328	0.323	0.323	0.318	0.320	0.0863	0.310	0.302	0.281	0.0989	0.111	0.106	0.113	0.146	0.133	0.330	0.314	0.242	0.306	0.245	0.231	0.337	0.300	0.229	0.257
A.11	0.184	0.114	0	0.118	0.135	0.120	0.133	0.162	0.207	0.116	0.280	0.285	0.326	0.306	0.310	0.305	0.311	0.305	0.313	0.117	0.297	0.297	0.266	0.109	0.111	0.106	0.102	0.129	0.117	0.311	0.302	0.263	0.326	0.273	0.253	0.361	0.310	0.254	0.254
A.12	0.194	0.134	0.118	0	0.123	0.114	0.123	0.145	0.189	0.132	0.262	0.268	0.307	0.288	0.299	0.295	0.301	0.292	0.298	0.133	0.291	0.290	0.262	0.125	0.116	0.121	0.119	0.118	0.115	0.300	0.295	0.272	0.340	0.289	0.265	0.374	0.318	0.262	0.233
A.13	0.212	0.148	0.135	0.123	0	0.121	0.122	0.136	0.177	0.147	0.238	0.249	0.290	0.278	0.285	0.279	0.289	0.281	0.286	0.153	0.275	0.286	0.256	0.146	0.139	0.142	0.130	0.122	0.112	0.287	0.290	0.293	0.360	0.311	0.290	0.388	0.328	0.289	0.244
A.14	0.199	0.138	0.120	0.114	0.121	0	0.117	0.148	0.184	0.136	0.260	0.264	0.303	0.285	0.292	0.286	0.296	0.290	0.297	0.139	0.283	0.291	0.262	0.136	0.115	0.130	0.124	0.116	0.117	0.296	0.295	0.284	0.349	0.302	0.273	0.380	0.321	0.277	0.244
A.15	0.200	0.149	0.133	0.123	0.122	0.117	0	0.138	0.169	0.144	0.242	0.248	0.293	0.276	0.281	0.278	0.287	0.282	0.288	0.154	0.280	0.281	0.254	0.145	0.133	0.138	0.139	0.121	0.114	0.286	0.286	0.287	0.358	0.307	0.279	0.391	0.328	0.279	0.244
A.16	0.235	0.182	0.162	0.145	0.136	0.148	0.138	0	0.144	0.181	0.213	0.215	0.258	0.244	0.249	0.247	0.261	0.261	0.261	0.190	0.252	0.258	0.231	0.177	0.160	0.172	0.167	0.136	0.142	0.257	0.265	0.312	0.383	0.336	0.313	0.415	0.341	0.298	0.237
A.17	0.272	0.225	0.207	0.189	0.177	0.184	0.169	0.144	0	0.225	0.176	0.179	0.228	0.210	0.214	0.227	0.230	0.230	0.237	0.236	0.225	0.238	0.217	0.224	0.204	0.217	0.213	0.182	0.182	0.232	0.235	0.352	0.428	0.380	0.355	0.455	0.364	0.339	0.243
A.2	0.171	0.110	0.116	0.132	0.147	0.136	0.144	0.181	0.225	0	0.307	0.310	0.345	0.323	0.330	0.327	0.325	0.319	0.322	0.105	0.311	0.305	0.282	0.104	0.115	0.103	0.109	0.139	0.129	0.330	0.313	0.247	0.309	0.258	0.233	0.339	0.302	0.234	0.244
A.20	0.367	0.316	0.280	0.262	0.238	0.260	0.242	0.213	0.176	0.307	0	0.134	0.197	0.198	0.205	0.221	0.231	0.235	0.238	0.321	0.235	0.270	0.239	0.305	0.285	0.301	0.293	0.248	0.256	0.224	0.256	0.436	0.513	0.470	0.444	0.535	0.442	0.432	0.302
A.21	0.361	0.313	0.285	0.268	0.249	0.264	0.248	0.215	0.179	0.310	0.134	0	0.202	0.196	0.205	0.221	0.227	0.235	0.237	0.317	0.227	0.261	0.237	0.307	0.290	0.303	0.293	0.254	0.261	0.216	0.236	0.443	0.518	0.480	0.449	0.543	0.446	0.432	0.312
A.23	0.371	0.350	0.326	0.307	0.290	0.303	0.293	0.258	0.228	0.345	0.197	0.202	0	0.138	0.155	0.170	0.166	0.180	0.171	0.353	0.175	0.214	0.203	0.343	0.323	0.339	0.336	0.296	0.310	0.172	0.206	0.463	0.529	0.497	0.469	0.560	0.440	0.440	0.336
A.24	0.345	0.325	0.306	0.288	0.278	0.285	0.276	0.244	0.210	0.323	0.198	0.196	0.138	0	0.126	0.144	0.150	0.152	0.152	0.330	0.145	0.181	0.168	0.322	0.305	0.316	0.316	0.281	0.292	0.157	0.181	0.439	0.507	0.466	0.442	0.541	0.423	0.414	0.309
A.25	0.350	0.328	0.310	0.299	0.285	0.292	0.281	0.249	0.214	0.330	0.205	0.205	0.155	0.126	0	0.138	0.139	0.149	0.151	0.335	0.154	0.183	0.185	0.326	0.309	0.324	0.323	0.288	0.293	0.164	0.168	0.435	0.511	0.468	0.445	0.546	0.423	0.415	0.312
A.26	0.342	0.323	0.305	0.295	0.279	0.286	0.278	0.247	0.227	0.327	0.221	0.221	0.170	0.144	0.138	0	0.125	0.132	0.128	0.329	0.137	0.159	0.173	0.320	0.302	0.315	0.318	0.284	0.293	0.156	0.154	0.434	0.506	0.463	0.439	0.539	0.413	0.406	0.312
A.27	0.336	0.323	0.311	0.301	0.289	0.296	0.287	0.261	0.230	0.325	0.231	0.227	0.166	0.150	0.139	0.125	0	0.116	0.116	0.330	0.141	0.146	0.171	0.324	0.307	0.322	0.322	0.292	0.298	0.160	0.152	0.428	0.505	0.461	0.436	0.531	0.419	0.403	0.324
A.28	0.325	0.318	0.305	0.292	0.281	0.290	0.282	0.261	0.230	0.319	0.235	0.235	0.180	0.152	0.149	0.132	0.116	0	0.120	0.323	0.130	0.142	0.172	0.316	0.307	0.312	0.319	0.287	0.293	0.159	0.157	0.417	0.489	0.452	0.429	0.525	0.403	0.388	0.312
A.29	0.329	0.320	0.313	0.298	0.286	0.297	0.288	0.261	0.237	0.322	0.238	0.237	0.171	0.152	0.151	0.128	0.116	0.120	0	0.324	0.121	0.129	0.154	0.321	0.305	0.320	0.321	0.286	0.296	0.156	0.140	0.420	0.496	0.453	0.425	0.530	0.403	0.388	0.311
A.3	0.144	0.0863	0.117	0.133	0.153	0.139	0.154	0.190	0.236	0.105	0.321	0.317	0.353	0.330	0.335	0.329	0.330	0.323	0.324	0	0.315	0.304	0.283	0.0957	0.114	0.0994	0.111	0.150	0.138	0.332	0.315	0.236	0.303	0.249	0.226	0.335	0.298	0.226	0.252
A.30	0.324	0.310	0.297	0.291	0.275	0.283	0.280	0.252	0.225	0.311	0.235	0.227	0.175	0.145	0.154	0.137	0.141	0.130	0.121	0.315	0	0.133	0.147	0.309	0.297	0.306	0.308	0.278	0.286	0.152	0.143	0.415	0.494	0.448	0.418	0.530	0.408	0.386	0.301
A.32	0.302	0.302	0.297	0.290	0.286	0.291	0.281	0.258	0.238	0.305	0.270	0.261	0.214	0.181	0.183	0.159	0.146	0.142	0.129	0.304	0.133	0	0.150	0.302	0.294	0.302	0.309	0.280	0.290	0.182	0.145	0.389	0.467	0.421	0.394	0.504	0.386	0.356	0.296
A.34	0.291	0.281	0.266	0.262	0.256	0.262	0.254	0.231	0.217	0.282	0.239	0.237	0.203	0.168	0.185	0.173	0.171	0.172	0.154	0.283	0.147	0.150	0	0.278	0.268	0.276	0.278	0.250	0.264	0.190	0.171	0.383	0.459	0.411	0.388	0.496	0.380	0.352	0.284
A.4	0.163	0.0989	0.109	0.125	0.146	0.136	0.145	0.177	0.224	0.104	0.305	0.307	0.343	0.322	0.326	0.320	0.324	0.316	0.321	0.0957	0.309	0.302	0.278	0	0.105	0.0956	0.114	0.142	0.131	0.322	0.313	0.247	0.308	0.260	0.236	0.339	0.305	0.239	0.250
A.5	0.162	0.111	0.111	0.116	0.139	0.115	0.133	0.160	0.204	0.115	0.285	0.290	0.323	0.305	0.309	0.302	0.307	0.307	0.305	0.114	0.297	0.294	0.268	0.105	0	0.104	0.113	0.129	0.125	0.312	0.297	0.262	0.326	0.271	0.247	0.360	0.311	0.245	0.238
A.6	0.152	0.106	0.106	0.121	0.142	0.130	0.138	0.172	0.217	0.103	0.301	0.303	0.339	0.316	0.324	0.315	0.322	0.312	0.320	0.0994	0.306	0.302	0.276	0.0956	0.104	0	0.108	0.130	0.127	0.326	0.309	0.241	0.306	0.258	0.234	0.340	0.297	0.233	0.237
A.7	0.180	0.113	0.102	0.119	0.130	0.124	0.139	0.167	0.213	0.109	0.293	0.293	0.336	0.316	0.323	0.318	0.322	0.319	0.321	0.111	0.308	0.309	0.278	0.114	0.113	0.108	0	0.128	0.123	0.327	0.318	0.257	0.321	0.266	0.250	0.354	0.305	0.255	0.246
A.8	0.201	0.146	0.129	0.118	0.122	0.116	0.121	0.136	0.182	0.139	0.248	0.254	0.296	0.281	0.288	0.284	0.292	0.287	0.286	0.150	0.278	0.280	0.250	0.142	0.129	0.130	0.128	0	0.113	0.291	0.289	0.281	0.351	0.307	0.281	0.385	0.323	0.273	0.236
A.9	0.200	0.133	0.117	0.115	0.112	0.117	0.114	0.142	0.182	0.129	0.256	0.261	0.310	0.292	0.293	0.293	0.298	0.293	0.296	0.138	0.286	0.290	0.264	0.131	0.125	0.127	0.123	0.113	0	0.295	0.295	0.278	0.348	0.301	0.275	0.377	0.321	0.272	0.242
BS.2	0.353	0.330	0.311	0.300	0.287	0.296	0.286	0.257	0.232	0.330	0.224	0.216	0.172	0.157	0.164	0.156	0.160	0.159	0.156	0.332	0.152	0.182	0.190	0.322	0.312	0.326	0.327	0.291	0.295	0	0.151	0.426	0.502	0.466	0.434	0.533	0.410	0.402	0.312
C3.2	0.317	0.314	0.302	0.295	0.290	0.295	0.286	0.265	0.235	0.313	0.256	0.236	0.206	0.181	0.168	0.154	0.152	0.157	0.140	0.315	0.143	0.145	0.171	0.313	0.297	0.309	0.318	0.289	0.295	0.151	0	0.396	0.474	0.433	0.407	0.510	0.384	0.362	0.295
G.1	0.233	0.242	0.263	0.272	0.293	0.284	0.287	0.312	0.352	0.247	0.436	0.443	0.463	0.439	0.435	0.434	0.428	0.417	0.420	0.236	0.415	0.389	0.383	0.247	0.262	0.241	0.257	0.281	0.278	0.426	0.396	0	0.177	0.147	0.126	0.251	0.204	0.145	0.250
G.2	0.288	0.306	0.326	0.340	0.360	0.349	0.358	0.383	0.428	0.309	0.513	0.518	0.529	0.507	0.511	0.506	0.505	0.489	0.496	0.303	0.494	0.467	0.459	0.308	0.326	0.306	0.321	0.351	0.348	0.502	0.474	0.177	0	0.182	0.176	0.171	0.218	0.207	0.328
G.3	0.235	0.245	0.273	0.289	0.311	0.302	0.307	0.336	0.380	0.258	0.470	0.480	0.497	0.466	0.468	0.463	0.461	0.452	0.453	0.249	0.448	0.421	0.411	0.260	0.271	0.258	0.266	0.307	0.301	0.466	0.433	0.147	0.182	0	0.126	0.232	0.247	0.177	0.283
G.4	0.226	0.231	0.253	0.265	0.290	0.273	0.279	0.313	0.355	0.233	0.444	0.449	0.469	0.442	0.445	0.439	0.436	0.429	0.425	0.226	0.418	0.394	0.388	0.236	0.247	0.234	0.250	0.281	0.275	0.434	0.407	0.126	0.176	0.126	0	0.228	0.232	0.159	0.254
G.5	0.329	0.337	0.361	0.374	0.388	0.380	0.391	0.415	0.455	0.339	0.535	0.543	0.560	0.541	0.546	0.539	0.531	0.525	0.530	0.335	0.530	0.504	0.496	0.339	0.360	0.340	0.354	0.385	0.377	0.533	0.510	0.251	0.171	0.232	0.228	0	0.286	0.283	0.376
GR.01	0.298	0.300	0.310	0.318	0.328	0.321	0.328	0.341	0.364	0.302	0.442	0.446	0.440	0.423	0.423	0.413	0.419	0.403	0.403	0.298	0.408	0.386	0.380	0.305	0.311	0.297	0.305	0.323	0.321	0.410	0.384	0.204	0.218	0.247	0.232	0.286	0	0.198	0.263
LW.1	0.203	0.229	0.254	0.262	0.289	0.277	0.279	0.298	0.339	0.234	0.432	0.432	0.440	0.414	0.415	0.406	0.403	0.388	0.388	0.226	0.386	0.356	0.352	0.239	0.245	0.233	0.255	0.273	0.272	0.402	0.362	0.145	0.207	0.177	0.159	0.283	0.198	0	0.229
T.1	0.256	0.257	0.254	0.233	0.244	0.244	0.244	0.237	0.243	0.244	0.302	0.312	0.336	0.309	0.312	0.312	0.324	0.312	0.311	0.252	0.301	0.296	0.284	0.250	0.238	0.237	0.246	0.236	0.242	0.312	0.295	0.250	0.328	0.283	0.254	0.376	0.263	0.229	0
