#OTUID	A0	A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A23	A24	A25	A26	A27	A28	A29	A3	A30	A32	A34	A4	A5	A6	A7	A8	A9	BS2	CS2	G0	G1	G2	G3	G4	G5	GR01	LW1	T1
ASV1	8156	15372	25825	12774	15121	17718	19572	27793	21240	23612	30062	16681	22464	22340	22344	37880	40198	37972	32217	43015	43899	36968	11473	36912	44088	35000	14588	18005	14345	25486	18434	24964	37282	35801	720	569	12488	1895	4033	18698	258	4350	1752
ASV2	4595	6480	5313	4940	7149	4424	7297	3667	6580	4672	6	6488	7071	7217	5601	5483	1940	2766	338	1082	141	898	7768	189	167	377	9132	8913	7252	5351	9286	5623	74	1902	26958	32320	1910	23758	18379	406	45	1281	17034
ASV3	6301	5701	7046	7540	6577	4677	5095	4897	6084	6934	13	6459	4779	4876	6473	569	275	605	292	34	514	1259	8191	2247	525	1555	6701	6054	6849	4105	5460	4662	860	35	2990	3081	710	5226	5576	99	47	2587	12647
ASV4	6431	4053	1386	3942	3445	2206	3470	3511	2567	4483	69	7506	1966	4068	3480	398	727	1167	170	578	119	2006	3126	1434	552	2255	2212	1787	3609	3456	2588	2043	931	1988	3329	917	128	866	1417	26	64	2418	4050
ASV5	1081	1909	674	2950	2467	1046	2111	789	1189	457	4	666	2118	683	689	183	138	515	59	244	18	66	3043	60	83	206	2054	2315	2110	973	931	1207	70	320	1285	1298	31	2774	2931	65	25	2630	150
ASV6	305	1043	332	939	702	347	555	293	530	308	1	509	855	327	293	91	103	158	643	31	41	57	925	83	11	62	763	633	865	843	719	426	1034	88	50	48	15585	707	1159	710	225	216	1069
ASV10	1560	796	540	656	431	223	366	356	613	245	1	321	481	294	211	182	198	397	759	103	56	110	676	56	96	230	460	417	652	385	410	393	47	147	90	38	128	75	298	2	349	10511	18
ASV7	23	82	12	75	50	35	54	94	11	32	0	32	39	35	60	6	4	2	9	4	1	4	72	41	3	1	64	39	77	115	75	69	4	2	16	13	1090	346	310	19479	23	14	8
ASV9	725	734	493	777	850	477	552	471	764	480	2	390	868	568	399	53	34	1	281	3	1	233	758	2	4	55	966	680	786	840	1046	979	1	1	769	510	83	1364	1940	146	19	910	881
ASV8	296	327	884	593	598	253	486	508	622	776	2	1268	407	504	1515	361	146	420	62	1	495	1463	2127	480	0	760	315	671	414	384	458	399	1064	772	14	13	0	20	107	0	1	17	43
ASV11	1	5	126	832	701	278	606	219	191	286	0	586	201	381	2200	399	370	221	662	229	1404	188	28	521	151	509	96	59	2316	318	1727	258	0	0	0	0	0	1	0	1	1	0	4
ASV12	175	1065	455	1413	802	159	967	286	677	126	0	336	566	536	329	13	14	203	24	68	0	25	1167	21	16	18	1285	741	868	448	578	701	16	78	53	46	0	171	222	0	3	171	6
ASV14	109	14	7	41	31	34	0	3	48	1	0	43	36	2	36	3	4	2	5	2	4	0	43	4	3	3	49	51	49	18	13	25	0	4	42	21	7590	13	44	4	6056	10	5
